year,team,win_total_line,actual_wins,target_pyth_wins,beat_margin,qb_tier,new_coach,coach_tenure,coach_tenure_bucket,schedule_delta_pyth,prior_pyth_wins,prior_actual_wins,prior_beat_margin,trailing_beat_margin_2yr,prior_turnover_diff_per_game,prior_fumble_recovery_rate,prior_agl
2017,HOU,8.5,4,5.66,-4.5,,0,4,Yr4+,-0.060249999999999915,6.48,9,0.5,0.5,-0.4375,0.4286,91.7
2017,IND,8.0,4,4.25,-4.0,,0,4,Yr4+,0.2266249999999994,8.45,8,-1.0,-1.75,-0.3125,0.5625,78.4
2017,JAX,6.5,10,11.85,3.5,,1,1,Yr1,-0.30062500000000014,5.88,3,-4.5,-2.5,-1.0,0.3158,72.5
2017,KC,9.0,10,9.88,1.0,3,0,4,Yr4+,0.3144999999999989,10.07,12,2.5,2.5,1.0,0.625,99.3
2017,LAC,7.5,9,10.44,1.5,2,1,1,Yr1,-0.08937500000000043,7.7,5,-2.0,-3.0,-0.4375,0.4167,127.8
2017,LAR,6.0,11,11.33,5.0,4,1,1,Yr1,0.056125000000001535,3.32,4,-3.5,-2.0,-0.6875,0.4706,29.0
2017,LV,9.5,6,6.01,-3.5,2,0,3,Yr2-3,-0.18399999999999928,8.73,12,3.5,2.5,1.0,0.6667,65.0
2017,MIA,7.0,6,4.98,-1.0,3,0,2,Yr2-3,0.4652499999999993,7.57,10,3.0,0.0,0.125,0.5294,99.1
2017,MIN,8.5,13,11.65,4.5,,0,4,Yr4+,0.13087500000000052,8.6,8,-0.5,1.25,0.6875,0.5417,120.6
2017,NE,12.5,13,11.8,0.5,1,0,4,Yr4+,0.524375,12.69,14,3.5,2.5,0.75,0.5263,54.5
2017,NO,8.0,11,10.88,3.0,1,0,4,Yr4+,-0.034250000000000114,8.31,7,0.0,-0.75,-0.1875,0.5714,81.3
2017,NYG,9.0,3,4.06,-6.0,2,0,2,Yr2-3,0.16549999999999976,8.83,11,2.5,0.25,-0.125,0.4211,52.4
2017,NYJ,3.5,5,5.71,1.5,4,0,3,Yr2-3,-0.06062499999999993,4.49,5,-3.0,-0.25,-1.25,0.4,110.5
2017,PHI,8.5,13,11.81,4.5,,0,2,Yr2-3,-0.39712499999999906,8.97,7,0.5,-1.25,0.375,0.625,38.4
2017,PIT,10.5,13,10.53,2.5,1,0,4,Yr4+,-0.07212499999999977,9.85,11,0.5,1.0,0.3125,0.7692,61.8
2017,SEA,10.5,9,8.92,-1.5,2,0,4,Yr4+,0.42900000000000027,9.79,10,-0.5,-0.75,0.0625,0.5714,41.1
2017,SF,5.0,6,6.63,1.0,,1,1,Yr1,0.2136250000000004,4.17,2,-3.5,-2.5,-0.3125,0.4,97.5
2017,TB,8.5,5,6.77,-3.5,,0,2,Yr2-3,0.11749999999999972,7.61,9,2.0,1.0,0.125,0.5714,77.5
2017,TEN,9.0,9,7.4,0.0,,0,2,Yr2-3,0.38349999999999973,8.07,9,3.0,0.25,0.0,0.4615,32.0
2017,WAS,7.5,7,6.81,-0.5,2,0,4,Yr4+,0.01287500000000108,8.32,8,0.5,1.75,0.0,0.4706,101.5
2018,ARI,6.0,3,2.9,-3.0,,1,1,Yr1,0.3874999999999993,6.12,8,-0.5,-1.75,-0.25,0.4615,105.6
2018,ATL,9.5,7,7.8,-2.5,2,0,4,Yr4+,-0.1662499999999998,9.07,10,0.5,2.25,-0.125,0.5714,16.3
2018,BAL,8.5,10,10.76,1.5,3,0,5,Yr4+,0.8486250000000002,10.43,9,0.5,0.0,1.0625,0.75,101.6
2018,BUF,5.5,6,5.03,0.5,,0,2,Yr2-3,0.6251249999999988,6.38,9,2.5,0.75,0.5625,0.5385,44.5
2018,CAR,8.5,7,7.85,-1.5,2,0,5,Yr4+,-0.17012499999999875,8.99,11,2.0,-1.25,-0.0625,0.6471,42.9
2018,CHI,7.5,12,11.51,4.5,4,1,1,Yr1,-0.5478750000000012,6.21,5,-0.5,-2.5,0.0,0.5833,118.1
2018,CIN,7.0,6,6.03,-1.0,3,0,5,Yr4+,0.49412500000000037,6.27,7,-1.5,-2.5,-0.5625,0.2143,80.8
2018,CLE,6.0,7,7.17,1.0,,0,3,Yr2-3,0.015124999999999389,3.35,0,-4.5,-4.0,-1.75,0.3158,52.7
2018,DAL,8.5,10,8.43,1.5,3,0,5,Yr4+,0.3436250000000003,8.61,9,-0.5,2.0,-0.0625,0.55,37.2
2018,DEN,7.0,6,7.44,-1.0,3,0,2,Yr2-3,0.3852499999999992,5.45,5,-3.0,-1.75,-1.0625,0.3684,65.9
2018,DET,7.5,6,7.01,-1.5,2,1,1,Yr1,0.5126249999999999,8.82,9,1.5,1.75,0.625,0.5417,72.7
2018,GB,10.0,6,7.41,-4.0,1,0,5,Yr4+,-0.6047500000000001,6.3,7,-3.5,-2.0,-0.1875,0.6111,84.8
2018,HOU,8.5,11,10.22,2.5,2,0,5,Yr4+,-0.5162499999999994,5.66,4,-4.5,-2.0,-0.75,0.3125,107.3
2018,IND,7.5,10,10.13,2.5,2,1,1,Yr1,0.14212500000000006,4.25,4,-4.0,-2.5,0.3125,0.5385,101.2
2018,JAX,9.0,5,5.66,-4.0,3,0,2,Yr2-3,0.9151249999999997,11.85,10,3.5,-0.5,0.625,0.5455,38.3
2018,KC,8.5,12,10.68,3.5,4,0,5,Yr4+,0.7406250000000005,9.88,10,1.0,1.75,0.9375,0.7692,80.0
2018,LAC,9.5,12,10.42,2.5,2,0,2,Yr2-3,0.3414999999999999,10.44,9,1.5,-0.25,0.75,0.6923,67.6
2018,LAR,10.0,13,10.87,3.0,3,0,2,Yr2-3,0.32399999999999984,11.33,11,5.0,0.75,0.4375,0.4167,15.6
2018,LV,7.5,4,3.91,-3.5,2,1,1,Yr1,-0.09562500000000007,6.01,6,-3.5,0.0,-0.875,0.3913,44.2
2018,MIA,6.5,7,5.22,0.5,3,0,3,Yr2-3,-0.34974999999999934,4.98,6,-1.0,1.0,-0.875,0.4286,115.5
2018,MIN,10.0,8,8.51,-2.0,3,0,5,Yr4+,0.2448750000000004,11.65,13,4.5,2.0,0.3125,0.4545,47.7
2018,NE,11.0,11,10.68,0.0,1,0,5,Yr4+,0.32425000000000015,11.8,13,0.5,2.0,0.375,0.6,61.3
2018,NO,9.5,13,11.19,3.5,1,0,5,Yr4+,0.27187499999999964,10.88,11,3.0,1.5,0.4375,0.3333,95.9
2018,NYG,7.0,5,6.96,-2.0,3,1,1,Yr1,0.01112499999999983,4.06,3,-6.0,-1.75,-0.1875,0.4286,96.3
2018,NYJ,6.0,4,5.43,-2.0,,0,4,Yr4+,-0.1251249999999997,5.71,5,1.5,-0.75,-0.25,0.4286,47.4
2018,PHI,10.5,9,8.5,-1.5,2,0,3,Yr2-3,0.8162500000000001,11.81,13,4.5,2.5,0.6875,0.5217,53.5
2018,PIT,10.5,9,9.62,-1.5,1,0,5,Yr4+,0.3489999999999993,10.53,13,2.5,1.5,0.125,0.5455,30.5
2018,SEA,7.5,10,9.95,2.5,2,0,5,Yr4+,0.5952499999999992,8.92,9,-1.5,-1.0,0.5,0.6875,88.2
2018,SF,8.5,4,5.78,-4.5,,0,2,Yr2-3,-0.024374999999999147,6.63,6,1.0,-1.25,-0.1875,0.5556,91.6
2018,TB,6.5,5,6.52,-1.5,3,0,3,Yr2-3,0.3806250000000002,6.77,5,-3.5,-0.75,-0.0625,0.5,78.6
2018,TEN,8.0,9,8.22,1.0,3,1,1,Yr1,0.7443749999999998,7.4,9,0.0,1.5,-0.25,0.5294,27.6
2018,WAS,7.0,7,5.74,0.0,3,0,5,Yr4+,-0.07887500000000003,6.81,7,-0.5,0.0,-0.25,0.3333,121.0
2019,ARI,5.0,5,6.12,0.0,,1,1,Yr1,0.023125000000000284,2.9,3,-3.0,-1.75,-0.75,0.4737,92.3
2019,ATL,8.5,7,7.56,-1.5,2,0,5,Yr4+,0.5539999999999994,7.8,7,-2.5,-1.0,0.0625,0.2667,75.9
2019,BAL,8.5,14,13.08,5.5,4,0,6,Yr4+,0.39425000000000043,10.76,10,1.5,1.0,-0.1875,0.3125,28.5
2019,BUF,7.0,10,9.79,3.0,4,0,3,Yr2-3,-0.40687499999999943,5.03,6,0.5,1.5,-0.3125,0.55,31.0
2019,CAR,8.0,5,5.07,-3.0,,0,6,Yr4+,-0.043374999999999275,7.85,7,-1.5,0.25,0.0625,0.625,102.6
2019,CHI,9.0,8,7.41,-1.0,3,0,2,Yr2-3,1.2060000000000013,11.51,12,4.5,2.0,0.75,0.4737,34.5
2019,CIN,6.0,2,4.4,-4.0,3,1,1,Yr1,-0.3282499999999988,6.03,6,-1.0,-1.25,0.0625,0.6,97.9
2019,CLE,9.0,6,6.5,-3.0,2,1,1,Yr1,-0.5175000000000001,7.17,7,1.0,-1.75,0.4375,0.6667,47.9
2019,DAL,9.0,8,10.74,-1.0,3,0,6,Yr4+,0.1276249999999992,8.43,10,1.5,0.5,0.1875,0.55,75.2
2019,DEN,7.0,7,6.93,0.0,3,1,1,Yr1,0.3591250000000006,7.44,6,-1.0,-2.0,0.4375,0.6471,73.6
2019,DET,6.5,3,6.0,-3.5,2,0,2,Yr2-3,0.1875,7.01,6,-1.5,0.0,-0.3125,0.5,74.7
2019,GB,9.0,13,9.71,4.0,1,1,1,Yr1,0.3777499999999998,7.41,6,-4.0,-3.75,0.0,0.4211,89.7
2019,HOU,8.5,10,7.83,1.5,2,0,6,Yr4+,0.9612499999999997,10.22,11,2.5,-1.0,0.8125,0.6667,85.3
2019,IND,7.5,7,7.69,-0.5,,0,2,Yr2-3,0.9918750000000003,10.13,10,2.5,-0.75,0.125,0.55,108.6
2019,JAX,8.0,6,5.44,-2.0,,0,3,Yr2-3,-0.30837499999999984,5.66,5,-4.0,-0.25,-0.75,0.2727,102.5
2019,KC,10.5,12,11.39,1.5,1,0,6,Yr4+,0.5339999999999998,10.68,12,3.5,2.25,0.5625,0.6667,60.1
2019,LAC,10.0,5,7.78,-5.0,1,0,3,Yr2-3,0.38162499999999966,10.42,12,2.5,2.0,0.0625,0.5,83.0
2019,LAR,10.5,9,8.75,-1.5,2,0,3,Yr2-3,0.29100000000000037,10.87,13,3.0,4.0,0.6875,0.6316,37.9
2019,LV,6.0,7,5.34,1.0,3,0,2,Yr2-3,-0.09437499999999943,3.91,4,-3.5,-3.5,-0.4375,0.1765,77.3
2019,MIA,4.5,5,3.89,0.5,4,1,1,Yr1,0.7883749999999994,5.22,7,0.5,-0.25,0.3125,0.4118,93.1
2019,MIN,9.0,10,10.69,1.0,3,0,6,Yr4+,0.22487500000000082,8.51,8,-2.0,1.25,0.0,0.4444,70.2
2019,NE,11.5,12,13.03,0.5,1,0,6,Yr4+,0.041375000000000384,10.68,11,0.0,0.25,0.625,0.5882,75.2
2019,NO,10.5,13,10.69,2.5,1,0,6,Yr4+,0.09787500000000104,11.19,13,3.5,3.25,0.5,0.5714,50.0
2019,NYG,6.0,4,5.44,-2.0,,0,2,Yr2-3,-0.2947499999999996,6.96,5,-2.0,-4.0,0.125,0.4167,51.2
2019,NYJ,7.5,7,5.59,-0.5,3,1,1,Yr1,-0.07125000000000004,5.43,4,-2.0,-0.25,-0.625,0.3889,70.4
2019,PHI,10.0,9,8.79,-1.0,2,0,4,Yr4+,-0.35787499999999905,8.5,9,-1.5,1.5,-0.375,0.3684,117.0
2019,PIT,9.5,8,7.55,-1.5,,0,6,Yr4+,-0.16037499999999927,9.62,9,-1.5,0.5,-0.6875,0.4375,38.5
2019,SEA,9.0,11,8.17,2.0,1,0,6,Yr4+,0.6391250000000008,9.95,10,2.5,0.5,0.9375,0.7778,62.7
2019,SF,8.0,13,11.79,5.0,3,0,3,Yr2-3,0.16787500000000044,5.78,4,-4.5,-1.75,-1.5625,0.2941,97.2
2019,TB,6.5,7,8.19,0.5,3,1,1,Yr1,-0.19824999999999982,6.52,5,-1.5,-2.5,-1.125,0.4706,105.6
2019,TEN,8.0,9,9.81,1.0,,0,2,Yr2-3,0.11362500000000075,8.22,9,1.0,0.5,-0.0625,0.5,64.7
2019,WAS,6.0,3,3.8,-3.0,4,0,6,Yr4+,0.2699999999999996,5.74,7,0.0,-0.25,0.4375,0.7333,95.6
2020,ARI,7.5,8,9.04,0.5,3,0,2,Yr2-3,-0.055749999999999744,6.12,5,0.0,-1.5,-0.0625,0.625,85.0
2020,ATL,7.5,4,7.58,-3.5,2,0,6,Yr4+,0.28275000000000006,7.56,7,-1.5,-2.0,-0.3125,0.4444,53.2
2020,BAL,11.5,11,11.79,-0.5,2,0,7,Yr4+,0.3278750000000006,13.08,14,5.5,3.5,0.625,0.6316,68.7
2020,BUF,9.0,13,10.64,4.0,3,0,4,Yr4+,0.5902499999999993,9.79,10,3.0,1.75,0.25,0.5625,64.6
2020,CAR,5.5,5,6.7,-0.5,3,1,1,Yr1,0.15662500000000001,5.07,5,-3.0,-2.25,-0.875,0.3333,66.2
2020,CHI,8.0,8,8.05,0.0,4,0,3,Yr2-3,-0.34012499999999957,7.41,8,-1.0,1.75,0.0,0.5625,65.4
2020,CIN,5.5,4,5.19,-1.5,,0,2,Yr2-3,0.11437500000000078,4.4,2,-4.0,-2.5,-0.875,0.2632,83.2
2020,CLE,8.5,11,7.75,2.5,3,1,1,Yr1,-0.3706250000000004,6.5,6,-3.0,-1.0,-0.5,0.4615,56.8
2020,DAL,10.0,6,6.32,-4.0,,1,1,Yr1,0.49337499999999945,10.74,8,-1.0,0.25,-0.0625,0.5882,51.8
2020,DEN,7.5,5,5.08,-2.5,4,0,2,Yr2-3,0.3508749999999985,6.93,7,0.0,-0.5,0.0625,0.5385,89.2
2020,DET,7.0,5,5.11,-2.0,2,0,3,Yr2-3,-0.22774999999999945,6.0,3,-3.5,-2.5,-0.3125,0.5789,87.8
2020,GB,8.5,13,10.91,4.5,1,0,2,Yr2-3,0.35862500000000086,9.71,13,4.0,0.0,0.75,0.4706,65.6
2020,HOU,7.5,4,6.24,-3.5,1,0,7,Yr4+,-0.12175000000000047,7.83,10,1.5,2.0,0.0,0.5556,78.2
2020,IND,9.5,11,10.04,1.5,2,0,3,Yr2-3,0.12162499999999987,7.69,7,-0.5,1.0,0.125,0.4211,65.3
