bucket,n,avg_line,over_pct_all,mean_diff_all,n_healthy,over_pct_healthy,median_diff_healthy
<7 (bad),18,75.0,56,-6.0,13,77,9.5
7-8 (below .500),19,69.0,32,-9.0,12,50,0.5
8.5-9 (around .500),22,73.0,32,-4.0,15,47,-0.5
9.5-10 (good),39,74.0,36,-5.0,28,46,-3.5
10.5+ (contender),25,72.0,68,1.0,21,76,6.5
