tier,n,over_pct_all,n_healthy,over_pct_healthy,median_diff_healthy,mean_abs_miss
<700,13,31,9,33,-10.5,220.8
700-850,39,51,30,67,177.5,269.5
850-1000,52,44,33,64,115.5,266.4
1000-1200,33,36,25,48,-8.5,237.4
1200+,21,48,15,67,158.5,272.3
