bucket,n,avg_line,over_pct_all,mean_diff_all,n_healthy,over_pct_healthy,median_diff_healthy
1 (elite),19,72.0,58,0.0,14,64,7.0
2,35,74.0,40,-4.0,23,61,3.5
3,31,74.0,35,-9.0,23,48,-4.5
4-5 (weak),19,72.0,53,-2.0,15,67,2.5
untiered,19,71.0,42,-4.0,14,57,6.0
