bucket,n,avg_line,over_pct_all,mean_diff_all,n_healthy,over_pct_healthy,median_diff_healthy
1 (elite),27,949.0,41,-30.0,18,50,10.0
2,45,965.0,38,-57.0,28,57,56.0
3,40,940.0,40,-13.0,31,52,18.5
4-5 (weak),25,894.0,64,64.0,19,84,207.5
untiered,21,908.0,43,-68.0,16,56,37.0
