tier,n,over_pct_all,n_healthy,over_pct_healthy,median_diff_healthy,mean_abs_miss
<=55,15,7,11,9,-5.5,14.3
56-65,20,70,16,88,18.0,23.1
66-75,39,44,27,59,3.5,16.4
76-85,21,29,15,40,-9.5,18.8
86+,28,57,20,75,10.0,21.2
