year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight
2023,TB,6.0,9,3.0,0,8.647,1,-3.0,8,-2.647,7.16,0.84,8.118,3,87
2023,TEN,7.5,6,-1.5,0,8.441,1,-2.0,7,-3.588,6.65,0.35,7.471,2,111
2023,WAS,6.5,4,-2.5,0,8.853,0,0.5,8,-1.294,7.83,0.17,9.0,3,34
2024,ARI,7.0,8,1.0,0,8.559,1,-0.5,4,-7.353,5.41,-1.41,8.294,4,193
2024,ATL,9.5,8,-1.5,1,7.588,1,-1.5,7,-3.059,7.0,0.0,7.706,4,226
2024,BAL,10.5,12,1.5,0,8.647,0,3.0,13,11.941,13.34,-0.34,9.118,4,224
2024,BUF,10.0,13,3.0,0,8.706,0,0.5,11,8.235,12.02,-1.02,8.765,3,168
2024,CAR,5.5,5,-0.5,1,8.294,1,-5.5,2,-10.588,3.52,-1.52,7.941,2,3
2024,CHI,8.5,5,-3.5,0,8.118,1,-0.5,7,-1.118,7.98,-0.98,7.941,4,170
2024,CIN,10.5,9,-1.5,0,8.029,1,-2.0,9,-1.059,8.02,0.98,8.529,3,187
2024,CLE,8.5,3,-5.5,0,8.824,0,2.0,11,2.0,9.4,1.6,9.294,3,143
2024,DAL,10.0,7,-3.0,0,8.588,0,2.0,12,11.412,12.87,-0.87,8.588,2,179
2024,DEN,5.5,10,4.5,0,8.647,1,-0.5,8,-3.294,7.05,0.95,8.412,0,0
2024,DET,10.5,15,4.5,0,8.529,0,2.5,12,3.882,10.04,1.96,8.647,4,237
2024,GB,10.0,11,1.0,0,8.618,0,1.5,9,1.941,9.4,-0.4,8.941,3,102
2024,HOU,9.5,10,0.5,0,8.735,0,3.5,10,1.412,9.16,0.84,8.941,4,249
2024,IND,8.5,8,-0.5,0,8.147,0,2.5,9,-1.118,8.03,0.97,8.353,3,211
2024,JAX,8.5,4,-4.5,0,8.471,1,-0.5,9,0.353,8.66,0.34,8.706,3,114
2024,KC,11.5,15,3.5,0,8.265,1,-0.5,11,4.529,10.79,0.21,8.529,6,245
2024,LAC,9.0,11,2.0,1,7.794,1,-4.5,5,-3.059,7.1,-2.1,8.118,2,88
2024,LAR,8.5,10,1.5,0,8.588,0,3.5,10,1.588,9.2,0.8,8.588,4,282
2024,LV,6.5,4,-2.5,1,8.618,0,1.5,8,0.059,8.53,-0.53,8.706,2,72
2024,MIA,10.0,8,-2.0,0,8.265,0,1.5,11,6.176,10.83,0.17,8.294,5,316
2024,MIN,6.5,14,7.5,0,8.882,1,-1.5,7,-1.059,7.99,-0.99,8.529,2,122
2024,NE,4.5,4,-0.5,1,9.088,1,-3.5,4,-7.647,4.44,-0.44,8.706,1,23
2024,NO,7.5,5,-2.5,0,8.118,1,-0.5,9,4.412,10.54,-1.54,7.706,3,106
2024,NYG,6.5,3,-3.5,0,8.471,1,-1.5,6,-8.294,4.55,1.45,8.765,2,50
2024,NYJ,9.5,5,-4.5,0,8.029,1,-2.5,7,-5.118,5.77,1.23,8.588,3,236
2024,PHI,10.5,14,3.5,0,8.265,1,-0.5,11,0.294,8.62,2.38,8.353,4,299
2024,PIT,8.0,10,2.0,0,8.971,0,1.0,10,-1.176,7.86,2.14,9.059,4,89
2024,SEA,7.5,10,2.5,1,8.529,0.5,0.0,9,-2.235,7.5,1.5,8.294,3,155
2024,SF,11.5,6,-5.5,0,8.5,0,1.0,12,11.353,13.01,-1.01,8.588,4,212
2024,TB,7.5,10,2.5,0,8.441,0,3.0,9,1.353,9.19,-0.19,8.118,4,186
2024,TEN,6.5,3,-3.5,1,8.735,1,-1.5,6,-3.647,6.67,-0.67,8.353,3,72
2024,WAS,6.5,12,5.5,1,8.441,1,-2.5,4,-11.118,4.32,-0.32,8.529,2,91
2025,ARI,8.5,3,-5.5,0,8.5,0,1.0,8,1.235,9.04,-1.04,7.765,4,208
2025,ATL,8.5,8,-0.5,0,8.206,1,-1.5,8,-2.0,7.66,0.34,8.118,3,176
2025,BAL,11.5,8,-3.5,0,8.794,0,1.5,12,9.235,11.93,0.07,9.059,4,224
2025,BUF,12.5,12,-0.5,0,8.265,0,3.0,13,9.235,11.88,1.12,7.941,2,164
2025,CAR,6.5,8,1.5,0,8.382,1,-0.5,5,-11.353,4.36,0.64,7.765,3,103
2025,CHI,8.5,11,2.5,1,8.853,1,-3.5,5,-3.529,6.74,-1.74,9.706,4,130
2025,CIN,9.5,6,-3.5,0,8.735,1,-1.5,9,2.235,9.34,-0.34,8.647,4,323
2025,CLE,4.5,5,0.5,0,9.206,1,-5.5,3,-10.412,3.82,-0.82,8.824,1,18
2025,DAL,7.5,7,-0.5,1,8.853,1,-3.0,7,-6.941,5.68,1.32,9.471,3,185
2025,DEN,9.5,14,4.5,0,8.618,0,4.5,10,6.706,11.51,-1.51,8.588,3,150
2025,DET,10.5,9,-1.5,0,9.147,0,4.5,15,13.059,13.02,1.98,9.706,6,317
2025,GB,10.5,9,-1.5,0,8.794,0,1.0,11,7.176,11.47,-0.47,9.471,3,147
2025,HOU,9.5,12,2.5,0,8.853,0,0.5,10,0.0,8.5,1.5,8.176,2,124
2025,IND,7.5,8,0.5,0,8.559,1,-0.5,8,-2.941,7.25,0.75,7.882,1,88
2025,JAX,7.5,13,5.5,1,8.441,1,-4.5,4,-6.765,5.54,-1.54,7.941,3,131
2025,KC,11.5,6,-5.5,0,8.853,0,3.5,15,3.471,10.15,4.85,8.882,4,162
2025,LAC,9.5,11,1.5,0,8.559,0,2.0,11,5.941,11.31,-0.31,8.882,3,178
2025,LAR,9.5,12,2.5,0,8.735,0,1.5,10,-1.118,7.99,2.01,8.353,4,230
2025,LV,6.5,3,-3.5,1,8.676,1,-2.5,4,-7.353,5.25,-1.25,8.529,3,154
2025,MIA,7.5,7,-0.5,0,8.5,1,-2.0,8,-1.118,7.96,0.04,8.059,4,173
2025,MIN,9.5,9,-0.5,0,9.029,0,7.5,14,5.882,11.07,2.93,9.471,5,181
2025,NE,8.5,14,5.5,1,7.912,1,-0.5,4,-7.529,5.02,-1.02,7.294,2,101
2025,NO,4.5,6,1.5,1,8.324,1,-2.5,5,-3.529,6.87,-1.87,7.118,2,54
2025,NYG,5.5,5,-0.5,0,9.206,1,-3.5,3,-8.353,4.6,-1.6,9.765,2,90
2025,NYJ,6.5,3,-3.5,1,8.5,1,-4.5,5,-3.882,6.73,-1.73,7.824,3,133
2025,PHI,11.5,11,-0.5,0,8.971,0,3.5,14,9.412,12.44,1.56,9.529,4,293
2025,PIT,8.5,10,1.5,0,8.853,0,2.0,10,1.941,9.41,0.59,8.941,3,70
2025,SEA,8.5,14,5.5,0,8.5,0,2.5,10,0.412,8.69,1.31,8.059,3,89
2025,SF,10.5,12,1.5,0,7.735,1,-5.5,6,-2.765,7.36,-1.36,7.059,4,216
2025,TB,9.5,8,-1.5,0,8.382,0,2.5,10,6.882,11.09,-1.09,8.176,3,223
2025,TEN,6.5,3,-3.5,0,8.265,1,-3.5,3,-8.765,4.82,-1.82,7.647,2,55
2025,WAS,9.5,5,-4.5,0,8.794,0,5.5,12,5.529,10.62,1.38,9.353,3,160
