year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight,target_pyth_wins,target_avg_point_diff,target_luck
2016,NE,10.5,14,3.5,0,8.156,0,1.5,12,9.375,11.45,0.55,8.375,3,203,12.69,11.938,1.3100000000000005
2016,NO,7.0,7,0.0,0,8.281,1,-1.5,7,-4.25,6.55,0.45,8.75,4,229,8.31,0.938,-1.3100000000000005
2016,NYG,8.5,11,2.5,1,7.875,1,-2.0,6,-1.375,7.52,-1.52,7.375,3,167,8.83,1.625,2.17
2016,NYJ,8.0,5,-3.0,0,8.5,0,2.5,10,4.562,9.94,0.06,8.5,3,157,4.49,-8.375,0.5099999999999998
2016,PHI,6.5,7,0.5,1,8.312,1,-3.0,7,-3.312,6.76,0.24,7.5,2,52,8.97,2.25,-1.9700000000000006
2016,PIT,10.5,11,0.5,0,8.0,0,1.5,10,6.5,10.58,-0.58,7.562,3,274,9.85,4.5,1.1500000000000004
2016,SEA,10.5,10,-0.5,0,8.0,1,-1.0,10,9.125,11.71,-1.71,8.688,4,209,9.79,3.875,0.21000000000000085
2016,SF,5.5,2,-3.5,1,8.562,1,-1.5,5,-9.312,3.84,1.16,8.875,1,50,4.17,-10.688,-2.17
2016,TB,7.0,9,2.0,1,8.312,0.5,0.0,6,-4.688,6.15,-0.15,8.688,3,183,7.61,-0.938,1.3899999999999997
2016,TEN,6.0,9,3.0,1,8.094,1,-2.5,3,-7.75,4.88,-1.88,7.562,3,78,8.07,0.188,0.9299999999999997
2016,WAS,7.5,8,0.5,0,8.375,0,3.0,9,0.562,8.22,0.78,7.875,4,127,8.32,0.812,-0.3200000000000003
2017,ARI,8.5,8,-0.5,0,7.844,1,-3.0,7,3.5,9.35,-2.35,7.375,3,161,6.12,-4.125,1.88
2017,ATL,9.5,10,0.5,0,8.281,0,4.0,11,8.375,10.61,0.39,8.312,4,281,9.07,2.375,0.9299999999999997
