year,team,n_games,sos_this_year_line,n_opponents_with_line,sos_prior_year_wins,n_opponents_with_prior_wins
2019,SF,16,8.156,16,8.062,16
2019,TB,16,8.188,16,8.125,16
2019,TEN,16,8.188,16,8.188,16
2019,WAS,16,8.125,16,7.438,16
2020,ARI,16,8.188,16,8.25,16
2020,ATL,16,8.594,16,8.375,16
2020,BAL,16,8.031,16,7.0,16
2020,BUF,16,8.219,16,8.375,16
2020,CAR,16,8.406,16,7.938,16
2020,CHI,16,7.938,16,8.062,16
2020,CIN,16,8.375,16,7.625,16
2020,CLE,16,8.0,16,7.375,16
2020,DAL,16,8.094,16,7.312,16
2020,DEN,16,8.469,16,8.188,16
2020,DET,16,7.906,16,8.375,16
2020,GB,16,8.188,16,8.0,16
2020,HOU,16,8.312,16,8.25,16
2020,IND,16,7.656,16,8.0,16
2020,JAX,16,8.281,16,7.875,16
2020,KC,16,8.031,16,8.0,16
2020,LAC,16,7.906,16,7.875,16
2020,LAR,16,8.375,16,8.188,16
2020,LV,16,8.469,16,7.938,16
2020,MIA,16,8.094,16,8.438,16
2020,MIN,16,8.094,16,8.188,16
2020,NE,16,8.281,16,8.562,16
2020,NO,16,8.25,16,7.812,16
2020,NYG,16,8.594,16,7.688,16
2020,NYJ,16,8.531,16,8.5,16
2020,PHI,16,8.312,16,7.75,16
2020,PIT,16,8.031,16,7.312,16
2020,SEA,16,8.188,16,8.062,16
2020,SF,16,8.219,16,8.375,16
2020,TB,16,8.062,16,8.0,16
2020,TEN,16,7.938,16,7.938,16
2020,WAS,16,8.469,16,7.375,16
2021,ARI,17,8.735,17,8.118,17
2021,ATL,17,8.559,17,7.235,17
2021,BAL,17,8.794,17,8.941,17
2021,BUF,17,8.441,17,7.647,17
2021,CAR,17,8.559,17,7.529,17
2021,CHI,17,8.794,17,8.765,17
2021,CIN,17,8.941,17,8.471,17
2021,CLE,17,8.412,17,8.235,17
2021,DAL,17,8.559,17,7.176,17
2021,DEN,17,8.412,17,7.471,17
2021,DET,17,8.941,17,8.412,17
2021,GB,17,8.647,17,8.647,17
2021,HOU,17,8.971,17,8.059,17
2021,IND,17,8.529,17,7.647,17
2021,JAX,17,8.412,17,7.824,17
2021,KC,17,8.853,17,8.118,17
2021,LAC,17,8.676,17,7.824,17
2021,LAR,17,8.647,17,8.235,17
2021,LV,17,9.088,17,8.353,17
2021,MIA,17,8.471,17,7.529,17
2021,MIN,17,8.588,17,8.471,17
2021,NE,17,8.647,17,7.824,17
2021,NO,17,8.853,17,7.706,17
2021,NYG,17,8.794,17,7.529,17
2021,NYJ,17,8.647,17,7.765,17
2021,PHI,17,8.5,17,6.882,17
2021,PIT,17,9.147,17,9.118,17
2021,SEA,17,8.559,17,8.176,17
2021,SF,17,8.118,17,7.765,17
2021,TB,17,8.353,17,7.412,17
2021,TEN,17,8.471,17,8.118,17
2021,WAS,17,8.882,17,8.0,17
