year,team,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins
2025,LV,17,241,432,-191,-11.235,0.2005,3.41
2025,MIA,17,347,424,-77,-4.529,0.3834,6.52
2025,MIN,17,344,333,11,0.647,0.5192,8.83
2025,NE,17,490,320,170,10.0,0.733,12.46
2025,NO,17,306,383,-77,-4.529,0.3701,6.29
2025,NYG,17,381,439,-58,-3.412,0.4168,7.09
2025,NYJ,17,300,503,-203,-11.941,0.2271,3.86
2025,PHI,17,379,325,54,3.176,0.5901,10.03
2025,PIT,17,397,387,10,0.588,0.5151,8.76
2025,SEA,17,483,292,191,11.235,0.7672,13.04
2025,SF,17,437,371,66,3.882,0.5958,10.13
2025,TB,17,380,411,-31,-1.824,0.4537,7.71
2025,TEN,17,284,478,-194,-11.412,0.2255,3.83
2025,WAS,17,356,451,-95,-5.588,0.3634,6.18
