player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0024243,Marcedes Lewis,TE,CHI,6,5,4,29,1,9,0.010482180293501
00-0027696,Jimmy Graham,TE,NO,6,7,6,39,4,42,0.0120898100172712
00-0027944,Julio Jones,WR,PHI,8,19,11,74,3,131,0.0361904761904762
00-0028002,Randall Cobb,WR,NYJ,9,17,5,39,1,165,0.0301953818827709
00-0029293,Marvin Jones,WR,DET,4,10,5,35,0,80,0.0174216027874564
00-0029701,Ryan Tannehill,QB,TEN,9,1,0,0,0,-1,0.002092050209205
00-0029892,Kyle Juszczyk,FB,SF,11,17,14,119,2,73,0.0360934182590234
00-0030035,Adam Thielen,WR,CAR,17,137,103,1014,4,1058,0.256554307116105
00-0030061,Zach Ertz,TE,ARI,7,43,27,187,1,332,0.0796296296296296
00-0030068,Marquise Goodwin,WR,CLE,10,13,4,67,0,391,0.0217755443886097
00-0030279,Keenan Allen,WR,LAC,13,150,108,1243,7,1452,0.244299674267101
00-0030431,Robert Woods,WR,HOU,14,75,40,426,1,732,0.132508833922262
00-0030506,Travis Kelce,TE,KC,15,121,93,984,5,807,0.202003338898164
00-0030513,Latavius Murray,RB,BUF,15,22,17,119,0,34,0.0403669724770642
00-0030564,DeAndre Hopkins,WR,TEN,17,137,75,1057,7,1934,0.286610878661088
00-0030565,Geno Smith,QB,SEA,15,1,1,-2,0,-8,0.0018281535648994
00-0030578,Cordarrelle Patterson,RB,ATL,12,12,9,38,1,10,0.0236220472440945
00-0030663,Willie Snead,WR,SF,2,3,2,14,0,18,0.0063694267515923
00-0030874,Damien Williams,RB,ARI,3,2,2,12,0,1,0.0037037037037037
00-0030968,Keith Smith,FB,ATL,11,3,3,33,0,18,0.0059055118110236
00-0031235,Odell Beckham Jr.,WR,BAL,14,64,35,565,3,888,0.134453781512605
00-0031236,Brandin Cooks,WR,DAL,16,81,54,657,8,1069,0.133884297520661
00-0031260,Logan Thomas,TE,WAS,16,78,55,496,4,471,0.129783693843594
00-0031376,Jerick McKinnon,RB,KC,12,32,25,192,4,8,0.0534223706176962
00-0031381,Davante Adams,WR,LV,17,175,103,1144,8,1896,0.329566854990584
00-0031408,Mike Evans,WR,TB,17,136,79,1255,13,1906,0.247272727272727
00-0031428,Allen Robinson,WR,PIT,15,49,34,280,0,370,0.101239669421488
00-0031484,Chris Manhertz,TE,DEN,7,4,2,16,0,12,0.0083857442348008
00-0031544,Amari Cooper,WR,CLE,15,128,72,1250,5,1834,0.214405360134003
00-0031547,DeVante Parker,WR,NE,13,55,33,394,0,640,0.101663585951941
00-0031549,Nelson Agholor,WR,BAL,16,45,35,381,4,418,0.0945378151260504
00-0031585,MyCole Pruitt,TE,ATL,10,12,9,110,1,62,0.0236220472440945
00-0031588,Stefon Diggs,WR,BUF,17,160,107,1183,8,1658,0.293577981651376
00-0031595,Michael Burton,FB,DEN,11,3,3,8,0,2,0.0062893081761006
00-0031610,Darren Waller,TE,NYG,12,74,52,552,1,592,0.152577319587629
00-0031687,Raheem Mostert,RB,MIA,15,32,25,175,3,-20,0.058287795992714
00-0031763,DeAndre Carter,WR,LV,17,7,4,39,0,4,0.0131826741996234
00-0031868,Damiere Byrd,WR,ATL,1,2,0,0,0,45,0.0039370078740157
00-0031941,Jamison Crowder,WR,WAS,16,20,16,159,1,122,0.0332778702163062
00-0032062,Blake Bell,TE,KC,7,9,5,26,1,30,0.015025041736227
00-0032104,Ameer Abdullah,RB,LV,16,24,19,131,0,46,0.0451977401129944
00-0032128,Chris Conley,WR,SF,1,6,3,69,0,74,0.0127388535031847
00-0032134,C.J. Uzomah,TE,NYJ,8,12,8,58,1,64,0.0213143872113677
00-0032141,Geoff Swaim,TE,ARI,8,11,10,94,0,60,0.0203703703703704
00-0032144,Melvin Gordon,RB,BAL,4,3,3,46,0,18,0.0063025210084033
00-0032200,Ty Montgomery,WR,NE,11,12,5,40,0,90,0.022181146025878
00-0032208,Phillip Dorsett,WR,DEN,2,3,0,0,0,78,0.0062893081761006
00-0032211,Tyler Lockett,WR,SEA,17,122,79,894,5,1322,0.223034734917733
00-0032217,Donovan Smith,OT,KC,4,1,1,0,0,0,0.001669449081803
00-0032385,Sterling Shepard,WR,NYG,10,22,10,57,1,160,0.045360824742268
00-0032392,Austin Hooper,TE,LV,16,31,25,234,0,130,0.0583804143126177
00-0032394,Nick Vannett,TE,LAC,1,1,1,3,0,3,0.001628664495114
