player_id,team_start
00-0019596,TB
00-0022824,ARI
00-0023252,SF
00-0023459,GB
00-0023853,ARI
00-0024243,GB
00-0025565,NE
00-0025580,GB
00-0025825,PHI
00-0026027,CAR
00-0026143,IND
00-0026158,NYJ
00-0026166,NYJ
00-0026189,BAL
00-0026190,BAL
00-0026197,KC
00-0026293,NE
00-0026300,SF
00-0026498,LA
00-0026544,LAC
00-0026625,NE
00-0026858,NYG
00-0026968,TB
00-0027103,CIN
00-0027114,MIA
00-0027187,DAL
00-0027224,HOU
00-0027557,TEN
00-0027647,NE
00-0027648,BUF
00-0027662,KC
00-0027686,JAX
00-0027688,ARI
00-0027691,CAR
00-0027723,SEA
00-0027855,PHI
00-0027857,SF
00-0027862,PIT
00-0027865,PHI
00-0027867,BAL
00-0027872,DEN
00-0027881,HOU
00-0027885,PHI
00-0027940,BUF
00-0027942,ARI
00-0027943,MIN
00-0027944,TB
00-0027948,TB
00-0027949,ARI
00-0027952,CHI
00-0027962,NO
00-0027966,NO
00-0027969,PIT
00-0027973,NO
00-0027981,TB
00-0027993,ARI
00-0028002,GB
00-0028008,BAL
00-0028063,BUF
00-0028118,NYG
00-0028129,PHI
00-0028171,NE
00-0028224,NO
00-0028278,BAL
00-0028284,CHI
00-0028292,SEA
00-0028339,HOU
00-0028845,LAC
00-0028872,CAR
00-0028899,IND
00-0028908,CIN
00-0028924,SF
00-0028946,ARI
00-0028986,BUF
00-0029000,TB
00-0029008,CLE
00-0029144,DEN
00-0029164,NYJ
00-0029193,SEA
00-0029239,LV
00-0029249,MIA
00-0029255,LA
00-0029261,ATL
00-0029263,DEN
00-0029285,CAR
00-0029293,JAX
00-0029316,ARI
00-0029412,NYJ
00-0029413,TEN
00-0029419,IND
00-0029421,TEN
00-0029530,MIA
00-0029542,IND
00-0029562,TB
00-0029567,IND
00-0029585,LV
00-0029592,BAL
00-0029597,BAL
00-0029604,MIN
00-0029606,MIN
00-0029607,NO
00-0029608,DAL
00-0029621,NYJ
00-0029630,DET
00-0029653,PHI
00-0029657,TB
00-0029664,TEN
00-0029672,CHI
00-0029681,SF
00-0029685,BUF
00-0029692,DAL
00-0029701,TEN
00-0029709,LA
00-0029714,MIN
00-0029747,ARI
00-0029764,NE
00-0029822,DEN
00-0029890,DEN
00-0029892,SF
00-0029959,SEA
00-0030010,BAL
00-0030035,MIN
00-0030061,ARI
00-0030062,PHI
00-0030063,LV
00-0030064,WAS
00-0030067,MIA
00-0030068,SEA
00-0030070,MIA
00-0030074,GB
00-0030083,LA
00-0030090,BUF
00-0030092,BUF
00-0030097,BUF
00-0030098,LAC
00-0030108,CHI
00-0030114,BUF
00-0030140,WAS
00-0030279,LAC
00-0030288,HOU
00-0030294,NYG
00-0030332,DAL
00-0030383,LV
00-0030386,TB
00-0030387,BAL
00-0030402,SF
00-0030411,TB
00-0030421,NE
00-0030431,TEN
00-0030456,TB
00-0030459,NO
00-0030463,BAL
00-0030500,NYG
00-0030506,KC
00-0030511,KC
00-0030513,NO
00-0030561,PHI
00-0030564,ARI
00-0030565,SEA
00-0030575,BUF
00-0030578,ATL
00-0030615,KC
00-0030665,NO
00-0030694,NO
00-0030725,WAS
00-0030757,CHI
00-0030761,CHI
00-0030792,HOU
00-0030827,JAX
00-0030829,TB
00-0030869,WAS
00-0030874,ATL
00-0030946,SF
00-0030957,NYG
00-0030968,ATL
00-0031019,LAC
00-0031022,NYJ
00-0031039,NE
00-0031040,LAC
00-0031041,BAL
00-0031051,BUF
00-0031054,BUF
00-0031067,DEN
00-0031079,GB
00-0031095,WAS
00-0031097,TEN
00-0031101,TB
00-0031122,WAS
00-0031130,SEA
00-0031136,PIT
00-0031142,LAC
00-0031177,BAL
00-0031203,CHI
00-0031236,HOU
00-0031237,MIA
00-0031241,ARI
00-0031253,DEN
00-0031254,TEN
00-0031256,DAL
00-0031258,BAL
00-0031260,WAS
00-0031269,CAR
00-0031270,SEA
00-0031273,TB
00-0031279,ATL
00-0031280,LV
00-0031282,HOU
00-0031296,NYJ
00-0031298,SF
00-0031308,HOU
00-0031325,GB
00-0031330,BAL
00-0031345,SF
00-0031346,NYG
00-0031353,CHI
00-0031357,DAL
00-0031360,LAC
00-0031361,HOU
00-0031362,WAS
00-0031363,NE
00-0031364,CLE
00-0031372,NO
00-0031376,KC
00-0031381,LV
00-0031382,NO
00-0031384,LAC
00-0031388,LA
00-0031389,NYJ
00-0031402,DAL
00-0031404,NE
00-0031408,TB
00-0031411,DAL
00-0031426,CLE
00-0031428,LA
00-0031433,DEN
00-0031442,TEN
00-0031484,JAX
00-0031492,SEA
00-0031500,WAS
00-0031503,NO
00-0031534,CIN
00-0031544,CLE
00-0031545,NO
00-0031547,NE
00-0031549,NE
00-0031550,CAR
00-0031554,MIN
00-0031555,MIA
00-0031557,BUF
00-0031558,ARI
00-0031561,LV
00-0031565,MIN
00-0031566,MIA
00-0031576,MIN
00-0031580,TB
00-0031581,NYG
00-0031583,ATL
00-0031584,GB
00-0031585,ATL
00-0031587,WAS
00-0031588,BUF
00-0031595,KC
00-0031596,WAS
00-0031598,BAL
00-0031608,SEA
00-0031610,LV
00-0031615,NO
00-0031619,LAC
00-0031687,MIA
00-0031690,DEN
00-0031740,HOU
00-0031763,LAC
00-0031785,LA
00-0031787,BUF
00-0031795,DEN
00-0031796,SEA
00-0031800,WAS
00-0031806,LA
00-0031852,NE
00-0031868,ATL
00-0031870,ATL
00-0031898,DEN
00-0031904,LAC
00-0031911,PHI
00-0031933,NYG
00-0031935,GB
00-0031936,BUF
00-0031938,NE
00-0031941,BUF
00-0031947,LAC
00-0031957,TB
00-0032052,DAL
00-0032053,JAX
00-0032054,TB
00-0032058,SF
00-0032059,NO
00-0032062,KC
00-0032063,BAL
00-0032065,ATL
00-0032071,NE
00-0032087,TEN
00-0032103,LV
00-0032104,LV
00-0032107,CHI
00-0032109,NYJ
00-0032127,ARI
00-0032128,HOU
00-0032129,MIN
00-0032132,ARI
00-0032134,NYJ
00-0032141,TEN
00-0032144,DEN
00-0032145,CAR
00-0032146,TEN
00-0032150,HOU
00-0032151,NYG
00-0032156,CHI
00-0032162,SF
00-0032164,SF
00-0032165,BAL
00-0032187,NO
00-0032195,DEN
00-0032197,DEN
00-0032200,NE
00-0032203,NO
00-0032208,HOU
00-0032210,KC
00-0032211,SEA
00-0032214,SF
00-0032215,CAR
00-0032217,TB
00-0032222,ARI
00-0032228,NE
00-0032233,NYJ
00-0032242,LA
00-0032255,HOU
00-0032257,BUF
00-0032262,NYG
00-0032265,TEN
00-0032268,ATL
00-0032269,CAR
00-0032320,ATL
00-0032355,CLE
00-0032366,BUF
00-0032378,IND
00-0032379,CIN
00-0032380,HOU
00-0032381,DET
00-0032382,TB
00-0032383,IND
00-0032385,NYG
00-0032387,GB
00-0032388,CLE
00-0032389,DAL
00-0032391,KC
00-0032392,TEN
00-0032394,NO
00-0032395,DEN
00-0032398,HOU
00-0032399,PIT
00-0032401,GB
00-0032402,SF
00-0032403,CAR
00-0032408,LV
00-0032412,GB
00-0032415,NE
00-0032416,SEA
00-0032420,MIA
00-0032424,CIN
00-0032432,WAS
00-0032434,CIN
00-0032436,HOU
00-0032437,HOU
00-0032442,MIA
00-0032445,CIN
00-0032450,NO
00-0032454,DAL
00-0032455,SEA
00-0032463,LV
00-0032464,DET
