player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0019596,Tom Brady,QB,TB,17,1,0,0,0,16,0.0013812154696132
00-0024243,Marcedes Lewis,TE,GB,6,7,6,66,2,58,0.012962962962963
00-0026189,DeSean Jackson,WR,BAL,7,17,9,153,0,302,0.0365591397849462
00-0027942,A.J. Green,WR,ARI,13,47,24,236,2,515,0.0740157480314961
00-0027944,Julio Jones,WR,TB,10,43,24,299,2,603,0.0593922651933702
00-0027966,Mark Ingram,RB,NO,10,18,16,68,0,-17,0.0365111561866126
00-0027981,Kyle Rudolph,TE,TB,5,5,3,28,1,44,0.0069060773480663
00-0028002,Randall Cobb,WR,GB,13,50,34,417,1,475,0.0925925925925926
00-0029000,Cole Beasley,WR,BUF,4,7,6,35,0,26,0.0096685082872928
00-0029239,Brandon Bolden,RB,LV,13,9,9,57,1,30,0.0161290322580645
00-0029263,Russell Wilson,QB,DEN,15,1,1,1,0,-1,0.0018484288354898
00-0029293,Marvin Jones,WR,JAX,16,81,46,529,3,1071,0.141114982578397
00-0029608,T.Y. Hilton,WR,DAL,3,10,7,121,0,175,0.018348623853211
00-0029664,Josh Gordon,WR,TEN,1,1,0,0,0,12,0.0022935779816513
00-0029892,Kyle Juszczyk,FB,SF,13,23,19,200,1,63,0.0456349206349206
00-0030035,Adam Thielen,WR,MIN,17,107,70,716,6,1036,0.166926677067083
00-0030061,Zach Ertz,TE,ARI,10,69,47,406,4,548,0.108661417322835
00-0030068,Marquise Goodwin,WR,SEA,13,42,27,387,4,442,0.0759493670886076
00-0030074,David Bakhtiari,OT,GB,4,1,0,0,0,1,0.0018518518518518
00-0030108,Ryan Griffin,TE,CHI,10,8,4,26,0,53,0.0222841225626741
00-0030279,Keenan Allen,WR,LAC,10,89,66,752,4,770,0.129548762736536
00-0030288,Rex Burkhead,RB,HOU,15,51,37,204,1,75,0.0913978494623656
00-0030431,Robert Woods,WR,TEN,17,91,53,527,2,716,0.208715596330275
00-0030456,Giovani Bernard,RB,TB,4,2,2,-1,0,-8,0.0027624309392265
