player_id,team_start
00-0023459,NYJ
00-0023853,ARI
00-0024243,CHI
00-0025565,TEN
00-0026027,CAR
00-0026158,IND
00-0026190,MIA
00-0026300,BAL
00-0026498,LA
00-0026858,NYG
00-0027114,NYJ
00-0027557,TEN
00-0027857,SF
00-0027865,PHI
00-0027872,BUF
00-0027881,HOU
00-0027885,DAL
00-0027940,BUF
00-0027947,NYJ
00-0027962,NO
00-0027969,PIT
00-0027973,CAR
00-0028118,NYJ
00-0028171,CIN
00-0028292,WAS
00-0028845,LAC
00-0028872,CAR
00-0028899,CLE
00-0028924,SF
00-0028946,ARI
00-0029008,CLE
00-0029255,WAS
00-0029263,PIT
00-0029316,ARI
00-0029542,MIN
00-0029562,TB
00-0029592,DET
00-0029597,BAL
00-0029604,ATL
00-0029606,MIN
00-0029607,NO
00-0029621,NYJ
00-0029685,NYG
00-0029692,DAL
00-0029714,MIN
00-0029822,GB
00-0029892,SF
00-0029963,NYG
00-0030035,CAR
00-0030061,WAS
00-0030062,PHI
00-0030063,SEA
00-0030067,MIA
00-0030070,LV
00-0030092,BUF
00-0030098,CLE
00-0030114,MIA
00-0030140,WAS
00-0030279,CHI
00-0030294,LAC
00-0030386,TB
00-0030431,HOU
00-0030459,NO
00-0030506,KC
00-0030561,PHI
00-0030564,TEN
00-0030565,SEA
00-0030578,PIT
00-0030615,KC
00-0030725,WAS
00-0030757,KC
00-0030957,NYG
00-0031040,LAC
00-0031054,BUF
00-0031079,SF
00-0031101,TB
00-0031136,PIT
00-0031177,BAL
00-0031203,CHI
00-0031235,MIA
00-0031236,DAL
00-0031254,HOU
00-0031270,CLE
00-0031279,ATL
00-0031280,NO
00-0031296,NYJ
00-0031298,HOU
00-0031299,CAR
00-0031330,NYJ
00-0031345,LA
00-0031357,DAL
00-0031360,BAL
00-0031363,ARI
00-0031364,CAR
00-0031381,LV
00-0031408,TB
00-0031411,DAL
00-0031426,CLE
00-0031428,DET
00-0031484,NYG
00-0031492,SEA
00-0031500,WAS
00-0031503,CLE
00-0031544,CLE
00-0031549,BAL
00-0031550,CAR
00-0031551,ATL
00-0031554,DAL
00-0031557,DAL
00-0031565,HOU
00-0031576,CLE
00-0031580,HOU
00-0031581,IND
00-0031583,ATL
00-0031585,PIT
00-0031587,MIN
00-0031588,HOU
00-0031595,DEN
00-0031608,TEN
00-0031687,MIA
00-0031690,LAC
00-0031740,HOU
00-0031763,CHI
00-0031785,CAR
00-0031795,CAR
00-0031800,LAC
00-0031898,DEN
00-0031911,PHI
00-0031921,MIA
00-0031933,SEA
00-0031935,GB
00-0031936,JAX
00-0031938,WAS
00-0031941,WAS
00-0031957,NYG
00-0032052,WAS
00-0032053,JAX
00-0032065,ATL
00-0032071,CIN
00-0032103,LAC
00-0032104,LV
00-0032107,ARI
00-0032109,DEN
00-0032128,SF
00-0032129,CLE
00-0032134,PHI
00-0032141,CLE
00-0032146,LAC
00-0032162,SF
00-0032164,JAX
00-0032195,JAX
00-0032211,SEA
00-0032222,KC
00-0032228,NE
00-0032234,SEA
00-0032242,LA
00-0032265,HOU
00-0032268,WAS
00-0032366,PIT
00-0032378,IND
00-0032379,LAC
00-0032380,HOU
00-0032381,DET
00-0032383,IND
00-0032384,CLE
00-0032385,TB
00-0032387,SEA
00-0032388,TB
00-0032391,KC
00-0032392,NE
00-0032394,TEN
