player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0023459,Aaron Rodgers,QB,PIT,16,1,1,-9,0,-9,0.0019157088122605
00-0029892,Kyle Juszczyk,FB,SF,16,28,24,213,2,120,0.0509090909090909
00-0030035,Adam Thielen,WR,PIT,14,35,19,186,0,306,0.0747863247863248
00-0030061,Zach Ertz,TE,WAS,13,72,50,504,4,656,0.166666666666667
00-0030279,Keenan Allen,WR,LAC,17,122,81,777,4,1027,0.224264705882353
00-0030506,Travis Kelce,TE,KC,17,108,76,851,5,735,0.19672131147541
00-0030564,DeAndre Hopkins,WR,BAL,17,39,22,330,2,513,0.0958230958230958
00-0031236,Brandin Cooks,WR,BUF,13,36,24,279,0,516,0.063716814159292
00-0031279,Jake Matthews,OT,ATL,6,1,0,0,0,1,0.001926782273603
00-0031381,Davante Adams,WR,LA,14,114,60,789,14,1444,0.196213425129088
00-0031408,Mike Evans,WR,TB,8,62,30,368,3,824,0.11460258780037
00-0031484,Chris Manhertz,TE,NYG,4,2,1,7,0,11,0.003976143141153
00-0031503,Jameis Winston,QB,NYG,3,1,1,33,1,13,0.0019880715705765
00-0031588,Stefon Diggs,WR,NE,17,102,85,1013,4,871,0.211618257261411
00-0031610,Darren Waller,TE,MIA,9,34,24,283,6,359,0.0735930735930736
00-0031687,Raheem Mostert,RB,LV,12,12,12,70,0,-16,0.0242914979757085
00-0032104,Ameer Abdullah,RB,IND,13,17,16,99,0,-3,0.0320754716981132
00-0032211,Tyler Lockett,WR,LV,17,55,32,291,1,426,0.10377358490566
00-0032385,Sterling Shepard,WR,TB,13,53,39,371,1,453,0.0979667282809612
00-0032392,Austin Hooper,TE,NE,13,26,21,263,2,234,0.053941908713693
00-0032398,Chris Moore,WR,WAS,10,23,11,207,1,332,0.0532407407407407
00-0032464,Kalif Raymond,WR,DET,15,30,24,289,1,169,0.0545454545454545
00-0032688,Robbie Chosen,WR,WAS,3,9,5,53,0,131,0.0208333333333333
00-0032764,Derrick Henry,RB,BAL,17,21,15,150,0,12,0.0515970515970516
00-0032775,Demarcus Robinson,WR,SF,14,35,22,276,1,472,0.0636363636363636
00-0032918,C.J. Ham,FB,MIN,8,2,2,11,0,2,0.0042735042735042
00-0033040,Tyreek Hill,WR,MIA,4,29,21,265,1,399,0.0627705627705628
00-0033090,Hunter Henry,TE,NE,17,87,60,768,7,710,0.180497925311203
00-0033110,Tyler Higbee,TE,LA,10,36,25,281,3,218,0.0619621342512909
00-0033217,Mo Alie-Cox,TE,IND,11,20,13,117,1,93,0.0377358490566038
00-0033246,Johnny Mundt,TE,JAX,12,19,9,111,0,100,0.0347349177330896
00-0033280,Christian McCaffrey,RB,SF,17,129,102,924,7,335,0.234545454545455
00-0033282,Curtis Samuel,WR,BUF,6,9,7,81,1,145,0.0187891440501044
00-0033288,George Kittle,TE,SF,11,69,57,628,7,460,0.125454545454545
00-0033293,Aaron Jones,RB,MIN,12,41,28,199,1,-25,0.0876068376068376
00-0033307,Kendrick Bourne,WR,SF,14,53,37,551,0,584,0.0963636363636364
00-0033357,Taysom Hill,TE,NO,13,16,11,91,0,54,0.0283185840707965
00-0033375,Tim Patrick,WR,JAX,13,24,15,187,3,258,0.0438756855575868
00-0033376,Patrick Ricard,RB,BAL,5,2,1,8,0,6,0.0049140049140049
00-0033439,Pharaoh Brown,TE,ARI,5,2,2,1,0,1,0.0032414910858995
00-0033455,Anthony Firkser,TE,DET,5,10,8,53,0,35,0.0181818181818182
00-0033526,Samaje Perine,RB,CIN,15,21,17,87,0,-32,0.0345394736842105
00-0033538,Garett Bolles,OT,DEN,5,1,0,0,0,2,0.0017123287671232
00-0033553,James Conner,RB,ARI,3,9,8,38,1,-9,0.0145867098865478
00-0033555,Mack Hollins,WR,NE,14,65,46,550,2,851,0.134854771784232
00-0033576,Eric Saubert,TE,SEA,9,7,4,31,0,28,0.0153846153846154
00-0033589,David Moore,WR,CAR,3,1,1,5,0,5,0.0020833333333333
00-0033591,Noah Brown,WR,WAS,4,10,5,83,0,145,0.0231481481481482
00-0033699,Austin Ekeler,RB,WAS,2,7,5,38,0,12,0.0162037037037037
00-0033757,Robert Tonyan,TE,KC,2,1,1,1,0,1,0.0018214936247723
00-0033854,Dare Ogunbowale,RB,HOU,14,13,10,76,0,24,0.0235081374321881
00-0033857,JuJu Smith-Schuster,WR,KC,17,45,33,345,1,244,0.0819672131147541
00-0033858,Jonnu Smith,TE,PIT,17,54,38,222,2,234,0.103448275862069
00-0033873,Patrick Mahomes,QB,KC,14,1,1,-10,0,-8,0.0018214936247723
00-0033881,Evan Engram,TE,DEN,16,76,50,461,1,331,0.13013698630137
00-0033885,David Njoku,TE,CLE,11,48,33,293,4,253,0.0919540229885057
00-0033891,Zay Jones,WR,ARI,6,18,12,183,0,241,0.0291734197730956
00-0033906,Alvin Kamara,RB,NO,11,39,33,186,0,33,0.0690265486725664
00-0033908,Cooper Kupp,WR,SEA,16,70,47,593,2,532,0.153846153846154
00-0033921,Chris Godwin Jr.,WR,TB,9,51,33,360,2,361,0.0942698706099815
00-0033923,Kareem Hunt,RB,KC,17,25,18,143,1,0,0.0455373406193078
00-0033943,Josh Reynolds,WR,NYJ,5,21,11,101,0,276,0.0444915254237288
00-0033955,Jeremy McNichols,RB,WAS,16,31,25,196,0,-23,0.0717592592592593
00-0034073,Ross Dwelley,TE,DET,4,5,2,7,0,1,0.009090909090909
00-0034159,Will Dissly,TE,LAC,8,16,11,97,0,72,0.0294117647058824
00-0034270,Tyler Conklin,TE,LAC,6,10,7,101,0,45,0.0183823529411765
00-0034272,Marquez Valdes-Scantling,WR,PIT,9,29,14,120,1,354,0.0527272727272727
00-0034348,Courtland Sutton,WR,DEN,17,124,74,1017,7,1542,0.212328767123288
00-0034351,Dallas Goedert,TE,PHI,15,82,60,591,11,583,0.176724137931034
00-0034365,Ian Thomas,TE,LV,9,13,13,114,0,42,0.0263157894736842
00-0034383,Dalton Schultz,TE,HOU,17,106,82,777,3,659,0.191681735985533
00-0034386,Justin Watson,WR,HOU,3,4,3,30,0,33,0.0072332730560578
00-0034407,Ray-Ray McCloud,WR,NYG,6,15,7,69,0,84,0.0289017341040462
00-0034418,Cedrick Wilson Jr.,WR,MIA,6,9,5,44,0,79,0.0194805194805195
00-0034419,Braxton Berrios,WR,HOU,4,8,6,37,0,24,0.0144665461121157
00-0034487,Trent Sherfield,WR,ARI,4,5,3,21,0,45,0.0085616438356164
00-0034521,Allen Lazard,WR,NYJ,9,18,10,70,1,142,0.038135593220339
00-0034613,Tanner Hudson,TE,CIN,10,24,19,168,2,119,0.0394736842105263
00-0034678,Alex Cappa,G,LV,4,1,0,0,0,2,0.0020242914979757
00-0034753,Mark Andrews,TE,BAL,17,70,48,422,5,508,0.171990171990172
00-0034775,Christian Kirk,WR,HOU,11,52,28,239,1,365,0.0940325497287523
