player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0035510,Jeff Smith,WR,NYJ,9,17,8,113,0,192,0.0292598967297762
00-0035527,Andy Isabella,WR,ARI,3,1,1,13,0,6,0.0017543859649122
00-0035535,Darius Slayton,WR,NYG,13,58,26,339,2,773,0.102836879432624
00-0035537,Ty Johnson,RB,NYJ,15,55,34,372,2,131,0.0946643717728055
00-0035544,Tom Kennedy,WR,DET,6,10,6,54,0,77,0.0176991150442478
00-0035547,Joseph Fortson,TE,KC,4,5,5,47,2,38,0.0078492935635792
00-0035562,Jesper Horsted,TE,CHI,4,3,2,21,2,31,0.0057251908396946
00-0035567,Craig Reynolds,RB,DET,5,8,7,52,0,5,0.0141592920353982
00-0035572,Parker Hesse,TE,ATL,4,6,5,43,0,22,0.0108303249097473
00-0035588,Garrett Bradbury,C,MIN,7,1,1,21,0,-3,0.0017301038062283
00-0035593,Juwann Winfree,WR,GB,5,13,8,58,0,75,0.0228070175438597
00-0035594,Travis Homer,RB,SEA,14,20,16,161,0,48,0.0421940928270042
00-0035603,Kendall Blanton,TE,LA,4,7,4,37,0,43,0.0116279069767442
00-0035624,N'Keal Harry,TE,NE,10,22,12,184,0,327,0.0419847328244275
00-0035628,D'Ernest Johnson,RB,CLE,13,25,19,137,0,6,0.0501002004008016
00-0035631,Drew Sample,TE,CIN,10,15,11,81,0,35,0.0277777777777778
00-0035632,Amani Hooker,SAF,TEN,12,1,1,6,0,4,0.0019157088122605
00-0035639,Parris Campbell,WR,IND,6,20,10,162,1,334,0.0398406374501992
00-0035640,DK Metcalf,WR,SEA,17,129,75,967,12,1636,0.272151898734177
00-0035644,Noah Fant,TE,DEN,16,90,68,670,4,540,0.174081237911025
00-0035645,Gunner Olszewski,WR,NE,16,3,2,31,0,29,0.0057251908396946
00-0035657,Damien Harris,RB,NE,15,21,18,132,0,-7,0.0400763358778626
00-0035659,Terry McLaurin,WR,WAS,17,130,77,1053,5,1707,0.243445692883895
00-0035662,Marquise Brown,WR,BAL,16,146,91,1008,6,1622,0.247038917089679
00-0035664,Darrell Henderson,RB,LA,12,40,29,176,3,37,0.0664451827242525
00-0035676,A.J. Brown,WR,TEN,13,105,63,869,5,1218,0.201149425287356
00-0035685,David Montgomery,RB,CHI,13,51,42,301,0,45,0.0973282442748092
00-0035689,Dawson Knox,TE,BUF,15,71,49,587,9,524,0.113964686998395
00-0035700,Josh Jacobs,RB,LV,15,64,54,348,0,-27,0.106135986733002
00-0035703,Miles Boykin,WR,BAL,1,1,1,6,0,6,0.0016920473773265
00-0035704,Drew Lock,QB,DEN,6,1,1,1,0,-5,0.0019342359767891
00-0035710,Daniel Jones,QB,NYG,11,1,1,16,0,13,0.00177304964539
00-0035715,Derrick Gore,RB,KC,8,9,8,105,0,11,0.0141287284144427
00-0035719,Deebo Samuel Sr.,WR,SF,16,121,77,1405,6,1029,0.243460764587525
00-0035726,Jakob Johnson,RB,NE,6,5,4,43,0,10,0.0095419847328244
00-0035771,Mitchell Wilcox,TE,CIN,4,5,3,16,0,19,0.0092592592592592
00-0035806,JaMycal Hasty,RB,SF,11,29,23,157,0,70,0.0583501006036217
00-0035823,Ben Ellefson,TE,MIN,3,1,0,0,0,7,0.0017301038062283
00-0035831,James Robinson,RB,JAX,14,46,31,222,0,40,0.0789022298456261
00-0035844,Kirk Merritt,WR,MIA,1,3,1,13,0,56,0.005008347245409
00-0035860,Tony Jones,RB,NO,10,8,5,29,0,1,0.0168776371308017
00-0035864,Kendall Hinton,WR,DEN,11,23,15,175,1,185,0.0444874274661509
00-0035891,Cody White,WR,PIT,6,6,5,33,0,38,0.009188361408882
00-0035898,Darius Bradwell,RB,LAC,1,1,0,0,0,1,0.0015174506828528
00-0035908,Gabe Nabers,FB,LAC,7,3,3,17,0,5,0.0045523520485584
00-0035924,Jonathan Ward,RB,ARI,9,4,3,34,0,13,0.0070175438596491
00-0035956,Giovanni Ricci,TE,CAR,8,2,0,0,0,23,0.0034782608695652
00-0035957,Rodney Smith,RB,CAR,1,5,5,48,0,16,0.008695652173913
00-0035973,Patrick Taylor,RB,GB,5,2,2,3,0,-2,0.0035087719298245
00-0036011,Bobby Price,DB,DET,9,1,1,17,0,9,0.0017699115044247
00-0036020,Salvon Ahmed,RB,MIA,11,19,12,117,0,41,0.0317195325542571
00-0036032,Sean McKeon,TE,DAL,5,6,4,27,1,27,0.0094191522762951
00-0036036,Terence Steele,OT,DAL,8,1,1,1,1,1,0.0015698587127158
00-0036040,Juwan Johnson,TE,NO,13,22,13,159,4,240,0.0464135021097046
00-0036069,Scottie Phillips,RB,HOU,2,3,2,9,0,2,0.005736137667304
00-0036080,Easop Winston,WR,NO,3,1,1,5,0,-4,0.0021097046413502
00-0036096,J.J. Taylor,RB,NE,5,4,4,8,0,-2,0.0076335877862595
00-0036110,Ja'Marcus Bradley,WR,CLE,4,4,4,64,0,48,0.0080160320641282
00-0036133,James Proche,WR,BAL,7,20,16,202,0,192,0.0338409475465313
00-0036173,Tommy Hudson,TE,TEN,4,6,3,31,0,30,0.0114942528735632
00-0036182,Nick Westbrook-Ikhine,WR,TEN,15,57,38,476,4,606,0.109195402298851
00-0036183,Kristian Wilkerson,WR,NE,1,8,4,42,2,132,0.0152671755725191
00-0036187,Reggie Gilliam,RB,BUF,8,5,3,23,0,21,0.0080256821829855
00-0036196,Gabe Davis,WR,BUF,15,63,35,549,6,846,0.101123595505618
00-0036215,Danny Pinter,G,IND,3,1,1,2,1,2,0.0019920318725099
00-0036219,Marquez Callaway,WR,NO,17,84,46,698,6,1060,0.177215189873418
00-0036223,Jonathan Taylor,RB,IND,17,51,40,360,2,-45,0.101593625498008
00-0036228,Dezmon Patmon,WR,IND,4,4,2,21,1,36,0.0079681274900398
00-0036232,Harrison Bryant,TE,CLE,15,28,21,233,3,258,0.0561122244488978
00-0036233,Donovan Peoples-Jones,WR,CLE,13,58,34,597,3,904,0.11623246492986
00-0036244,Colby Parkinson,TE,SEA,5,8,5,33,0,47,0.0168776371308017
00-0036247,Freddie Swain,WR,SEA,17,40,25,343,4,324,0.0843881856540084
00-0036250,Tyler Davis,TE,GB,8,5,4,35,0,38,0.0087719298245614
00-0036251,Zack Moss,RB,BUF,13,32,23,197,1,26,0.0513643659711075
00-0036252,Michael Pittman,WR,IND,17,129,88,1082,6,1253,0.256972111553785
00-0036254,Collin Johnson,WR,NYG,8,21,11,105,0,178,0.0372340425531915
00-0036255,Denzel Mims,WR,NYJ,10,23,8,133,0,268,0.0395869191049914
00-0036259,Jauan Jennings,WR,SF,13,38,24,282,5,355,0.0764587525150906
00-0036261,Brandon Aiyuk,WR,SF,17,84,56,826,5,813,0.169014084507042
00-0036265,AJ Dillon,RB,GB,17,37,34,313,2,14,0.0649122807017544
00-0036268,Laviska Shenault Jr.,WR,JAX,16,100,63,619,0,550,0.171526586620926
00-0036271,Quez Watkins,WR,PHI,17,62,43,647,1,746,0.132478632478632
00-0036275,D'Andre Swift,RB,DET,13,78,62,452,2,-1,0.138053097345133
00-0036277,Quintez Cephus,WR,DET,5,22,15,204,2,251,0.0389380530973451
00-0036278,Jason Huntley,RB,PHI,1,1,0,0,0,0,0.0021367521367521
00-0036290,Cole Kmet,TE,CHI,17,93,60,612,0,721,0.177480916030534
00-0036297,Darrynton Evans,RB,TEN,1,2,2,11,0,-4,0.003831417624521
00-0036308,Isaiah Coulter,WR,CHI,1,1,0,0,0,22,0.0019083969465648
00-0036309,Darnell Mooney,WR,CHI,17,140,81,1055,4,1556,0.267175572519084
00-0036322,Justin Jefferson,WR,MIN,17,167,108,1616,10,2063,0.288927335640138
00-0036326,Chase Claypool,WR,PIT,15,105,59,860,2,1202,0.160796324655436
00-0036328,Antonio Gibson,RB,WAS,16,52,42,294,3,-9,0.0973782771535581
00-0036331,Devin Duvernay,WR,BAL,16,47,33,272,2,284,0.0795262267343486
00-0036332,Josiah Deguara,TE,GB,14,33,25,245,2,114,0.0578947368421053
