player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0024243,Marcedes Lewis,TE,CHI,5,1,1,2,0,1,0.0019011406844106
00-0029892,Kyle Juszczyk,FB,SF,14,31,19,200,2,193,0.0604288499025341
00-0030035,Adam Thielen,WR,CAR,10,62,48,615,5,692,0.11969111969112
00-0030061,Zach Ertz,TE,WAS,17,91,66,654,7,686,0.180555555555556
00-0030279,Keenan Allen,WR,CHI,15,121,70,744,7,1115,0.230038022813688
00-0030431,Robert Woods,WR,HOU,14,30,20,203,0,284,0.0548446069469835
00-0030506,Travis Kelce,TE,KC,16,133,97,823,3,883,0.232517482517483
00-0030564,DeAndre Hopkins,WR,KC,16,80,56,610,5,896,0.157790927021696
00-0030578,Cordarrelle Patterson,RB,PIT,13,14,12,80,1,42,0.0304347826086957
00-0031235,Odell Beckham Jr.,WR,MIA,8,18,9,55,0,136,0.0316901408450704
00-0031236,Brandin Cooks,WR,DAL,10,54,26,259,3,634,0.0868167202572347
00-0031299,Jordan Matthews,TE,CAR,2,1,0,0,0,16,0.0019305019305019
00-0031357,C.J. Goodwin,CB,DAL,11,1,0,0,0,7,0.0016077170418006
00-0031381,Davante Adams,WR,NYJ,14,141,85,1063,8,1172,0.238175675675676
00-0031408,Mike Evans,WR,TB,14,110,74,1004,11,1274,0.19538188277087
00-0031428,Allen Robinson,WR,DET,6,7,3,30,0,51,0.0134099616858238
00-0031484,Chris Manhertz,TE,NYG,8,4,3,30,1,15,0.0072202166064982
00-0031544,Amari Cooper,WR,BUF,13,85,44,547,4,1161,0.134069400630915
00-0031549,Nelson Agholor,WR,BAL,13,29,14,231,2,387,0.0634573304157549
00-0031585,MyCole Pruitt,TE,PIT,7,10,6,40,1,33,0.0217391304347826
00-0031588,Stefon Diggs,WR,HOU,8,64,47,496,3,556,0.117001828153565
00-0031595,Michael Burton,FB,DEN,12,10,10,65,1,24,0.0182149362477231
00-0031687,Raheem Mostert,RB,MIA,13,23,19,161,0,14,0.0404929577464789
00-0031690,Eric Tomlinson,TE,LAC,5,4,2,9,0,8,0.0081466395112016
00-0031763,DeAndre Carter,WR,CHI,13,14,9,72,0,155,0.026615969581749
00-0031941,Jamison Crowder,WR,WAS,5,13,9,72,2,108,0.0257936507936508
00-0032104,Ameer Abdullah,RB,LV,15,47,40,261,3,31,0.0793918918918919
00-0032128,Chris Conley,WR,SF,9,12,6,76,0,207,0.0233918128654971
00-0032141,Geoff Swaim,TE,CLE,3,1,1,7,0,2,0.001577287066246
00-0032211,Tyler Lockett,WR,SEA,17,74,49,600,2,783,0.130052724077329
00-0032381,Taylor Decker,OT,DET,3,1,0,0,0,2,0.0019157088122605
00-0032385,Sterling Shepard,WR,TB,13,51,32,334,1,473,0.0905861456483126
00-0032392,Austin Hooper,TE,NE,17,59,45,476,3,386,0.118
00-0032394,Nick Vannett,TE,TEN,12,20,17,135,3,22,0.0394477317554241
00-0032464,Kalif Raymond,WR,DET,12,22,17,215,2,176,0.0421455938697318
00-0032688,Robbie Chosen,WR,MIA,1,4,1,5,0,47,0.0070422535211267
00-0032764,Derrick Henry,RB,BAL,17,22,19,193,2,-25,0.0481400437636762
00-0032775,Demarcus Robinson,WR,LA,17,64,31,505,7,983,0.118299445471349
00-0032918,C.J. Ham,FB,MIN,10,6,5,35,0,1,0.011605415860735
00-0033009,Tyler Boyd,WR,TEN,15,57,39,390,0,420,0.112426035502959
00-0033040,Tyreek Hill,WR,MIA,17,123,81,959,6,1397,0.216549295774648
00-0033045,Ezekiel Elliott,RB,DAL,15,15,12,69,0,-27,0.0241157556270096
00-0033090,Hunter Henry,TE,NE,16,97,66,674,2,682,0.194
00-0033106,Jared Goff,QB,DET,17,1,1,7,1,5,0.0019157088122605
00-0033110,Tyler Higbee,TE,LA,3,12,8,66,2,26,0.022181146025878
00-0033217,Mo Alie-Cox,TE,IND,12,22,12,147,1,211,0.0447154471544715
00-0033246,Johnny Mundt,TE,MIN,14,27,19,142,2,115,0.0522243713733075
00-0033280,Christian McCaffrey,RB,SF,4,19,15,146,0,60,0.037037037037037
00-0033282,Curtis Samuel,WR,BUF,14,46,31,253,1,212,0.0929292929292929
00-0033288,George Kittle,TE,SF,15,94,78,1106,8,800,0.183235867446394
00-0033292,Trent Taylor,WR,SF,2,1,1,11,0,9,0.0019493177387914
00-0033293,Aaron Jones,RB,MIN,17,62,51,408,2,54,0.119922630560928
00-0033307,Kendrick Bourne,WR,NE,12,38,28,305,1,353,0.076
00-0033357,Taysom Hill,TE,NO,8,31,23,187,0,108,0.0599613152804642
00-0033375,Tim Patrick,WR,DET,15,44,33,394,3,439,0.0842911877394636
00-0033376,Patrick Ricard,RB,BAL,10,5,3,22,1,6,0.0109409190371991
00-0033439,Pharaoh Brown,TE,SEA,10,12,8,65,0,51,0.0210896309314587
00-0033460,John Ross,WR,PHI,1,2,1,6,0,47,0.0047846889952153
00-0033526,Samaje Perine,RB,KC,17,35,28,322,1,11,0.0611888111888112
00-0033536,Mike Williams,WR,PIT,14,34,21,298,1,518,0.0577249575551783
00-0033553,James Conner,RB,ARI,16,55,47,414,1,-103,0.105162523900574
00-0033555,Mack Hollins,WR,BUF,17,50,31,378,5,649,0.101010101010101
00-0033576,Eric Saubert,TE,SF,12,14,11,97,1,94,0.0272904483430799
00-0033589,David Moore,WR,CAR,15,57,32,351,3,631,0.11003861003861
00-0033591,Noah Brown,WR,WAS,11,56,35,453,1,637,0.111111111111111
00-0033699,Austin Ekeler,RB,WAS,12,41,35,366,0,-59,0.0813492063492063
00-0033854,Dare Ogunbowale,RB,HOU,16,28,19,198,1,48,0.0511882998171847
00-0033857,JuJu Smith-Schuster,WR,KC,11,26,18,231,2,143,0.0454545454545455
00-0033858,Jonnu Smith,TE,MIA,17,111,88,884,8,542,0.195422535211268
00-0033863,Dan Skipper,OT,DET,2,1,1,9,1,1,0.0019157088122605
00-0033873,Patrick Mahomes,QB,KC,16,1,1,2,0,-1,0.0017482517482517
00-0033881,Evan Engram,TE,JAX,9,64,47,365,1,360,0.122605363984674
00-0033885,David Njoku,TE,CLE,11,97,64,505,5,510,0.152996845425868
00-0033891,Zay Jones,WR,ARI,6,11,8,84,0,119,0.0210325047801147
00-0033893,Dalvin Cook,RB,DAL,2,1,1,10,0,3,0.0016077170418006
00-0033895,Gerald Everett,TE,CHI,10,13,8,36,0,35,0.0247148288973384
00-0033897,Joe Mixon,RB,HOU,14,52,36,309,1,-27,0.0950639853747715
00-0033906,Alvin Kamara,RB,NO,14,89,68,543,2,79,0.172147001934236
00-0033908,Cooper Kupp,WR,LA,12,100,67,710,6,758,0.184842883548983
00-0033921,Chris Godwin Jr.,WR,TB,7,62,50,576,5,356,0.1101243339254
00-0033923,Kareem Hunt,RB,KC,13,32,23,176,0,-58,0.0559440559440559
00-0033925,D'Onta Foreman,RB,CLE,10,8,6,54,0,1,0.0126182965299685
00-0033943,Josh Reynolds,WR,JAX,8,24,13,194,1,270,0.0437158469945355
00-0033948,Jamaal Williams,RB,NO,14,11,9,57,0,-14,0.0212765957446809
00-0033955,Jeremy McNichols,RB,WAS,15,12,9,27,0,20,0.0238095238095238
00-0034054,River Cracraft,WR,MIA,5,9,7,66,0,71,0.0158450704225352
00-0034073,Ross Dwelley,TE,ATL,4,1,1,5,0,1,0.0018552875695732
00-0034115,Jeff Wilson,RB,MIA,7,3,3,19,0,0,0.005281690140845
00-0034159,Will Dissly,TE,LAC,15,64,50,481,2,295,0.130346232179226
00-0034184,Gus Edwards,RB,LAC,11,5,3,6,0,-15,0.010183299389002
00-0034208,Mike Boone,RB,CAR,5,3,1,-2,0,-14,0.0057915057915057
00-0034270,Tyler Conklin,TE,NYJ,16,72,51,449,4,358,0.122241086587436
