year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2021,GB,10.5,-130,110,13,Over,17,450,371,79,4.647,0.6124,10.41,17,8.058823529411764,8.208235294117646,8.647,8,8.47,11.0,8.412,-5,-1.9399999999999995,0.3531764705882363,0.20376470588235485,2.59
2022,GB,11.0,-130,110,8,Under,17,370,371,-1,-0.059,0.4984,8.47,17,8.823529411764707,8.356470588235295,8.412,9,9.4,7.5,8.324,1,0.9299999999999997,-0.49952941176470667,-0.03247058823529514,-0.47000000000000064
2023,GB,7.5,-145,125,9,Over,17,383,350,33,1.941,0.5532,9.4,17,8.058823529411764,8.079411764705881,8.324,11,11.47,10.0,8.618,2,2.0700000000000003,0.5591764705882358,0.5385882352941191,-0.40000000000000036
2024,GB,10.0,100,-120,11,Over,17,460,338,122,7.176,0.6749,11.47,17,9.058823529411764,8.712941176470588,8.618,9,9.33,10.5,8.794,-2,-2.1400000000000006,-0.264823529411764,0.0810588235294123,-0.47000000000000064
2015,HOU,8.5,100,-120,9,Over,16,339,313,26,1.625,0.5471,8.75,16,7.9375,7.86625,7.938,9,6.48,8.5,8.312,0,-2.2699999999999996,0.3744999999999994,0.4457499999999994,0.25
2016,HOU,8.5,-120,100,9,Over,16,279,328,-49,-3.062,0.4053,6.48,16,8.0,8.21625,8.312,4,5.66,8.5,8.156,-5,-0.8200000000000003,0.15600000000000058,-0.060249999999999915,2.5199999999999996
2017,HOU,8.5,100,-120,4,Under,16,338,436,-98,-6.125,0.3536,5.66,16,8.25,8.26625,8.156,11,10.22,8.5,7.75,7,4.5600000000000005,-0.5,-0.5162499999999994,-1.6600000000000001
2018,HOU,8.5,-140,120,11,Over,16,402,316,86,5.375,0.6389,10.22,16,7.5,7.41375,7.75,10,7.83,8.5,8.375,-1,-2.3900000000000006,0.875,0.9612499999999997,0.7799999999999994
2019,HOU,8.5,-115,-105,10,Over,16,378,385,-7,-0.438,0.4891,7.83,16,8.3125,8.43375,8.375,4,6.24,7.5,8.312,-6,-1.5899999999999999,-0.0005000000000006111,-0.12175000000000047,2.17
2020,HOU,7.5,105,-125,4,Under,16,384,464,-80,-5.0,0.3897,6.24,16,8.625,8.139375,8.312,4,4.14,4.0,8.971,0,-2.1000000000000005,0.3460000000000001,0.8316250000000007,-2.24
2021,HOU,4.0,110,-130,4,Push,17,280,452,-172,-10.118,0.2432,4.14,17,8.470588235294118,8.728235294117647,8.971,3,4.96,4.5,8.676,-1,0.8200000000000003,0.2054117647058824,-0.05223529411764716,-0.13999999999999968
2022,HOU,4.5,-120,100,3,Under,17,289,420,-131,-7.706,0.2919,4.96,17,8.058823529411764,8.115882352941176,8.676,10,9.16,6.5,8.235,7,4.2,0.17617647058823493,0.11911764705882355,-1.96
2023,HOU,6.5,130,-150,10,Over,17,377,353,24,1.412,0.5389,9.16,17,8.058823529411764,7.871764705882352,8.235,10,8.5,9.5,8.735,0,-0.6600000000000001,0.6761764705882349,0.8632352941176471,0.8399999999999999
2024,HOU,9.5,-140,120,10,Over,17,372,372,0,0.0,0.5,8.5,17,8.176470588235293,8.051176470588235,8.735,12,11.53,9.5,8.853,2,3.0299999999999994,0.6765294117647063,0.8018235294117648,1.5
2015,IND,10.5,-160,140,8,Under,16,333,408,-75,-4.688,0.3819,6.11,16,8.0,8.04625,7.781,8,8.45,9.0,8.156,0,2.339999999999999,0.15600000000000058,0.10975000000000001,1.8899999999999997
2016,IND,9.0,120,-140,8,Under,16,411,392,19,1.188,0.528,8.45,16,7.875,7.554375,8.156,4,4.25,8.0,7.781,-4,-4.199999999999999,-0.0940000000000003,0.2266249999999994,-0.4499999999999993
2017,IND,8.0,130,-150,4,Under,16,263,404,-141,-8.812,0.2655,4.25,16,7.6875,7.826875,7.781,10,10.13,7.5,7.969,6,5.880000000000001,0.2815000000000003,0.14212500000000006,-0.25
2018,IND,7.5,110,-130,10,Over,16,433,344,89,5.562,0.6331,10.13,16,7.4375,7.133125,7.969,7,7.69,7.5,8.125,-3,-2.4400000000000004,0.6875,0.9918750000000003,-0.13000000000000078
2019,IND,7.5,-110,-110,7,Under,16,361,373,-12,-0.75,0.4806,7.69,16,7.875,7.534375,8.125,11,10.04,9.5,7.656,4,2.3499999999999988,-0.2190000000000003,0.12162499999999987,-0.6900000000000004
2020,IND,9.5,-110,-110,11,Over,16,451,362,89,5.562,0.6274,10.04,16,7.0625,7.184375,7.656,9,10.59,9.0,8.529,-2,0.5500000000000007,1.4665,1.3446249999999997,0.9600000000000009
2021,IND,9.0,-120,100,9,Push,17,451,365,86,5.059,0.6228,10.59,17,8.411764705882353,8.253529411764706,8.529,4,4.83,10.0,8.206,-5,-5.76,-0.20576470588235374,-0.04752941176470671,-1.5899999999999999
2022,IND,10.0,-120,100,4,Under,17,289,427,-138,-8.118,0.2839,4.83,17,8.588235294117647,8.318235294117647,8.206,9,8.03,6.5,8.118,5,3.1999999999999993,-0.4702352941176464,-0.20023529411764684,-0.8300000000000001
2023,IND,6.5,-120,100,9,Over,17,396,415,-19,-1.118,0.4723,8.03,17,8.352941176470589,8.236470588235294,8.118,8,7.25,8.5,8.147,-1,-0.7799999999999994,-0.20594117647058852,-0.08947058823529375,0.9700000000000006
2024,IND,8.5,115,-135,8,Under,17,377,427,-50,-2.941,0.4267,7.25,17,7.764705882352941,8.066470588235294,8.147,8,9.73,7.5,8.559,0,2.4800000000000004,0.7942941176470582,0.4925294117647052,0.75
2015,JAX,5.5,-120,100,5,Under,16,376,448,-72,-4.5,0.3977,6.36,16,7.5625,7.504375,8.312,3,5.88,7.5,8.219,-2,-0.4800000000000004,0.6564999999999994,0.7146249999999998,-1.3600000000000003
2016,JAX,7.5,-125,105,3,Under,16,318,400,-82,-5.125,0.3673,5.88,16,8.4375,8.050625,8.219,10,11.85,6.5,7.75,7,5.97,-0.6875,-0.30062500000000014,-2.88
2017,JAX,6.5,-125,105,10,Over,16,417,268,149,9.312,0.7403,11.85,16,6.9375,7.146875,7.75,5,5.66,9.0,8.062,-5,-6.1899999999999995,1.1244999999999994,0.9151249999999997,-1.8499999999999996
2018,JAX,9.0,-130,110,5,Under,16,245,316,-71,-4.438,0.3536,5.66,16,8.75,8.339375,8.062,6,5.44,8.0,8.031,1,-0.21999999999999975,-0.7189999999999994,-0.30837499999999984,-0.6600000000000001
2019,JAX,8.0,-110,-110,6,Under,16,300,397,-97,-6.062,0.3398,5.44,16,7.75,7.7250000000000005,8.031,1,3.92,4.5,8.281,-5,-1.5200000000000005,0.5310000000000006,0.556,0.5599999999999996
2020,JAX,4.5,-110,-110,1,Under,16,306,492,-186,-11.625,0.245,3.92,16,8.75,8.36625,8.281,3,3.36,6.5,8.412,2,-0.56,-0.3379999999999992,0.04574999999999996,-2.92
2021,JAX,6.5,110,-130,3,Under,17,253,457,-204,-12.0,0.1976,3.36,17,8.705882352941176,8.92764705882353,8.412,9,9.93,6.5,8.441,6,6.57,-0.264882352941175,-0.48664705882352877,-0.3599999999999999
2022,JAX,6.5,-120,100,9,Over,17,404,350,54,3.176,0.5842,9.93,17,7.764705882352941,7.820588235294117,8.441,9,8.66,9.5,8.5,0,-1.2699999999999996,0.7352941176470589,0.6794117647058826,-0.9299999999999997
2023,JAX,9.5,-140,120,9,Under,17,377,371,6,0.353,0.5095,8.66,17,9.058823529411764,8.965294117647058,8.5,4,5.54,8.5,8.471,-5,-3.12,-0.5878235294117644,-0.49429411764705833,0.33999999999999986
2024,JAX,8.5,-110,-110,4,Under,17,320,435,-115,-6.765,0.3257,5.54,17,8.117647058823529,8.031764705882352,8.471,13,11.79,7.5,8.441,9,6.249999999999999,0.32335294117647173,0.40923529411764825,-1.54
2015,KC,8.5,-150,130,11,Over,16,405,287,118,7.375,0.6934,11.1,16,7.9375,7.9643749999999995,8.156,12,10.07,9.5,8.188,1,-1.0299999999999994,0.2505000000000006,0.22362500000000107,-0.09999999999999964
2016,KC,9.5,-140,120,12,Over,16,389,311,78,4.875,0.6296,10.07,16,8.125,7.9975000000000005,8.188,10,9.88,9.0,8.312,-2,-0.1899999999999995,0.1869999999999994,0.3144999999999989,1.9299999999999997
2017,KC,9.0,-120,100,10,Over,16,415,339,76,4.75,0.6176,9.88,16,7.625,7.5093749999999995,8.312,12,10.68,8.5,8.25,2,0.7999999999999989,0.625,0.7406250000000005,0.11999999999999922
2018,KC,8.5,115,-135,12,Over,16,565,421,144,9.0,0.6676,10.68,16,7.625,7.685,8.25,12,11.39,10.5,8.219,0,0.7100000000000009,0.5939999999999994,0.5339999999999998,1.3200000000000003
2019,KC,10.5,-130,110,12,Over,16,451,308,143,8.938,0.7117,11.39,16,8.125,8.174375,8.219,14,10.45,11.5,8.031,2,-0.9400000000000013,-0.09399999999999942,-0.14337499999999892,0.6099999999999994
2020,KC,11.5,-120,100,14,Over,16,473,362,111,6.938,0.6534,10.45,16,7.4375,7.708125,8.031,12,11.19,12.5,8.853,-2,0.7400000000000002,1.4154999999999998,1.1448749999999999,3.5500000000000007
2021,KC,12.5,105,-125,12,Under,17,480,364,116,6.824,0.6583,11.19,17,9.117647058823529,8.762352941176472,8.853,14,11.36,10.5,9.118,2,0.16999999999999993,0.00035294117647133305,0.35564705882352854,0.8100000000000005
2022,KC,10.5,-150,130,14,Over,17,496,369,127,7.471,0.6684,11.36,17,7.588235294117647,7.9658823529411755,9.118,11,10.79,11.5,8.882,-3,-0.5700000000000003,1.293764705882353,0.9161176470588241,2.6400000000000006
2023,KC,11.5,-120,100,11,Under,17,371,294,77,4.529,0.6344,10.79,17,8.176470588235293,8.184117647058823,8.882,15,10.15,11.5,8.265,4,-0.6399999999999988,0.08852941176470708,0.08088235294117752,0.21000000000000085
2024,KC,11.5,-110,-110,15,Over,17,385,326,59,3.471,0.5973,10.15,17,8.294117647058824,8.727058823529413,8.265,6,9.49,11.5,8.853,-9,-0.6600000000000001,0.5588823529411755,0.12594117647058667,4.85
2015,LAC,8.0,-160,140,4,Under,16,320,398,-78,-4.875,0.3736,5.98,16,8.4375,8.291875,8.062,5,7.7,7.0,8.062,1,1.7199999999999998,-0.3755000000000006,-0.22987499999999983,-1.9800000000000004
2016,LAC,7.0,-185,165,5,Under,16,410,423,-13,-0.812,0.4815,7.7,16,8.6875,8.089375,8.062,9,10.44,7.5,8.0,4,2.7399999999999993,-0.6875,-0.08937500000000043,-2.7
2017,LAC,7.5,-160,140,9,Over,16,355,272,83,5.188,0.6528,10.44,16,7.3125,7.3775,8.0,12,10.42,9.5,7.719,3,-0.019999999999999574,0.4065000000000003,0.3414999999999999,-1.4399999999999995
2018,LAC,9.5,-130,110,12,Over,16,428,329,99,6.188,0.651,10.42,16,7.5625,7.524375,7.719,5,7.78,10.0,7.906,-7,-2.6399999999999997,0.3434999999999997,0.38162499999999966,1.58
2019,LAC,10.0,120,-140,5,Under,16,337,345,-8,-0.5,0.4861,7.78,16,8.1875,7.70875,7.906,7,7.02,8.0,7.906,2,-0.7600000000000007,-0.2815000000000003,0.19724999999999948,-2.7800000000000002
2020,LAC,8.0,-105,-115,7,Under,16,384,426,-42,-2.625,0.4388,7.02,16,7.6875,7.579375,7.906,9,8.82,9.5,8.676,2,1.8000000000000007,0.9885000000000002,1.0966250000000004,-0.019999999999999574
2021,LAC,9.5,-110,-110,9,Under,17,474,459,15,0.882,0.519,8.82,17,8.647058823529411,8.531764705882352,8.676,10,8.68,10.5,8.471,1,-0.14000000000000057,-0.17605882352941116,-0.06076470588235239,0.17999999999999972
2022,LAC,10.5,100,-120,10,Under,17,391,384,7,0.412,0.5107,8.68,17,7.470588235294118,7.974117647058824,8.471,5,7.1,9.5,8.853,-5,-1.58,1.382411764705882,0.8788823529411758,1.3200000000000003
2023,LAC,9.5,-130,110,5,Under,17,346,398,-52,-3.059,0.4178,7.1,17,9.0,9.064117647058824,8.853,11,11.31,9.0,7.794,6,4.210000000000001,-1.2060000000000004,-1.2701176470588242,-2.0999999999999996
2024,LAC,9.0,115,-135,11,Over,17,402,301,101,5.941,0.665,11.31,17,7.9411764705882355,8.069411764705883,7.794,11,9.29,9.5,8.559,0,-2.0200000000000014,0.6178235294117638,0.4895882352941161,-0.3100000000000005
2015,LAR,7.5,-110,-110,7,Under,16,280,330,-50,-3.125,0.4039,6.46,16,8.4375,8.3775,8.156,4,3.32,7.5,8.281,-3,-3.14,-0.15649999999999942,-0.09649999999999892,0.54
2016,LAR,7.5,175,-200,4,Under,16,224,394,-170,-10.625,0.2078,3.32,16,7.9375,8.131874999999999,8.281,11,11.33,6.0,8.188,7,8.01,0.2505000000000006,0.056125000000001535,0.6800000000000002
2017,LAR,6.0,140,-160,11,Over,16,478,329,149,9.312,0.7079,11.33,16,8.0625,7.895,8.188,13,10.87,10.0,8.219,2,-0.46000000000000085,0.15649999999999942,0.32399999999999984,-0.33000000000000007
2018,LAR,10.0,-130,110,13,Over,16,527,384,143,8.938,0.6792,10.87,16,7.625,7.74,8.219,9,8.75,10.5,8.031,-4,-2.119999999999999,0.4060000000000006,0.29100000000000037,2.130000000000001
2019,LAR,10.5,125,-145,9,Under,16,394,364,30,1.875,0.5468,8.75,16,8.5,8.334375,8.031,10,10.12,8.5,8.375,1,1.3699999999999992,-0.125,0.040625000000000355,0.25
2020,LAR,8.5,110,-130,10,Over,16,372,296,76,4.75,0.6322,10.12,16,7.875,8.0625,8.375,12,10.59,10.5,8.647,2,0.47000000000000064,0.7720000000000002,0.5845000000000002,-0.11999999999999922
2021,LAR,10.5,100,-120,12,Over,17,460,372,88,5.176,0.6232,10.59,17,8.176470588235293,8.371176470588235,8.647,5,6.3,10.5,8.912,-7,-4.29,0.7355294117647073,0.5408235294117656,1.4100000000000001
2022,LAR,10.5,100,-120,5,Under,17,307,384,-77,-4.529,0.3704,6.3,17,8.764705882352942,8.933529411764706,8.912,10,9.2,6.5,8.647,5,2.8999999999999995,-0.11770588235294177,-0.2865294117647057,-1.2999999999999998
2023,LAR,6.5,110,-130,10,Over,17,404,377,27,1.588,0.5409,9.2,17,9.0,8.75235294117647,8.647,10,7.99,8.5,8.588,0,-1.209999999999999,-0.4120000000000008,-0.16435294117647103,0.8000000000000007
2024,LAR,8.5,-170,150,10,Over,17,367,386,-19,-1.118,0.4701,7.99,17,8.588235294117647,8.742941176470588,8.588,12,12.28,9.5,8.735,2,4.289999999999999,0.1467647058823527,-0.007941176470588118,2.01
2015,LV,5.5,-160,140,7,Over,16,359,399,-40,-2.5,0.4377,7.0,16,8.1875,8.324375,8.281,12,8.73,8.5,8.188,5,1.7300000000000004,0.0005000000000006111,-0.13637499999999925,0.0
2016,LV,8.5,-110,-110,12,Over,16,416,385,31,1.938,0.5458,8.73,16,8.0625,8.34,8.188,6,6.01,9.5,8.156,-6,-2.7200000000000006,0.09350000000000058,-0.18399999999999928,3.2699999999999996
2017,LV,9.5,100,-120,6,Under,16,301,373,-72,-4.5,0.3756,6.01,16,8.1875,8.095625,8.156,4,3.91,7.5,8.0,-2,-2.0999999999999996,-0.1875,-0.09562500000000007,-0.009999999999999787
2018,LV,7.5,120,-140,4,Under,16,290,467,-177,-11.062,0.2443,3.91,16,8.6875,8.469375,8.0,7,5.34,6.0,8.375,3,1.4299999999999997,-0.3125,-0.09437499999999943,0.08999999999999986
2019,LV,6.0,145,-170,7,Over,16,313,419,-106,-6.625,0.3338,5.34,16,7.6875,7.923125000000001,8.375,8,7.09,7.5,8.469,1,1.75,0.7814999999999994,0.5458749999999988,1.6600000000000001
2020,LV,7.5,115,-135,8,Over,16,434,478,-44,-2.75,0.443,7.09,16,8.625,8.113125,8.469,10,6.91,7.5,9.088,2,-0.17999999999999972,0.4629999999999992,0.974874999999999,0.9100000000000001
2021,LV,7.5,100,-120,10,Over,17,374,439,-65,-3.824,0.4062,6.91,17,8.647058823529411,8.698823529411765,9.088,6,7.93,8.5,8.912,-4,1.0199999999999996,0.26494117647058957,0.21317647058823574,3.09
2022,LV,8.5,-150,130,6,Under,17,395,418,-23,-1.353,0.4665,7.93,17,8.0,8.063529411764707,8.912,8,8.53,6.5,8.941,2,0.5999999999999996,0.9410000000000007,0.877470588235294,-1.9299999999999997
2023,LV,6.5,110,-130,8,Over,17,332,331,1,0.059,0.5018,8.53,17,8.294117647058824,8.164117647058823,8.941,4,5.25,6.5,8.618,-4,-3.2799999999999994,0.32388235294117607,0.45388235294117685,-0.5299999999999994
2024,LV,6.5,-125,105,4,Under,17,309,434,-125,-7.353,0.3089,5.25,17,9.176470588235293,8.935882352941176,8.618,3,3.41,6.5,8.676,-1,-1.8399999999999999,-0.5004705882352933,-0.259882352941176,-1.25
2015,MIA,9.0,-160,140,6,Under,16,310,389,-79,-4.938,0.3687,5.9,16,7.5,7.8575,8.344,10,7.57,7.0,8.281,4,1.67,0.7810000000000006,0.42350000000000065,0.09999999999999964
2016,MIA,7.0,120,-140,10,Over,16,363,380,-17,-1.062,0.4729,7.57,16,7.1875,7.75375,8.281,6,4.98,7.0,8.219,-4,-2.59,1.0314999999999994,0.4652499999999993,2.4299999999999997
2017,MIA,7.0,-130,110,6,Under,16,281,393,-112,-7.0,0.3111,4.98,16,8.6875,8.31875,8.219,7,5.22,6.5,7.969,1,0.23999999999999932,-0.7184999999999997,-0.34974999999999934,1.0199999999999996
2018,MIA,6.5,-140,120,7,Over,16,319,433,-114,-7.125,0.3265,5.22,16,7.4375,7.555625,7.969,5,3.89,4.5,8.344,-2,-1.3299999999999996,0.9064999999999994,0.7883749999999994,1.7800000000000002
2019,MIA,4.5,100,-120,5,Over,16,306,494,-188,-11.75,0.2432,3.89,16,7.75,8.286875,8.344,10,9.67,6.0,8.094,5,5.779999999999999,0.3439999999999994,-0.1928750000000008,1.1099999999999999
2020,MIA,6.0,-115,-105,10,Over,16,404,338,66,4.125,0.6041,9.67,16,7.4375,7.3237499999999995,8.094,9,7.6,9.0,8.471,-1,-2.0700000000000003,1.0335,1.1472500000000005,0.33000000000000007
2021,MIA,9.0,-140,120,9,Push,17,341,373,-32,-1.882,0.4471,7.6,17,7.882352941176471,8.171176470588236,8.471,9,8.45,9.0,8.529,0,0.8499999999999996,0.6466470588235289,0.357823529411764,1.4000000000000004
2022,MIA,9.0,-130,110,9,Push,17,397,399,-2,-0.118,0.497,8.45,17,9.0,8.86,8.529,11,10.83,9.5,8.912,2,2.380000000000001,-0.08799999999999919,0.05200000000000138,0.5500000000000007
2023,MIA,9.5,100,-120,11,Over,17,496,391,105,6.176,0.6373,10.83,17,7.647058823529412,7.754117647058823,8.912,8,7.96,10.0,8.265,-3,-2.87,0.6179411764705884,0.5108823529411772,0.16999999999999993
2024,MIA,10.0,100,-120,8,Under,17,345,364,-19,-1.118,0.4683,7.96,17,7.117647058823529,7.47,8.265,7,6.52,7.5,8.5,-1,-1.4400000000000004,1.382352941176471,1.0300000000000002,0.040000000000000036
2015,MIN,8.0,-150,130,11,Over,16,365,302,63,3.938,0.6104,9.77,16,8.0625,8.0125,8.375,8,8.6,8.5,8.281,-3,-1.17,0.21850000000000058,0.2685000000000013,1.2300000000000004
2016,MIN,8.5,115,-135,8,Under,16,327,307,20,1.25,0.5373,8.6,16,7.8125,7.838125,8.281,13,11.65,8.5,7.969,5,3.0500000000000007,0.1565000000000003,0.13087500000000052,-0.5999999999999996
2017,MIN,8.5,-130,110,13,Over,16,382,252,130,8.125,0.7283,11.65,16,7.875,7.943125,7.969,8,8.51,10.0,8.188,-5,-3.1400000000000006,0.3130000000000006,0.2448750000000004,1.3499999999999996
2018,MIN,10.0,-140,120,8,Under,16,360,341,19,1.188,0.5321,8.51,16,8.0,7.963125,8.188,10,10.69,9.0,8.188,2,2.1799999999999997,0.1880000000000006,0.22487500000000082,-0.5099999999999998
2019,MIN,9.0,-125,105,10,Over,16,407,303,104,6.5,0.668,10.69,16,7.5625,7.63625,8.188,7,7.06,9.0,8.094,-3,-3.63,0.5314999999999994,0.457749999999999,-0.6899999999999995
2020,MIN,9.0,110,-130,7,Under,16,430,475,-45,-2.812,0.4413,7.06,16,8.0625,8.133125,8.094,8,8.48,9.0,8.588,1,1.4200000000000008,0.5254999999999992,0.4548749999999995,-0.05999999999999961
2021,MIN,9.0,100,-120,8,Under,17,425,426,-1,-0.059,0.4986,8.48,17,8.529411764705882,8.450588235294118,8.588,13,8.43,9.5,8.412,5,-0.05000000000000071,-0.11741176470588144,-0.03858823529411737,-0.4800000000000004
2022,MIN,9.5,-110,-110,13,Over,17,424,427,-3,-0.176,0.4958,8.43,17,7.9411764705882355,8.277058823529412,8.412,7,7.99,8.5,8.824,-6,-0.4399999999999995,0.8828235294117643,0.5469411764705878,4.57
2023,MIN,8.5,-130,110,7,Under,17,344,362,-18,-1.059,0.4698,7.99,17,8.647058823529411,8.718235294117646,8.824,14,11.07,6.5,8.882,7,3.08,0.23494117647058843,0.16376470588235392,-0.9900000000000002
2024,MIN,6.5,-140,120,14,Over,17,432,332,100,5.882,0.6511,11.07,17,8.058823529411764,8.272941176470587,8.882,9,8.83,9.5,9.029,-5,-2.24,0.9701764705882354,0.756058823529413,2.9299999999999997
2015,NE,10.5,-130,110,12,Over,16,465,315,150,9.375,0.7157,11.45,16,7.5625,7.6743749999999995,8.25,14,12.69,10.5,8.156,2,1.2400000000000002,0.5935000000000006,0.4816250000000011,0.5500000000000007
2016,NE,10.5,-120,100,14,Over,16,441,250,191,11.938,0.7933,12.69,16,6.9375,7.100625,8.156,13,11.8,12.5,7.625,-1,-0.8899999999999988,0.6875,0.524375,1.3100000000000005
2017,NE,12.5,100,-120,13,Over,16,458,296,162,10.125,0.7378,11.8,16,7.75,7.36375,7.625,11,10.68,11.0,7.688,-2,-1.120000000000001,-0.06200000000000028,0.32425000000000015,1.1999999999999993
2018,NE,11.0,-120,100,11,Push,16,436,325,111,6.938,0.6674,10.68,16,7.625,7.520625,7.688,12,13.03,11.5,7.562,1,2.3499999999999996,-0.06299999999999972,0.041375000000000384,0.3200000000000003
2019,NE,11.5,-110,-110,12,Over,16,420,225,195,12.188,0.8145,13.03,16,7.5,7.37875,7.562,7,7.25,9.0,8.281,-5,-5.779999999999999,0.7810000000000006,0.9022500000000004,-1.0299999999999994
2020,NE,9.0,120,-140,7,Under,16,326,353,-27,-1.688,0.453,7.25,16,8.4375,8.18375,8.281,10,12.43,9.5,8.647,3,5.18,0.20950000000000024,0.4632500000000004,-0.25
2021,NE,9.5,-110,-110,10,Over,17,462,303,159,9.353,0.731,12.43,17,8.176470588235293,8.160588235294117,8.647,8,8.98,8.5,8.706,-2,-3.4499999999999993,0.529529411764706,0.5454117647058823,-2.4299999999999997
2022,NE,8.5,100,-120,8,Under,17,364,347,17,1.0,0.5283,8.98,17,8.411764705882353,8.32764705882353,8.706,4,4.44,7.5,9.147,-4,-4.54,0.735235294117647,0.8193529411764704,-0.9800000000000004
2023,NE,7.5,130,-150,4,Under,17,236,366,-130,-7.647,0.2612,4.44,17,8.882352941176471,8.676470588235293,9.147,4,5.02,4.5,9.088,0,0.5799999999999992,0.20564705882352818,0.4115294117647057,-0.4400000000000004
2024,NE,4.5,-110,-110,4,Under,17,289,417,-128,-7.529,0.2955,5.02,17,8.0,8.218823529411765,9.088,14,12.46,8.5,7.912,10,7.440000000000001,-0.08800000000000008,-0.3068235294117647,-1.0199999999999996
2015,NO,8.5,-130,110,7,Under,16,408,476,-68,-4.25,0.4097,6.55,16,8.0625,7.80625,7.906,7,8.31,7.0,8.281,0,1.7600000000000007,0.21850000000000058,0.4747500000000002,0.4500000000000002
2016,NO,7.0,-140,120,7,Push,16,469,454,15,0.938,0.5193,8.31,16,8.3125,8.09625,8.281,11,10.88,8.0,8.062,4,2.5700000000000003,-0.2505000000000006,-0.034250000000000114,-1.3100000000000005
2017,NO,8.0,100,-120,11,Over,16,448,326,122,7.625,0.6799,10.88,16,8.5625,8.103125,8.062,13,11.19,9.5,8.375,2,0.3099999999999987,-0.1875,0.27187499999999964,0.11999999999999922
2018,NO,9.5,-140,120,13,Over,16,504,353,151,9.438,0.6993,11.19,16,7.625,7.9331249999999995,8.375,13,10.69,10.5,8.031,0,-0.5,0.4060000000000006,0.09787500000000104,1.8100000000000005
2019,NO,10.5,130,-150,13,Over,16,458,341,117,7.312,0.668,10.69,16,7.75,7.836875,8.031,12,11.2,10.5,8.25,-1,0.5099999999999998,0.5,0.41312499999999996,2.3100000000000005
2020,NO,10.5,120,-140,12,Over,16,482,337,145,9.062,0.7002,11.2,16,7.3125,7.8,8.25,9,9.33,9.0,8.853,-3,-1.8699999999999992,1.5404999999999998,1.053,0.8000000000000007
2021,NO,9.0,130,-150,9,Push,17,364,335,29,1.706,0.549,9.33,17,8.705882352941176,8.504117647058823,8.853,7,8.05,9.0,8.353,-2,-1.2799999999999994,-0.352882352941176,-0.15111764705882358,-0.33000000000000007
2022,NO,9.0,100,-120,7,Under,17,330,345,-15,-0.882,0.4737,8.05,17,8.588235294117647,8.389411764705883,8.353,9,10.54,9.5,7.559,2,2.4899999999999984,-1.0292352941176466,-0.8304117647058833,-1.0500000000000007
2023,NO,9.5,-110,-110,9,Under,17,402,327,75,4.412,0.62,10.54,17,7.352941176470588,7.38470588235294,7.559,5,6.87,7.5,8.118,-4,-3.669999999999999,0.7650588235294125,0.73329411764706,-1.5399999999999991
2024,NO,7.5,-110,-110,5,Under,17,338,398,-60,-3.529,0.4044,6.87,17,8.588235294117647,8.297647058823529,8.118,6,6.29,4.5,8.324,1,-0.5800000000000001,-0.2642352941176469,0.026352941176471134,-1.87
2015,NYG,8.0,150,-170,6,Under,16,420,442,-22,-1.375,0.4698,7.52,16,8.0,7.654375,8.281,11,8.83,8.5,7.875,5,1.3100000000000005,-0.125,0.22062500000000007,-1.5199999999999996
2016,NYG,8.5,100,-120,11,Over,16,310,284,26,1.625,0.5517,8.83,16,7.6875,8.0225,7.875,3,4.06,9.0,8.188,-8,-4.7700000000000005,0.5005000000000006,0.16549999999999976,2.17
2017,NYG,9.0,-130,110,3,Under,16,246,388,-142,-8.875,0.2535,4.06,16,8.5,8.426875,8.188,5,6.96,7.0,8.438,2,2.9000000000000004,-0.06199999999999939,0.01112499999999983,-1.0599999999999996
2018,NYG,7.0,-140,120,5,Under,16,369,412,-43,-2.688,0.4351,6.96,16,8.4375,8.13875,8.438,4,5.44,6.0,7.844,-1,-1.5199999999999996,-0.5934999999999997,-0.2947499999999996,-1.96
2019,NYG,6.0,105,-125,4,Under,16,341,451,-110,-6.875,0.3402,5.44,16,7.5,7.9425,7.844,6,5.76,6.5,8.594,2,0.3199999999999994,1.0939999999999994,0.6514999999999995,-1.4400000000000004
2020,NYG,6.5,120,-140,6,Under,16,280,357,-77,-4.812,0.3599,5.76,16,7.9375,8.248125,8.594,4,4.14,7.0,8.794,-2,-1.62,0.8565000000000005,0.5458750000000006,0.2400000000000002
2021,NYG,7.0,100,-120,4,Under,17,258,416,-158,-9.294,0.2438,4.14,17,9.117647058823529,8.706470588235293,8.794,9,8.34,7.0,8.235,5,4.2,-0.8826470588235296,-0.4714705882352934,-0.13999999999999968
2022,NYG,7.0,120,-140,9,Over,17,365,371,-6,-0.353,0.4903,8.34,17,8.823529411764707,8.554117647058824,8.235,6,4.55,7.5,8.676,-3,-3.79,-0.14752941176470635,0.12188235294117611,0.6600000000000001
2023,NYG,7.5,-120,100,6,Under,17,266,407,-141,-8.294,0.2674,4.55,17,8.705882352941176,8.721764705882352,8.676,3,4.6,6.5,8.471,-3,0.04999999999999982,-0.23488235294117565,-0.2507647058823519,1.4500000000000002
