year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2022,BAL,10.5,110,-130,10,Under,17,350,315,35,2.059,0.5621,9.56,17,8.529411764705882,8.479411764705883,8.206,13,13.34,10.0,8.676,3,3.7799999999999994,0.1465882352941179,0.19658823529411684,0.4399999999999995
2023,BAL,10.0,-130,110,13,Over,17,483,280,203,11.941,0.7845,13.34,17,9.235294117647058,8.598235294117647,8.676,12,11.93,10.5,8.647,-1,-1.4100000000000001,-0.5882941176470577,0.04876470588235371,-0.33999999999999986
2024,BAL,10.5,100,-120,12,Over,17,518,361,157,9.235,0.7018,11.93,17,9.0,8.715882352941176,8.647,8,9.14,11.5,8.794,-4,-2.789999999999999,-0.20599999999999952,0.07811764705882496,0.07000000000000028
2015,BUF,8.5,130,-150,8,Under,16,379,359,20,1.25,0.5321,8.51,16,8.125,8.191875,8.406,7,8.51,8.0,8.344,-1,0.0,0.21899999999999942,0.15212499999999984,-0.5099999999999998
2016,BUF,8.0,130,-150,7,Under,16,399,378,21,1.312,0.532,8.51,16,7.625,7.56375,8.344,9,6.38,6.5,8.219,2,-2.13,0.5939999999999994,0.6552499999999997,-1.5099999999999998
2017,BUF,6.5,130,-150,9,Over,16,302,359,-57,-3.562,0.399,6.38,16,7.875,7.686875000000001,8.219,6,5.03,5.5,8.312,-3,-1.3499999999999996,0.4369999999999994,0.6251249999999988,2.62
2018,BUF,5.5,120,-140,6,Over,16,269,374,-105,-6.562,0.3141,5.03,16,8.3125,8.281875,8.312,10,9.79,7.0,7.875,4,4.759999999999999,-0.4375,-0.40687499999999943,0.9699999999999998
2019,BUF,7.0,-140,120,10,Over,16,314,259,55,3.438,0.6122,9.79,16,7.375,7.62875,7.875,13,10.64,9.0,8.219,3,0.8500000000000014,0.8439999999999994,0.5902499999999993,0.21000000000000085
2020,BUF,9.0,-120,100,13,Over,16,501,375,126,7.875,0.6652,10.64,16,8.1875,7.86375,8.219,11,13.12,11.5,8.441,-2,2.4799999999999986,0.2535000000000007,0.5772500000000012,2.3599999999999994
2021,BUF,11.5,-110,-110,11,Under,17,483,289,194,11.412,0.7716,13.12,17,8.0,7.801764705882353,8.441,13,12.01,12.0,8.406,2,-1.1099999999999994,0.4060000000000006,0.6042352941176476,-2.119999999999999
2022,BUF,12.0,-110,-110,13,Over,16,455,286,169,10.562,0.7503,12.01,16,8.3125,8.17875,8.406,11,12.02,10.5,8.882,-2,0.009999999999999787,0.5694999999999997,0.7032499999999988,0.9900000000000002
2023,BUF,10.5,-140,120,11,Over,17,451,311,140,8.235,0.707,12.02,17,8.0,7.751764705882353,8.882,13,11.88,10.0,8.706,2,-0.1399999999999988,0.7059999999999995,0.9542352941176464,-1.0199999999999996
2024,BUF,10.0,-110,-110,13,Over,17,525,368,157,9.235,0.6989,11.88,17,7.9411764705882355,7.86529411764706,8.706,12,11.18,12.5,8.265,-1,-0.7000000000000011,0.32382352941176507,0.3997058823529409,1.1199999999999992
2015,CAR,8.5,150,-170,15,Over,16,500,308,192,12.0,0.7592,12.15,16,7.0625,7.238125,8.219,6,7.19,10.5,7.875,-9,-4.96,0.8125,0.6368749999999999,2.8499999999999996
2016,CAR,10.5,120,-140,6,Under,16,369,402,-33,-2.062,0.4494,7.19,16,8.1875,8.261875,7.875,11,8.99,9.0,7.938,5,1.7999999999999998,-0.24950000000000028,-0.32387500000000014,-1.1900000000000004
2017,CAR,9.0,-120,100,11,Over,16,363,327,36,2.25,0.5616,8.99,16,8.625,8.358125,7.938,7,7.85,8.5,8.188,-4,-1.1400000000000006,-0.4369999999999994,-0.17012499999999875,2.01
2018,CAR,8.5,110,-130,7,Under,16,376,382,-6,-0.375,0.4906,7.85,16,8.0625,8.199375,8.188,5,5.07,8.0,8.156,-2,-2.7799999999999994,0.09350000000000058,-0.043374999999999275,-0.8499999999999996
2019,CAR,8.0,-130,110,5,Under,16,340,470,-130,-8.125,0.317,5.07,16,8.75,8.249375,8.156,5,6.7,5.5,8.406,0,1.63,-0.3439999999999994,0.15662500000000001,-0.07000000000000028
2020,CAR,5.5,-140,120,5,Under,16,350,402,-52,-3.25,0.4187,6.7,16,8.5,8.59,8.406,5,5.74,7.5,8.559,0,-0.96,0.058999999999999275,-0.031000000000000583,-1.7000000000000002
2021,CAR,7.5,100,-120,5,Under,17,304,404,-100,-5.882,0.3376,5.74,17,8.647058823529411,8.531176470588235,8.559,7,7.75,6.5,8.382,2,2.01,-0.26505882352941157,-0.1491764705882357,-0.7400000000000002
2022,CAR,6.5,-130,110,7,Over,17,347,374,-27,-1.588,0.4557,7.75,17,8.0,8.173529411764706,8.382,2,3.52,7.5,8.206,-5,-4.23,0.20599999999999952,0.03247058823529336,-0.75
