year,team,pyth_wins_T,sos_pyth_T,pyth_wins_T1,sos_pyth_T1,opp_pyth_delta
2018,KC,10.68,7.685,9.88,7.5093749999999995,0.17562500000000014
2018,LAC,10.42,7.524375,10.44,7.3775,0.14687499999999964
2018,LAR,10.87,7.74,11.33,7.895,-0.15499999999999936
2018,LV,3.91,8.469375,6.01,8.095625,0.37374999999999936
2018,MIA,5.22,7.555625,4.98,8.31875,-0.7631249999999996
2018,MIN,8.51,7.963125,11.65,7.943125,0.019999999999999574
2018,NE,10.68,7.520625,11.8,7.36375,0.15687500000000032
2018,NO,11.19,7.9331249999999995,10.88,8.103125,-0.17000000000000082
2018,NYG,6.96,8.13875,4.06,8.426875,-0.28812500000000085
2018,NYJ,5.43,7.82125,5.71,8.063125,-0.2418749999999994
2018,PHI,8.5,8.076875,11.81,7.43375,0.6431249999999995
2018,PIT,9.62,8.129375,10.53,7.745,0.38437499999999947
2018,SEA,9.95,7.641875,8.92,7.74875,-0.1068750000000005
2018,SF,5.78,7.988125,6.63,8.024375,-0.036249999999999005
2018,TB,6.52,8.38625,6.77,8.119375,0.26687500000000064
2018,TEN,8.22,8.074375,7.4,7.380625,0.6937499999999996
2018,WAS,5.74,7.855,6.81,8.516875,-0.6618750000000002
2019,ARI,6.12,8.24375,2.9,8.351875,-0.10812499999999936
2019,ATL,7.56,8.31125,7.8,7.79,0.5212499999999993
2019,BAL,13.08,7.703125,10.76,7.79375,-0.09062500000000018
2019,BUF,9.79,7.62875,5.03,8.281875,-0.6531249999999993
2019,CAR,5.07,8.249375,7.85,8.199375,0.05000000000000071
2019,CHI,7.41,8.278125,11.51,7.199999999999999,1.078125
2019,CIN,4.4,8.260625,6.03,8.51625,-0.2556250000000002
2019,CLE,6.5,8.370625,7.17,8.3925,-0.021874999999999645
2019,DAL,10.74,7.600625,8.43,7.934375,-0.3337500000000002
2019,DEN,6.93,8.118125000000001,7.44,8.046875,0.07125000000000092
2019,DET,6.0,8.13375,7.01,7.9375,0.19624999999999915
2019,GB,9.71,7.829375,7.41,7.71625,0.11312500000000014
2019,HOU,7.83,8.43375,10.22,7.41375,1.0199999999999996
2019,IND,7.69,7.534375,10.13,7.133125,0.4012500000000001
2019,JAX,5.44,7.7250000000000005,5.66,8.339375,-0.6143749999999999
2019,KC,11.39,8.174375,10.68,7.685,0.4893749999999999
2019,LAC,7.78,7.70875,10.42,7.524375,0.18437500000000018
2019,LAR,8.75,8.334375,10.87,7.74,0.5943749999999994
2019,LV,5.34,7.923125000000001,3.91,8.469375,-0.5462499999999988
2019,MIA,3.89,8.286875,5.22,7.555625,0.7312500000000002
2019,MIN,10.69,7.63625,8.51,7.963125,-0.32687499999999936
2019,NE,13.03,7.37875,10.68,7.520625,-0.14187499999999975
2019,NO,10.69,7.836875,11.19,7.9331249999999995,-0.0962499999999995
2019,NYG,5.44,7.9425,6.96,8.13875,-0.19625000000000004
2019,NYJ,5.59,7.78125,5.43,7.82125,-0.040000000000000036
2019,PHI,8.79,7.6125,8.5,8.076875,-0.46437499999999954
2019,PIT,7.55,8.16,9.62,8.129375,0.03062500000000057
2019,SEA,8.17,8.49,9.95,7.641875,0.8481250000000005
2019,SF,11.79,7.664375,5.78,7.988125,-0.3237500000000004
2019,TB,8.19,7.73,6.52,8.38625,-0.65625
2019,TEN,9.81,7.5725,8.22,8.074375,-0.5018750000000001
2019,WAS,3.8,8.306875,5.74,7.855,0.45187499999999936
2020,ARI,9.04,7.748125,6.12,8.24375,-0.4956250000000004
2020,ATL,7.58,8.423125,7.56,8.31125,0.11187500000000128
2020,BAL,11.79,7.516875,13.08,7.703125,-0.18625000000000025
2020,BUF,10.64,7.86375,9.79,7.62875,0.23499999999999943
