year,team,agl,agl_rank,off_agl,def_agl
2018,BAL,28.5,1,,
2018,NYG,51.2,8,,
2018,KC,60.1,9,,
2018,HOU,85.3,21,,
2018,CIN,97.9,27,,
2018,PHI,117.0,32,,
2018,ARI,92.3,23,,
2018,NE,75.2,16,,
2018,DET,74.7,15,,
2018,DEN,73.6,14,,
2018,LV,77.3,19,,
2018,SF,97.2,26,,
2018,MIA,93.1,24,,
2018,JAX,102.5,28,,
2018,LAC,83.0,20,,
2018,WAS,95.6,25,,
2018,NYJ,70.4,13,,
2019,MIN,25.6,1,,
2019,TB,39.5,2,,
2019,TEN,43.6,3,,
2019,DAL,51.8,4,,
2019,ATL,53.2,5,,
2019,SEA,56.5,6,,
2019,CLE,56.8,7,,
2019,NO,58.3,8,,
2019,PIT,60.5,9,,
2019,LAR,60.6,10,,
2019,BUF,64.6,11,,
2019,IND,65.3,12,,
2019,CHI,65.4,13,,
2019,GB,65.6,14,,
2019,CAR,66.2,15,,
2019,BAL,68.7,16,,
2019,NYG,72.6,17,,
2019,KC,75.8,18,,
2019,HOU,78.2,19,,
2019,CIN,83.2,20,,
2019,PHI,84.4,21,,
2019,ARI,85.0,22,,
2019,NE,85.0,23,,
2019,DET,87.8,24,,
2019,DEN,89.2,25,,
2019,LV,93.4,26,,
2019,SF,95.8,27,,
2019,MIA,100.0,28,,
2019,JAX,100.2,29,,
2019,LAC,103.0,30,,
2019,WAS,131.0,31,,
2019,NYJ,160.1,32,,
2020,TB,30.6,1,,
2020,LAR,45.6,2,,
2020,ATL,48.0,3,,
2020,NO,49.2,4,,
2020,PIT,55.2,5,,
2020,TEN,57.5,6,,
2020,HOU,58.2,7,,
2020,BAL,59.6,8,,
2020,BUF,63.1,9,,
2020,JAX,63.4,10,,
2020,KC,65.2,11,,
2020,MIA,65.7,12,,
2020,IND,72.9,13,,
2020,CAR,73.1,14,,
2020,GB,73.1,15,,
2020,MIN,83.5,16,,
2020,DET,83.7,17,,
2020,LV,86.9,18,,
2020,CHI,87.1,19,,
2020,SEA,88.3,20,,
2020,CIN,88.8,21,,
2020,CLE,89.7,22,,
2020,ARI,95.7,23,,
2020,WAS,97.0,24,,
2020,NYG,104.4,25,,
2020,DEN,108.4,26,,
2020,LAC,109.1,27,,
2020,DAL,118.5,28,,
2020,NYJ,123.9,29,,
2020,PHI,128.1,30,,
2020,NE,134.8,31,,
2020,SF,166.6,32,,
2021,PIT,82.8,20,,
2021,JAX,73.2,15,,
2021,PHI,67.0,12,,
2021,KC,35.6,2,,
2021,MIN,83.8,21,,
2021,GB,75.1,17,,
2021,IND,89.5,23,,
2021,SEA,52.2,6,,
2021,CAR,76.7,18,,
2021,CIN,60.2,8,,
2021,NE,71.6,14,,
2021,ATL,45.1,3,,
2021,BUF,34.8,1,,
2021,HOU,61.3,9,,
2021,LAC,60.2,7,,
2021,CHI,71.6,13,,
2021,CLE,66.9,11,,
2021,DAL,62.7,10,,
2021,NYJ,147.5,31,,
2021,LV,99.6,25,,
2021,WAS,101.4,26,,
2021,MIA,48.9,4,,
2021,NO,99.0,24,,
2021,SF,119.5,29,,
2021,BAL,180.2,32,,
2021,NYG,102.2,27,,
2021,DET,120.4,30,,
2021,TB,78.3,19,,
2021,ARI,87.3,22,,
2021,TEN,73.4,16,,
2021,LAR,51.3,5,,
2021,DEN,108.1,28,,
2022,PIT,32.0,1,,
2022,JAX,39.8,2,,
2022,PHI,42.4,3,,
2022,KC,48.1,4,,
2022,MIN,50.5,5,,
2022,GB,51.9,6,,
2022,IND,53.0,7,,
2022,SEA,53.0,8,,
2022,CAR,54.0,9,,
2022,CIN,56.4,10,,
2022,NE,56.5,11,,
2022,ATL,59.1,12,,
2022,BUF,68.0,13,,
2022,HOU,70.2,14,,
2022,LAC,74.9,15,,
2022,CHI,75.1,16,,
2022,CLE,77.9,17,,
2022,DAL,79.8,18,,
2022,NYJ,86.0,19,,
2022,LV,88.0,20,,
2022,WAS,88.8,21,,
2022,MIA,89.7,22,,
2022,NO,89.8,23,,
2022,SF,93.9,24,,
2022,BAL,102.6,25,,
2022,NYG,102.8,26,,
2022,DET,108.7,27,,
2022,TB,113.9,28,,
2022,ARI,113.9,29,,
2022,TEN,122.9,30,,
2022,LAR,146.6,31,,
2022,DEN,148.6,32,,
2023,HOU,159.1,32,106.6,52.5
2023,NE,128.0,31,64.2,63.8
2023,CAR,120.6,30,58.5,62.0
2023,CLE,108.0,29,62.1,45.9
2023,ARI,100.1,28,40.6,59.5
2023,NYJ,98.8,27,72.8,26.0
2023,IND,84.6,26,59.1,25.5
2023,NYG,84.4,25,51.3,33.1
2023,GB,81.1,24,38.9,42.2
2023,PHI,77.1,23,20.1,57.0
2023,LAC,76.3,22,54.8,21.5
2023,MIA,76.0,21,48.2,27.9
2023,TEN,75.7,20,37.6,38.1
2023,BAL,71.3,19,38.8,32.5
2023,DET,66.7,18,24.6,42.1
2023,SEA,66.6,17,32.8,33.8
2023,PIT,61.3,16,17.3,44.0
2023,MIN,60.4,15,28.4,32.0
2023,DEN,57.7,14,21.8,35.9
2023,BUF,57.1,13,19.6,37.5
2023,WAS,54.4,12,19.4,35.0
2023,DAL,51.8,11,16.6,35.2
2023,TB,51.5,10,24.6,26.9
2023,CHI,50.5,9,29.3,21.2
2023,JAX,49.8,8,25.3,24.5
2023,NO,45.6,7,26.0,19.5
2023,KC,38.1,6,19.7,18.4
2023,ATL,36.3,5,6.4,29.9
2023,SF,34.5,4,14.1,20.3
2023,CIN,28.9,3,16.6,12.3
2023,LV,26.8,2,15.4,11.4
2023,LAR,26.4,1,15.5,10.9
2024,SF,141.2,32,65.0,76.2
2024,LV,118.8,31,39.7,79.1
2024,CAR,115.0,30,45.4,69.6
2024,NO,114.6,29,87.3,27.4
2024,MIA,111.0,28,52.5,58.5
2024,CLE,106.6,27,56.5,50.0
2024,ARI,104.7,26,31.8,72.9
2024,DET,96.6,25,10.1,86.5
2024,NE,93.2,24,52.4,40.8
2024,LAR,90.8,23,50.7,40.1
2024,IND,89.8,22,35.1,54.7
2024,HOU,88.9,21,45.7,43.3
2024,NYJ,84.9,20,25.9,59.0
2024,DAL,84.7,19,31.8,52.9
2024,PIT,76.9,18,44.4,32.4
2024,TB,75.8,17,32.4,43.3
2024,SEA,72.4,16,39.8,32.7
2024,CIN,71.6,15,34.5,37.2
2024,KC,70.4,14,42.2,28.2
2024,NYG,70.3,13,28.8,41.5
2024,TEN,69.8,12,20.0,49.8
2024,LAC,64.2,11,22.3,41.9
2024,MIN,63.3,10,46.8,16.5
2024,JAX,57.3,9,39.3,17.9
2024,BUF,56.1,8,12.3,43.8
2024,GB,46.1,7,19.7,26.4
2024,DEN,45.9,6,19.1,26.8
2024,WAS,45.5,5,22.1,23.5
2024,ATL,44.2,4,28.4,15.8
2024,CHI,40.3,3,13.0,27.3
2024,PHI,33.7,2,22.5,11.2
2024,BAL,16.3,1,7.7,8.6
2025,ARI,179.8,32,101.7,78.1
2025,DET,130.3,31,37.6,92.7
2025,WAS,124.4,30,71.0,53.4
2025,MIA,117.3,29,71.4,45.9
2025,SF,115.0,28,60.2,54.8
2025,LAC,106.2,27,56.3,49.9
2025,CLE,104.4,26,56.2,48.2
2025,HOU,101.3,25,65.9,35.4
2025,TB,96.1,24,70.6,25.5
2025,NYG,95.0,23,43.8,51.3
2025,NYJ,93.1,22,49.2,43.9
2025,CAR,92.4,21,59.1,33.3
2025,ATL,86.4,20,33.4,53.1
2025,NO,83.2,19,54.4,28.9
2025,BAL,78.7,18,15.6,63.1
2025,CHI,74.9,17,21.7,53.2
2025,CIN,74.4,16,48.0,26.4
2025,GB,72.9,15,48.3,24.6
2025,DAL,72.5,14,23.4,49.1
2025,BUF,72.4,13,11.0,61.4
2025,IND,65.9,12,20.4,45.5
2025,TEN,62.8,11,24.0,38.8
2025,LAR,62.2,10,36.1,26.1
2025,MIN,61.4,9,38.6,22.8
2025,DEN,60.6,8,40.3,20.3
2025,JAX,54.7,7,29.7,24.9
2025,PIT,53.3,6,13.2,40.1
2025,LV,51.3,5,35.6,15.6
2025,KC,49.4,4,38.3,11.2
2025,SEA,46.9,3,15.5,31.4
2025,PHI,44.0,2,16.1,27.9
2025,NE,43.5,1,19.4,24.0
