year_a_result,n,next_over_pct,next_median_diff,book_line_move,n_healthy_next,next_over_pct_healthy
<=-300,7,71,131.0,-104.0,5,100
-300..-150,3,100,391.0,-179.0,3,100
-150..-50,7,86,92.0,-121.0,6,100
-50..+50,6,100,315.2,-111.0,5,100
+50..+150,7,29,-149.5,16.0,6,33
+150..+300,9,44,-0.5,27.0,7,57
+300..+500,13,38,-109.0,124.0,8,62
+500+,6,50,-36.5,281.0,4,75
