bucket,n,avg_line,over_pct_all,mean_diff_all,n_healthy,over_pct_healthy,median_diff_healthy
<7 (bad),27,921.0,56,-40.0,19,79,207.5
7-8 (below .500),21,902.0,29,-84.0,14,43,-12.0
8.5-9 (around .500),29,920.0,48,22.0,19,74,213.5
9.5-10 (good),47,965.0,40,-8.0,36,47,-9.5
10.5+ (contender),34,949.0,44,-34.0,24,58,74.0
