tier,n,over_pct_all,n_healthy,over_pct_healthy,median_diff_healthy,mean_abs_miss
<=4.5,47,43,36,50,0.0,1.9
5-5.5,15,40,8,38,-1.0,2.7
6-6.5,27,44,19,53,0.5,2.0
7-7.5,16,38,12,50,0.0,2.9
8+,18,28,14,36,-1.5,3.9
