group,n,mean,median,stdev,skew,p10,p25,p75,p90,min,max,pct_under,pct_near_the_number
yards / all,126,-48.5,-41.2,386.5,-0.02,-519.5,-329.8,230.4,386.0,-1043.0,979.5,55,8
yards / healthy >=14g,88,122.2,132.2,296.7,0.36,-287.1,-68.9,304.9,430.0,-493.0,979.5,36,9
yards / injured <14g,38,-443.6,-412.0,260.6,0.01,-789.8,-592.0,-315.5,-190.0,-1043.0,289.5,97,5
td / all,76,-0.5,-1.0,4.5,0.23,-5.8,-3.5,3.0,4.8,-11.0,12.5,55,16
td / healthy >=14g,54,1.2,1.2,3.8,0.46,-3.3,-1.5,3.5,5.9,-5.5,12.5,37,22
td / injured <14g,22,-4.9,-4.8,2.7,-0.67,-8.3,-6.4,-2.1,-2.0,-11.0,-1.5,100,0
