year,player,prior_rush_yards,prior_games,prior_carries,line,line_minus_prior,actual,diff,result,games,prior_injury
2024,Aaron Jones,656,11,142,725.5,69.5,1138.0,412.5,over,17,True
2024,Devin Singletary,898,17,216,725.5,-172.5,437.0,-288.5,under,15,False
2024,James Conner,1040,13,208,713.0,-327.0,1094.0,381.0,over,16,True
2024,Lamar Jackson,821,16,148,688.0,-133.0,915.0,227.0,over,17,False
2024,Raheem Mostert,1012,15,209,663.0,-349.0,278.0,-385.0,under,13,False
2024,Alvin Kamara,694,13,180,638.0,-56.0,950.0,312.0,over,14,True
2024,Jaylen Warren,784,17,149,595.5,-188.5,511.0,-84.5,under,15,False
2024,Ezekiel Elliott,642,17,184,575.5,-66.5,226.0,-349.5,under,15,False
2024,Jalen Hurts,605,17,157,538.0,-67.0,630.0,92.0,over,15,False
2024,Anthony Richardson,136,4,25,538.0,402.0,499.0,-39.0,under,11,True
2024,Josh Allen,524,17,111,490.5,-33.5,531.0,40.5,over,16,False
2024,Kyler Murray,244,8,44,488.0,244.0,572.0,84.0,over,17,True
2025,Saquon Barkley,2005,16,345,1463.0,-542.0,1140.0,-323.0,under,16,False
2025,Derrick Henry,1921,17,325,1313.0,-608.0,1595.0,282.0,over,17,False
2025,Jonathan Taylor,1431,14,303,1225.5,-205.5,1585.0,359.5,over,17,False
2025,Bijan Robinson,1456,17,304,1175.5,-280.5,1478.0,302.5,over,17,False
2025,Josh Jacobs,1329,17,301,1038.0,-291.0,929.0,-109.0,under,15,False
2025,Jahmyr Gibbs,1412,17,250,1025.5,-386.5,1223.0,197.5,over,17,False
2025,Bucky Irving,1122,17,207,1013.0,-109.0,588.0,-425.0,under,10,False
2025,Kyren Williams,1299,16,316,988.0,-311.0,1252.0,264.0,over,17,False
2025,Christian McCaffrey,202,4,50,950.5,748.5,1202.0,251.5,over,17,True
2025,James Cook,1009,16,207,925.5,-83.5,1621.0,695.5,over,17,False
2025,Chuba Hubbard,1195,15,250,925.5,-269.5,511.0,-414.5,under,15,False
2025,Joe Mixon,1016,14,245,915.5,-100.5,0.0,-915.5,under,0,False
2025,Breece Hall,876,16,209,913.0,37.0,1065.0,152.0,over,16,False
2025,Kenneth Walker,573,11,153,863.0,290.0,1027.0,164.0,over,17,True
2025,James Conner,1094,16,236,850.5,-243.5,95.0,-755.5,under,3,False
2025,Tony Pollard,1079,16,260,850.5,-228.5,1082.0,231.5,over,17,False
2025,D'Andre Swift,959,17,253,850.5,-108.5,1087.0,236.5,over,16,False
2025,Chase Brown,990,16,229,838.0,-152.0,1019.0,181.0,over,17,False
2025,Aaron Jones,1138,17,255,813.0,-325.0,548.0,-265.0,under,12,False
2025,De'Von Achane,907,17,203,800.5,-106.5,1350.0,549.5,over,16,False
2025,Alvin Kamara,950,14,228,788.0,-162.0,471.0,-317.0,under,11,False
2025,Brian Robinson,799,14,187,763.0,-36.0,400.0,-363.0,under,17,False
2025,Lamar Jackson,915,17,139,750.5,-164.5,349.0,-401.5,under,13,False
2025,Jayden Daniels,891,17,148,700.5,-190.5,278.0,-422.5,under,7,False
2025,Jalen Hurts,630,15,150,588.0,-42.0,421.0,-167.0,under,16,False
2025,Kyler Murray,572,17,78,488.0,-84.0,173.0,-315.0,under,5,False
2025,Josh Allen,531,16,102,475.5,-55.5,579.0,103.5,over,16,False
