tier,n,over_pct_all,n_healthy,over_pct_healthy,median_diff_healthy,mean_abs_miss
<=4.5,8,50,5,80,1.5,3.4
5-6.5,22,27,16,38,-0.2,2.5
7-8.5,22,32,13,54,3.0,4.5
9-10.5,16,69,14,79,3.0,3.7
11+,8,38,6,50,-0.2,4.5
