bucket,n,avg_line,over_pct_all,mean_diff_all,n_healthy,over_pct_healthy,median_diff_healthy
<7 (bad),22,820.0,41,-109.0,14,57,101.2
7-8,22,842.0,36,-10.0,16,50,31.5
8.5-9,19,894.0,47,-34.0,13,69,187.5
9.5-10,31,853.0,48,-86.0,21,71,131.0
10.5+ (contender),31,834.0,52,24.0,24,67,121.5
