player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0019596,Tom Brady,QB,TB,17,28,81,2,14,0,0,0
00-0022824,Andy Lee,P,ARI,16,1,0,0,0,0,0,0
00-0022924,Ben Roethlisberger,QB,PIT,16,20,5,1,3,0,0,0
00-0023459,Aaron Rodgers,QB,GB,16,33,101,3,10,1,-4,0
00-0023682,Ryan Fitzpatrick,QB,WAS,1,1,2,0,0,0,0,0
00-0025394,Adrian Peterson,RB,SEA,4,38,98,2,6,4,8,0
00-0026143,Matt Ryan,QB,ATL,17,40,82,1,9,0,0,0
00-0026158,Joe Flacco,QB,NYJ,2,2,3,0,1,0,0,0
00-0026189,DeSean Jackson,WR,LV,14,1,4,0,0,20,454,2
00-0026197,Chad Henne,QB,KC,4,8,0,0,0,0,0,0
00-0026300,Josh Johnson,QB,BAL,4,9,28,0,1,0,0,0
00-0026498,Matthew Stafford,QB,LA,17,32,43,0,8,0,0,0
00-0026544,Chase Daniel,QB,LAC,1,2,-2,0,0,0,0,0
00-0026625,Brian Hoyer,QB,NE,5,11,-8,0,1,0,0,0
00-0027685,Emmanuel Sanders,WR,BUF,14,2,31,0,2,42,626,4
00-0027688,Colt McCoy,QB,ARI,7,22,37,0,6,0,0,0
00-0027691,Andre Roberts,WR,LAC,16,3,19,0,0,1,35,0
00-0027793,Antonio Brown,WR,TB,7,1,6,0,0,42,545,4
00-0027939,Cam Newton,QB,CAR,7,47,230,5,20,0,0,0
00-0027948,Blaine Gabbert,QB,TB,6,9,-7,0,0,0,0,0
00-0027966,Mark Ingram,RB,NO,14,160,554,2,22,27,162,0
00-0027973,Andy Dalton,QB,CHI,8,16,76,0,2,0,0,0
00-0028002,Randall Cobb,WR,GB,11,1,1,0,0,28,375,5
00-0028118,Tyrod Taylor,QB,HOU,6,19,151,3,7,0,0,0
00-0028872,Johnny Hekker,P,LA,17,1,0,0,0,0,0,0
00-0028986,Case Keenum,QB,CLE,5,12,22,0,6,0,0,0
00-0029239,Brandon Bolden,RB,NE,16,44,226,1,12,41,405,2
00-0029263,Russell Wilson,QB,SEA,14,43,183,2,17,0,0,0
00-0029567,Nick Foles,QB,CHI,1,4,8,0,1,0,0,0
00-0029604,Kirk Cousins,QB,MIN,16,29,115,1,8,0,0,0
00-0029701,Ryan Tannehill,QB,TEN,17,55,270,7,33,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,15,8,22,1,3,30,296,1
00-0030035,Adam Thielen,WR,MIN,13,1,2,0,0,67,726,10
00-0030061,Zach Ertz,TE,ARI,17,1,4,0,0,74,763,5
00-0030068,Marquise Goodwin,WR,CHI,14,2,-1,0,0,20,313,1
00-0030085,Kenny Stills,WR,NO,7,1,1,0,0,6,68,1
00-0030288,Rex Burkhead,RB,HOU,15,122,427,3,30,25,186,0
00-0030431,Robert Woods,WR,LA,9,8,46,1,1,45,556,4
00-0030456,Giovani Bernard,RB,TB,10,8,58,0,3,23,123,3
00-0030465,Kenjon Barner,RB,TB,3,4,0,0,0,0,0,0
