player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0026158,Joe Flacco,QB,CLE,5,9,2,0,3,0,0,0
00-0026498,Matthew Stafford,QB,LA,15,21,65,0,4,0,0,0
00-0026625,Brian Hoyer,QB,LV,2,3,-3,0,0,0,0,0
00-0027948,Blaine Gabbert,QB,KC,2,7,45,0,2,0,0,0
00-0027973,Andy Dalton,QB,CAR,2,3,12,0,2,0,0,0
00-0028118,Tyrod Taylor,QB,NYG,10,38,197,0,10,0,0,0
00-0028872,Johnny Hekker,P,CAR,17,1,-11,0,0,0,0,0
00-0028986,Case Keenum,QB,HOU,2,2,1,0,0,0,0,0
00-0029239,Brandon Bolden,RB,LV,5,4,31,1,2,0,0,0
00-0029263,Russell Wilson,QB,DEN,15,80,341,3,38,0,0,0
00-0029604,Kirk Cousins,QB,MIN,8,14,25,0,6,0,0,0
00-0029701,Ryan Tannehill,QB,TEN,9,17,74,1,4,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,11,5,6,0,2,14,119,2
00-0030035,Adam Thielen,WR,CAR,17,1,6,0,0,103,1014,4
00-0030068,Marquise Goodwin,WR,CLE,10,4,33,0,2,4,67,0
00-0030140,Tress Way,P,WAS,17,1,0,0,0,0,0,0
00-0030279,Keenan Allen,WR,LAC,13,2,6,0,1,108,1243,7
00-0030431,Robert Woods,WR,HOU,14,1,7,0,0,40,426,1
00-0030513,Latavius Murray,RB,BUF,15,79,300,4,27,17,119,0
00-0030533,Matt Barkley,QB,JAX,1,3,-3,0,0,0,0,0
00-0030564,DeAndre Hopkins,WR,TEN,17,2,9,0,0,75,1057,7
00-0030565,Geno Smith,QB,SEA,15,37,155,1,10,1,-2,0
00-0030578,Cordarrelle Patterson,RB,ATL,12,50,181,0,9,9,38,1
00-0030874,Damien Williams,RB,ARI,3,11,43,0,1,2,12,0
00-0031236,Brandin Cooks,WR,DAL,16,5,35,0,1,54,657,8
00-0031237,Teddy Bridgewater,QB,DET,1,2,-2,0,0,0,0,0
00-0031260,Logan Thomas,TE,WAS,16,1,2,0,1,55,496,4
00-0031280,Derek Carr,QB,NO,17,32,40,0,4,0,0,0
00-0031345,Jimmy Garoppolo,QB,LV,7,20,39,0,6,0,0,0
00-0031376,Jerick McKinnon,RB,KC,12,21,60,1,7,25,192,4
00-0031503,Jameis Winston,QB,NO,6,5,-6,0,0,0,0,0
00-0031588,Stefon Diggs,WR,BUF,17,1,5,0,1,107,1183,8
00-0031595,Michael Burton,FB,DEN,11,7,9,0,4,3,8,0
00-0031687,Raheem Mostert,RB,MIA,15,209,1012,18,59,25,175,3
00-0031763,DeAndre Carter,WR,LV,17,3,18,0,2,4,39,0
00-0031800,Taylor Heinicke,QB,ATL,5,15,124,1,5,0,0,0
00-0032104,Ameer Abdullah,RB,LV,16,15,89,0,6,19,131,0
00-0032144,Melvin Gordon,RB,BAL,4,26,81,1,4,3,46,0
00-0032156,Trevor Siemian,QB,NYJ,5,11,40,0,5,0,0,0
00-0032200,Ty Montgomery,WR,NE,11,3,9,0,0,5,40,0
00-0032268,Marcus Mariota,QB,PHI,2,8,52,0,6,0,0,0
00-0032385,Sterling Shepard,WR,NYG,10,1,6,0,0,10,57,1
00-0032398,Chris Moore,WR,TEN,15,2,39,0,1,22,424,0
00-0032436,Jeff Driskel,QB,CLE,1,7,33,0,4,0,0,0
00-0032464,Kalif Raymond,WR,DET,17,7,75,0,2,35,489,1
00-0032764,Derrick Henry,RB,TEN,17,280,1167,12,63,28,214,0
00-0032775,Demarcus Robinson,WR,LA,8,1,23,0,1,26,371,4
