player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0019596,Tom Brady,QB,TB,17,29,-1,1,5,0,0,0
00-0023459,Aaron Rodgers,QB,GB,17,34,94,1,9,0,0,0
00-0026143,Matt Ryan,QB,IND,12,27,70,1,9,0,0,0
00-0026158,Joe Flacco,QB,NYJ,5,3,6,0,1,0,-3,0
00-0026197,Chad Henne,QB,KC,3,5,-5,0,0,0,0,0
00-0026300,Josh Johnson,QB,SF,1,2,3,0,0,0,0,0
00-0026498,Matthew Stafford,QB,LA,9,13,9,1,3,0,0,0
00-0026544,Chase Daniel,QB,LAC,3,1,4,0,0,0,0,0
00-0027688,Colt McCoy,QB,ARI,4,14,36,0,5,0,0,0
00-0027944,Julio Jones,WR,TB,10,5,45,0,4,24,299,2
00-0027966,Mark Ingram,RB,NO,10,62,233,1,12,16,68,0
00-0027973,Andy Dalton,QB,NO,14,30,54,0,6,0,0,0
00-0028118,Tyrod Taylor,QB,NYG,2,5,70,0,5,0,0,0
00-0028292,Nick Bellore,LB,SEA,12,1,3,0,0,0,0,0
00-0028986,Case Keenum,QB,BUF,2,5,0,0,0,0,0,0
00-0029239,Brandon Bolden,RB,LV,13,17,66,0,3,9,57,1
00-0029263,Russell Wilson,QB,DEN,15,55,277,3,21,1,1,0
00-0029567,Nick Foles,QB,IND,2,2,8,0,0,0,0,0
00-0029604,Kirk Cousins,QB,MIN,17,31,97,2,11,0,0,0
00-0029692,Bryan Anger,P,DAL,17,1,0,0,0,0,0,0
00-0029701,Ryan Tannehill,QB,TEN,12,34,98,2,12,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,13,7,26,1,5,19,200,1
00-0030035,Adam Thielen,WR,MIN,17,1,4,0,0,70,716,6
00-0030068,Marquise Goodwin,WR,SEA,13,2,5,0,0,27,387,4
00-0030279,Keenan Allen,WR,LAC,10,1,8,0,1,66,752,4
00-0030288,Rex Burkhead,RB,HOU,15,26,80,0,4,37,204,1
00-0030456,Giovani Bernard,RB,TB,4,8,28,0,0,2,-1,0
00-0030506,Travis Kelce,TE,KC,17,2,5,0,1,110,1338,12
00-0030513,Latavius Murray,RB,DEN,13,171,760,6,44,27,132,0
00-0030565,Geno Smith,QB,SEA,17,68,366,1,24,0,0,0
00-0030578,Cordarrelle Patterson,RB,ATL,13,144,695,8,39,21,122,0
00-0030874,Damien Williams,RB,ATL,1,2,2,0,0,0,0,0
00-0030968,Keith Smith,FB,ATL,9,1,2,0,1,1,8,0
00-0031236,Brandin Cooks,WR,HOU,13,2,7,0,0,57,699,3
00-0031237,Teddy Bridgewater,QB,MIA,5,3,27,0,2,0,0,0
00-0031280,Derek Carr,QB,LV,15,24,102,0,10,0,0,0
00-0031345,Jimmy Garoppolo,QB,SF,11,23,33,2,11,0,0,0
00-0031376,Jerick McKinnon,RB,KC,17,72,291,1,12,56,512,9
00-0031381,Davante Adams,WR,LV,17,3,-1,0,0,100,1516,14
00-0031503,Jameis Winston,QB,NO,3,5,16,0,0,0,0,0
00-0031588,Stefon Diggs,WR,BUF,16,1,-3,0,0,108,1429,11
00-0031595,Michael Burton,FB,KC,12,5,7,0,2,2,11,0
00-0031687,Raheem Mostert,RB,MIA,16,181,891,3,44,31,202,2
00-0031763,DeAndre Carter,WR,LAC,17,2,-15,0,0,46,538,3
00-0031800,Taylor Heinicke,QB,WAS,9,28,96,1,6,0,0,0
00-0031806,Malcolm Brown,RB,LA,7,18,81,1,3,5,37,0
00-0032054,Breshad Perriman,WR,TB,8,2,-7,0,0,9,110,1
00-0032058,Tevin Coleman,RB,SF,2,12,26,1,2,3,44,1
00-0032063,Mike Davis,RB,BAL,5,8,18,0,1,2,4,0
00-0032104,Ameer Abdullah,RB,LV,16,4,20,0,2,25,211,1
00-0032144,Melvin Gordon,RB,DEN,10,90,318,2,15,25,223,0
00-0032156,Trevor Siemian,QB,CHI,2,4,8,0,1,0,0,0
00-0032187,David Johnson,RB,NO,4,12,24,0,0,4,47,0
00-0032200,Ty Montgomery,WR,NE,1,2,-2,0,0,3,15,1
00-0032257,Duke Johnson,RB,BUF,1,2,4,0,1,0,0,0
00-0032268,Marcus Mariota,QB,ATL,13,85,438,4,30,0,0,0
00-0032398,Chris Moore,WR,HOU,15,3,3,0,0,48,548,2
00-0032434,Brandon Allen,QB,CIN,1,3,-1,0,1,0,0,0
00-0032436,Jeff Driskel,QB,HOU,7,20,75,0,4,1,4,0
00-0032450,Dwayne Washington,RB,NO,7,11,38,0,2,1,7,0
00-0032464,Kalif Raymond,WR,DET,17,7,36,0,4,47,616,0
00-0032496,Matthias Farley,DB,LV,10,1,-3,0,0,0,0,0
00-0032602,J.D. McKissic,RB,WAS,8,22,95,0,5,27,173,0
00-0032764,Derrick Henry,RB,TEN,16,349,1538,13,65,33,398,0
00-0032780,Jordan Howard,RB,NO,1,1,1,0,0,0,0,0
00-0032792,Nate Sudfeld,QB,DET,2,5,-4,0,0,0,0,0
00-0032807,Clayton Fejedelem,DB,MIA,7,1,0,0,0,0,0,0
