player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0023459,Aaron Rodgers,QB,NYJ,17,22,107,0,7,0,0,0
00-0026158,Joe Flacco,QB,IND,7,9,26,0,2,0,0,0
00-0026300,Josh Johnson,QB,BAL,4,4,1,0,0,0,0,0
00-0026498,Matthew Stafford,QB,LA,16,30,41,0,10,0,0,0
00-0027973,Andy Dalton,QB,CAR,6,11,34,0,2,0,0,0
00-0028118,Tyrod Taylor,QB,NYJ,2,3,13,0,0,0,0,0
00-0029263,Russell Wilson,QB,PIT,11,43,155,2,16,0,0,0
00-0029604,Kirk Cousins,QB,ATL,14,23,0,0,2,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,14,5,26,1,1,19,200,2
00-0030506,Travis Kelce,TE,KC,16,1,1,0,0,97,823,3
00-0030565,Geno Smith,QB,SEA,17,53,272,2,17,0,0,0
00-0030578,Cordarrelle Patterson,RB,PIT,13,32,135,0,7,12,80,1
00-0031236,Brandin Cooks,WR,DAL,10,3,-3,0,0,26,259,3
00-0031280,Derek Carr,QB,NO,10,17,71,1,4,0,0,0
00-0031345,Jimmy Garoppolo,QB,LA,1,2,5,0,0,0,0,0
00-0031503,Jameis Winston,QB,CLE,11,25,83,1,17,0,0,0
00-0031588,Stefon Diggs,WR,HOU,8,3,8,1,1,47,496,3
00-0031595,Michael Burton,FB,DEN,12,7,8,1,3,10,65,1
00-0031687,Raheem Mostert,RB,MIA,13,85,278,2,13,19,161,0
00-0031800,Taylor Heinicke,QB,LAC,4,2,20,0,1,0,0,0
00-0032104,Ameer Abdullah,RB,LV,15,66,311,2,14,40,261,3
00-0032268,Marcus Mariota,QB,WAS,3,18,92,1,6,0,0,0
00-0032385,Sterling Shepard,WR,TB,13,8,69,0,4,32,334,1
00-0032434,Brandon Allen,QB,SF,3,3,4,0,0,0,0,0
00-0032464,Kalif Raymond,WR,DET,12,2,0,0,1,17,215,2
00-0032764,Derrick Henry,RB,BAL,17,325,1921,16,94,19,193,2
00-0032918,C.J. Ham,FB,MIN,10,2,10,1,1,5,35,0
00-0032950,Carson Wentz,QB,KC,2,3,0,0,0,0,0,0
00-0033009,Tyler Boyd,WR,TEN,15,1,3,0,1,39,390,0
00-0033040,Tyreek Hill,WR,MIA,17,8,53,0,2,81,959,6
00-0033045,Ezekiel Elliott,RB,DAL,15,74,226,3,14,12,69,0
00-0033077,Dak Prescott,QB,DAL,8,13,54,1,5,0,0,0
00-0033106,Jared Goff,QB,DET,17,35,56,0,9,1,7,1
00-0033119,Jacoby Brissett,QB,NE,7,15,62,0,5,0,0,0
00-0033280,Christian McCaffrey,RB,SF,4,50,202,0,12,15,146,0
00-0033282,Curtis Samuel,WR,BUF,14,5,14,0,0,31,253,1
00-0033293,Aaron Jones,RB,MIN,17,255,1138,5,49,51,408,2
00-0033307,Kendrick Bourne,WR,NE,12,1,6,0,1,28,305,1
00-0033319,Nick Mullens,QB,MIN,4,3,-2,0,0,0,0,0
00-0033357,Taysom Hill,TE,NO,8,39,278,6,18,23,187,0
00-0033526,Samaje Perine,RB,KC,17,20,92,1,7,28,322,1
00-0033537,Deshaun Watson,QB,CLE,7,31,148,1,8,0,0,0
00-0033553,James Conner,RB,ARI,16,236,1094,8,67,47,414,1
00-0033557,Jalen Reeves-Maybin,LB,DET,9,1,1,0,0,0,0,0
00-0033589,David Moore,WR,CAR,15,1,0,0,0,32,351,3
00-0033662,Cooper Rush,QB,DAL,12,26,18,0,5,0,0,0
00-0033699,Austin Ekeler,RB,WAS,12,77,367,4,19,35,366,0
00-0033854,Dare Ogunbowale,RB,HOU,16,30,112,0,5,19,198,1
00-0033858,Jonnu Smith,TE,MIA,17,2,-1,0,0,88,884,8
00-0033869,Mitchell Trubisky,QB,BUF,8,17,1,0,1,0,0,0
00-0033873,Patrick Mahomes,QB,KC,16,58,307,2,22,1,2,0
00-0033893,Dalvin Cook,RB,DAL,2,8,20,0,0,1,10,0
00-0033897,Joe Mixon,RB,HOU,14,245,1016,11,52,36,309,1
00-0033906,Alvin Kamara,RB,NO,14,228,950,6,52,68,543,2
00-0033908,Cooper Kupp,WR,LA,12,2,10,0,1,67,710,6
00-0033921,Chris Godwin Jr.,WR,TB,7,1,2,0,1,50,576,5
00-0033923,Kareem Hunt,RB,KC,13,200,728,7,42,23,176,0
00-0033925,D'Onta Foreman,RB,CLE,10,71,232,0,10,6,54,0
00-0033948,Jamaal Williams,RB,NO,14,48,164,1,11,9,57,0
00-0033949,Joshua Dobbs,QB,SF,2,9,24,2,2,0,0,0
00-0033955,Jeremy McNichols,RB,WAS,15,55,261,4,15,9,27,0
00-0034115,Jeff Wilson,RB,MIA,7,16,57,0,3,3,19,0
00-0034162,J.K. Scott,P,LAC,17,1,0,0,0,0,0,0
00-0034177,Tim Boyle,QB,NYG,3,3,9,0,1,0,0,0
00-0034184,Gus Edwards,RB,LAC,11,101,365,4,17,3,6,0
00-0034208,Mike Boone,RB,CAR,5,13,51,0,3,1,-2,0
00-0034270,Tyler Conklin,TE,NYJ,16,1,0,0,0,51,449,4
00-0034272,Marquez Valdes-Scantling,WR,NO,13,1,4,0,0,19,411,4
00-0034407,Ray-Ray McCloud,WR,ATL,17,10,79,0,3,62,686,1
00-0034488,Tavierre Thomas,SAF,TB,9,1,-2,0,0,0,0,0
00-0034613,Tanner Hudson,TE,CIN,9,1,1,0,1,19,154,1
00-0034753,Mark Andrews,TE,BAL,17,4,5,0,3,55,673,11
00-0034771,Mason Rudolph,QB,TEN,8,25,106,1,13,0,0,0
00-0034791,Nick Chubb,RB,CLE,8,102,332,3,17,5,31,1
00-0034796,Lamar Jackson,QB,BAL,17,139,915,4,47,0,0,0
00-0034827,DJ Moore,WR,CHI,17,14,75,0,3,98,966,6
00-0034837,Calvin Ridley,WR,TEN,17,8,55,1,3,64,1017,4
00-0034844,Saquon Barkley,RB,PHI,16,345,2005,13,82,33,278,2
00-0034855,Baker Mayfield,QB,TB,17,60,378,3,24,0,0,0
00-0034857,Josh Allen,QB,BUF,16,102,531,12,51,0,7,1
00-0034869,Sam Darnold,QB,MIN,17,67,212,1,23,0,0,0
00-0034928,Steven Sims,WR,BAL,9,1,0,0,0,0,0,0
00-0034960,Jakobi Meyers,WR,LV,15,2,23,0,1,87,1027,4
00-0034972,Alexander Mattison,RB,LV,14,132,420,4,25,36,294,1
00-0034974,Julian Love,SAF,SEA,17,1,2,0,1,0,0,0
00-0034975,Justice Hill,RB,BAL,15,47,228,1,14,42,383,3
00-0035021,Ashton Dulin,WR,IND,13,5,45,0,2,2,67,1
00-0035100,Jake Browning,QB,CIN,2,2,-2,0,0,0,0,0
00-0035125,Alec Ingold,FB,MIA,10,10,17,1,6,11,96,0
00-0035140,Mecole Hardman,WR,KC,12,5,62,1,2,12,90,0
00-0035208,Olamide Zaccheaus,WR,WAS,16,1,8,0,1,45,506,3
00-0035216,Diontae Johnson,WR,HOU,11,2,6,0,1,33,375,3
00-0035228,Kyler Murray,QB,ARI,17,78,572,5,27,0,0,0
00-0035243,Miles Sanders,RB,CAR,11,55,205,2,12,24,148,1
00-0035250,Devin Singletary,RB,NYG,15,113,437,4,24,21,119,0
00-0035261,Tony Pollard,RB,TEN,16,260,1079,5,53,41,238,0
00-0035264,Jarrett Stidham,QB,DEN,2,4,5,0,1,0,0,0
00-0035280,Jake Bailey,P,MIA,16,1,0,0,0,0,0,0
00-0035289,Gardner Minshew,QB,LV,10,19,58,0,5,0,0,0
00-0035311,Myles Gaskin,RB,MIN,4,3,-1,0,0,1,11,0
00-0035500,Greg Dortch,WR,ARI,17,5,31,0,1,37,342,3
00-0035535,Darius Slayton,WR,NYG,16,2,17,0,1,39,573,2
00-0035537,Ty Johnson,RB,BUF,17,41,213,1,13,18,284,3
00-0035567,Craig Reynolds,RB,DET,8,31,139,0,6,3,40,0
00-0035594,Travis Homer,RB,CHI,8,6,23,0,2,3,11,0
00-0035628,D'Ernest Johnson,RB,JAX,12,32,143,0,7,12,96,0
00-0035631,Drew Sample,TE,CIN,11,1,-4,0,0,20,109,1
00-0035659,Terry McLaurin,WR,WAS,17,2,2,0,0,82,1096,13
00-0035685,David Montgomery,RB,DET,14,185,775,12,50,36,341,0
00-0035700,Josh Jacobs,RB,GB,17,301,1329,15,73,36,342,1
00-0035704,Drew Lock,QB,NYG,7,18,133,2,9,0,0,0
00-0035710,Daniel Jones,QB,NYG,10,67,265,2,26,0,0,0
00-0035719,Deebo Samuel Sr.,WR,SF,15,42,136,1,5,51,670,3
00-0035806,JaMycal Hasty,RB,NE,12,20,69,0,4,10,59,1
00-0035860,Tony Jones,RB,ARI,1,4,55,1,1,0,0,0
00-0035924,Jonathan Ward,RB,PIT,4,5,22,0,1,0,0,0
00-0035973,Patrick Taylor,RB,SF,7,39,183,1,11,3,25,0
00-0035993,Tyler Huntley,QB,MIA,5,26,135,2,10,0,0,0
00-0036096,J.J. Taylor,RB,HOU,3,10,44,0,1,2,0,0
00-0036139,Rico Dowdle,RB,DAL,16,235,1079,2,53,39,249,3
00-0036158,J.K. Dobbins,RB,LAC,13,195,905,9,47,32,153,0
00-0036187,Reggie Gilliam,RB,BUF,7,3,7,0,1,0,0,0
00-0036212,Tua Tagovailoa,QB,MIA,11,17,49,0,5,0,0,0
00-0036223,Jonathan Taylor,RB,IND,14,303,1431,11,71,18,136,1
00-0036251,Zack Moss,RB,CIN,8,74,242,2,13,23,187,1
00-0036264,Jordan Love,QB,GB,15,25,83,1,9,0,0,0
00-0036268,Laviska Shenault Jr.,WR,SEA,10,1,1,0,0,5,36,0
00-0036275,D'Andre Swift,RB,CHI,17,253,959,6,43,42,386,0
00-0036297,Darrynton Evans,RB,CHI,1,3,3,0,0,0,0,0
00-0036322,Justin Jefferson,WR,MIN,17,1,3,0,0,103,1533,10
00-0036328,Antonio Gibson,RB,NE,17,120,538,1,24,23,206,0
00-0036329,Ashtyn Davis,SAF,NYJ,10,1,21,0,1,0,0,0
00-0036331,Devin Duvernay,WR,JAX,13,4,3,0,1,11,79,0
00-0036355,Justin Herbert,QB,LAC,17,69,306,2,23,0,0,0
00-0036358,CeeDee Lamb,WR,DAL,15,14,70,0,4,101,1194,6
00-0036360,Clyde Edwards-Helaire,RB,NO,2,13,46,0,2,3,24,0
00-0036370,Joshua Kelley,RB,TEN,1,1,2,0,0,0,0,0
00-0036387,Jalen Reagor,WR,LAC,7,3,-3,0,0,7,100,0
00-0036389,Jalen Hurts,QB,PHI,15,150,630,14,62,0,0,0
00-0036414,Cam Akers,RB,MIN,16,104,444,2,21,14,68,3
00-0036425,DeeJay Dallas,RB,ARI,16,9,49,0,4,3,11,1
00-0036442,Joe Burrow,QB,CIN,17,42,201,2,16,0,0,0
00-0036450,Ke'Shawn Vaughn,RB,SF,1,2,4,0,0,0,0,0
00-0036527,DJ Turner,WR,LV,12,5,33,1,1,16,158,1
00-0036555,Chuba Hubbard,RB,CAR,15,250,1195,10,62,43,171,1
00-0036613,Jaylen Waddle,WR,MIA,15,4,12,0,1,58,744,2
00-0036626,Dyami Brown,WR,WAS,15,3,26,0,1,30,308,1
00-0036637,Noah Gray,TE,KC,16,1,-4,0,0,40,437,5
00-0036670,Jermar Jefferson,RB,DET,2,6,22,0,1,1,10,0
00-0036849,Tutu Atwell,WR,LA,15,2,7,0,0,42,562,0
00-0036875,Rhamondre Stevenson,RB,NE,15,207,801,7,40,33,168,1
00-0036893,Najee Harris,RB,PIT,17,263,1043,6,50,36,283,0
00-0036898,Davis Mills,QB,HOU,4,3,11,0,1,0,0,0
00-0036900,Ja'Marr Chase,WR,CIN,17,3,32,0,2,127,1708,17
00-0036906,Khalil Herbert,RB,CIN,11,36,130,1,10,10,25,0
00-0036912,DeVonta Smith,WR,PHI,13,1,1,0,0,68,833,8
00-0036913,Kadarius Toney,WR,CLE,3,2,-4,0,0,0,0,0
00-0036919,Kenny Gainwell,RB,PHI,17,75,290,1,12,16,116,0
00-0036924,Michael Carter,RB,ARI,3,35,131,1,9,11,57,0
00-0036928,Kyle Trask,QB,TB,3,5,-4,0,0,0,0,0
00-0036945,Justin Fields,QB,PIT,10,62,289,5,19,0,0,0
00-0036963,Amon-Ra St. Brown,WR,DET,17,2,6,0,1,115,1263,12
00-0036971,Trevor Lawrence,QB,JAX,10,26,119,3,13,0,-5,0
00-0036972,Mac Jones,QB,JAX,10,28,92,1,12,0,0,0
00-0036973,Travis Etienne,RB,JAX,15,150,558,2,31,39,254,0
00-0036980,Elijah Moore,WR,CLE,17,1,1,0,0,61,538,1
00-0036984,Trey Sermon,RB,IND,15,56,159,2,14,16,99,0
00-0036997,Javonte Williams,RB,DEN,17,139,513,4,30,52,346,0
00-0037012,Trey Lance,QB,DAL,4,11,41,0,3,0,0,0
00-0037077,Sam Howell,QB,SEA,1,1,2,0,0,0,0,0
