year,team,line_change,bucket,win_total_line,actual_wins,beat_margin,result
2018,KC,-0.5,mod_drop (-2.5..-0.5),8.5,12,3.5,Over
2018,LAC,2.0,mod_rise (+0.5..+2.5),9.5,12,2.5,Over
2018,LAR,4.0,big_rise (>=+2.5),10.0,13,3.0,Over
2018,MIA,-0.5,mod_drop (-2.5..-0.5),6.5,7,0.5,Over
2018,MIN,1.5,mod_rise (+0.5..+2.5),10.0,8,-2.0,Under
2018,NE,-1.5,mod_drop (-2.5..-0.5),11.0,11,0.0,Push
2018,NO,1.5,mod_rise (+0.5..+2.5),9.5,13,3.5,Over
2018,NYG,-2.0,mod_drop (-2.5..-0.5),7.0,5,-2.0,Under
2018,NYJ,2.5,big_rise (>=+2.5),6.0,4,-2.0,Under
2018,LV,-2.0,mod_drop (-2.5..-0.5),7.5,4,-3.5,Under
2018,PHI,2.0,mod_rise (+0.5..+2.5),10.5,9,-1.5,Under
2018,PIT,0.0,stable (-0.5..+0.5),10.5,9,-1.5,Under
2018,SF,3.5,big_rise (>=+2.5),8.5,4,-4.5,Under
2018,SEA,-3.0,big_drop (<=-2.5),7.5,10,2.5,Over
2018,TB,-2.0,mod_drop (-2.5..-0.5),6.5,5,-1.5,Under
2018,TEN,-1.0,mod_drop (-2.5..-0.5),8.0,9,1.0,Over
2018,WAS,-0.5,mod_drop (-2.5..-0.5),7.0,7,0.0,Push
2019,ARI,-1.0,mod_drop (-2.5..-0.5),5.0,5,0.0,Push
2019,ATL,-1.0,mod_drop (-2.5..-0.5),8.5,7,-1.5,Under
2019,BAL,0.0,stable (-0.5..+0.5),8.5,14,5.5,Over
2019,BUF,1.5,mod_rise (+0.5..+2.5),7.0,10,3.0,Over
2019,CAR,-0.5,mod_drop (-2.5..-0.5),8.0,5,-3.0,Under
2019,CHI,1.5,mod_rise (+0.5..+2.5),9.0,8,-1.0,Under
2019,CIN,-1.0,mod_drop (-2.5..-0.5),6.0,2,-4.0,Under
2019,CLE,3.0,big_rise (>=+2.5),9.0,6,-3.0,Under
2019,DAL,0.5,mod_rise (+0.5..+2.5),9.0,8,-1.0,Under
2019,DEN,0.0,stable (-0.5..+0.5),7.0,7,0.0,Push
2019,DET,-1.0,mod_drop (-2.5..-0.5),6.5,3,-3.5,Under
2019,GB,-1.0,mod_drop (-2.5..-0.5),9.0,13,4.0,Over
2019,HOU,0.0,stable (-0.5..+0.5),8.5,10,1.5,Over
2019,IND,0.0,stable (-0.5..+0.5),7.5,7,-0.5,Under
