rank,player,team,pos,adp,season_finish,miss
56,C.J. Stroud,HOU,QB,71.3,269.0,213.0
64,Dalton Kincaid,BUF,TE,51.2,258.0,194.0
89,Joshua Palmer,LAC,WR,99.9,244.0,155.0
138,Adonai Mitchell,IND,WR,123.5,289.0,151.0
79,Jake Ferguson,DAL,TE,84.3,228.0,149.0
36,Travis Etienne Jr.,JAX,RB,43.3,182.0,146.0
27,Isiah Pacheco,KC,RB,39.8,172.0,145.0
17,Brandon Aiyuk,SF,WR,21.3,157.0,140.0
73,Raheem Mostert,MIA,RB,93.2,202.0,129.0
13,Jaylen Waddle,MIA,WR,20.1,136.0,123.0
126,Trey Benson,ARI,RB,115.6,248.0,122.0
150,Jahan Dotson,WAS,WR,139.1,268.0,118.0
186,Jaylen Wright,MIA,RB,157.9,303.0,117.0
43,Christian Kirk,JAX,WR,46.1,151.0,108.0
57,Kyle Pitts,ATL,TE,60.2,152.0,95.0
84,Jaylen Warren,PIT,RB,88.3,177.0,93.0
33,Amari Cooper,CLE,WR,40.6,125.0,92.0
90,Evan Engram,JAX,TE,76.2,180.0,90.0
118,Trevor Lawrence,JAX,QB,119.7,206.0,88.0
177,Drake Maye,NE,QB,194.0,262.0,85.0
78,Dak Prescott,DAL,QB,95.7,162.0,84.0
120,Tyler Lockett,SEA,WR,103.9,203.0,83.0
59,DeAndre Hopkins,TEN,WR,68.3,142.0,83.0
130,Tyler Allgeier,ATL,RB,153.6,212.0,82.0
63,Rome Odunze,CHI,WR,67.2,145.0,82.0
