year,rank,player,team,pos,pos_rank,before_adp,diff,finish_prev_year,notes,before_rank,pos_pool_size,key,after_rank,after_adp,censored_dropout,move
2025,79,Sam LaPorta,DET,TE,5.0,76.7,-0.03,103.0,,4,42,sam laporta,4.0,79.7,False,0.0
2025,81,Kaleb Johnson,PIT,RB,27.0,79.0,-0.03,,Rookie,26,80,kaleb johnson,27.0,80.5,False,1.0
2025,76,Aaron Jones,MIN,RB,24.0,79.7,0.05,45.0,,27,80,aaron jones,26.0,77.2,False,-1.0
2025,102,Jordan Mason,MIN,RB,33.0,83.8,-0.22,87.0,,28,80,jordan mason,30.0,96.4,False,2.0
2025,89,T.J. Hockenson,MIN,TE,7.0,86.2,-0.03,153.0,,5,42,tj hockenson,6.0,91.6,False,1.0
2025,110,Tyrone Tracy,NYG,RB,35.0,86.5,-0.27,81.0,,29,80,tyrone tracy,28.0,84.2,False,-1.0
2025,109,Jaylen Warren,PIT,RB,34.0,88.6,-0.23,177.0,,30,80,jaylen warren,29.0,95.1,False,-1.0
2025,92,Tyler Warren,IND,TE,10.0,91.6,0.0,,Rookie,6,42,tyler warren,8.0,,True,2.0
2025,78,Travis Kelce,KC,TE,4.0,93.5,0.17,89.0,,7,42,travis kelce,7.0,91.9,False,0.0
2025,88,Mark Andrews,BAL,TE,6.0,97.4,0.1,96.0,,8,42,mark andrews,5.0,89.4,False,-3.0
