year,team,win_total_line,actual_wins,result,beat_margin,top25_count,top50_count,top100_count,linear_weight,reciprocal_weight,best_rank
2017,SF,5.0,6,Over,1.0,0,1,1,51,2.0,50
2017,SEA,10.5,9,Under,-1.5,1,2,3,188,10.6,17
2017,TB,8.5,5,Under,-3.5,1,2,3,192,14.32,10
2017,TEN,9.0,9,Push,0.0,1,2,4,171,10.99,19
2017,WAS,7.5,7,Under,-0.5,0,2,5,199,10.06,27
2018,ARI,6.0,3,Under,-3.0,1,2,2,150,35.37,3
2018,ATL,9.5,7,Under,-2.5,2,3,3,216,12.51,17
2018,BAL,8.5,10,Over,1.5,0,1,2,71,3.46,43
2018,BUF,5.5,6,Over,0.5,0,1,1,68,3.03,33
2018,CAR,8.5,7,Under,-1.5,1,2,3,192,12.4,14
2018,CHI,7.5,12,Over,4.5,1,1,5,137,8.91,24
2018,CIN,7.0,6,Under,-1.0,1,2,2,148,7.45,25
2018,CLE,6.0,7,Over,1.0,0,0,2,87,3.48,56
2018,DAL,8.5,10,Over,1.5,1,1,2,126,26.39,4
2018,DEN,7.0,6,Under,-1.0,0,1,4,99,5.65,50
2018,DET,7.5,6,Under,-1.5,0,1,4,135,6.36,42
2018,GB,10.0,6,Under,-4.0,2,2,4,213,21.26,7
2018,HOU,8.5,11,Over,2.5,2,2,4,233,18.38,11
2018,IND,7.5,10,Over,2.5,0,2,3,140,6.98,31
2018,JAX,9.0,5,Under,-4.0,1,1,2,112,12.35,9
2018,KC,8.5,12,Over,3.5,1,3,5,266,16.66,12
2018,LAC,9.5,12,Over,2.5,2,3,3,225,16.89,10
2018,LAR,10.0,13,Over,3.0,1,1,3,182,103.34,1
2018,MIA,6.5,7,Over,0.5,0,1,1,55,2.17,46
2018,MIN,10.0,8,Under,-2.0,1,4,5,291,15.95,15
2018,NE,11.0,11,Push,0.0,1,2,6,247,13.78,20
2018,NO,9.5,13,Over,3.5,2,3,4,295,23.29,8
2018,NYG,7.0,5,Under,-2.0,2,2,4,221,26.8,6
2018,NYJ,6.0,4,Under,-2.0,0,0,0,0,0,101
2018,LV,7.5,4,Under,-3.5,0,1,3,117,5.09,44
2018,PHI,10.5,9,Under,-1.5,0,1,4,171,7.57,35
2018,PIT,10.5,9,Under,-1.5,2,2,4,292,73.81,2
2018,SF,8.5,4,Under,-4.5,0,1,2,86,3.82,40
2018,SEA,7.5,10,Over,2.5,1,2,3,171,9.36,18
2018,TB,6.5,5,Under,-1.5,0,1,3,99,5.64,30
