year,team,win_total_line,over_odds,under_odds,actual_wins,result
2019,LAR,10.5,+125,-145,9,Under
2019,MIA,4.5,+100,-120,5,Over
2019,MIN,9.0,-125,+105,10,Over
2019,NE,11.5,-110,-110,12,Over
2019,NO,10.5,+130,-150,13,Over
2019,NYG,6.0,+105,-125,4,Under
2019,NYJ,7.5,-110,-110,7,Under
2019,LV,6.0,+145,-170,7,Over
2019,PHI,10.0,-150,+130,9,Under
2019,PIT,9.5,-110,-110,8,Under
2019,SF,8.0,-140,+120,13,Over
2019,SEA,9.0,+100,-120,11,Over
2019,TB,6.5,-110,-110,7,Over
2019,TEN,8.0,+120,-140,9,Over
2019,WAS,6.0,+130,-150,3,Under
2020,ARI,7.5,-110,-110,8,Over
2020,ATL,7.5,+100,-120,4,Under
2020,BAL,11.5,+120,-140,11,Under
2020,BUF,9.0,-120,+100,13,Over
2020,CAR,5.5,-140,+120,5,Under
2020,CHI,8.0,+115,-135,8,Push
2020,CIN,5.5,-150,+130,4,Under
2020,CLE,8.5,-110,-110,11,Over
2020,DAL,10.0,-110,-110,6,Under
2020,DEN,7.5,-130,+110,5,Under
2020,DET,7.0,-130,+110,5,Under
2020,GB,8.5,-120,+100,13,Over
2020,HOU,7.5,+105,-125,4,Under
2020,IND,9.5,-110,-110,11,Over
2020,JAX,4.5,-110,-110,1,Under
2020,KC,11.5,-120,+100,14,Over
2020,LV,7.5,+115,-135,8,Over
2020,LAC,8.0,-105,-115,7,Under
2020,LAR,8.5,+110,-130,10,Over
2020,MIA,6.0,-115,-105,10,Over
2020,MIN,9.0,+110,-130,7,Under
2020,NE,9.0,+120,-140,7,Under
2020,NO,10.5,+120,-140,12,Over
2020,NYG,6.5,+120,-140,6,Under
2020,NYJ,6.5,+120,-140,2,Under
2020,PHI,9.5,+130,-150,4,Under
2020,PIT,9.5,+100,-120,12,Over
2020,SF,10.5,+120,-140,6,Under
2020,SEA,9.5,+100,-120,12,Over
2020,TB,9.5,-125,+105,11,Over
2020,TEN,8.5,-130,+110,11,Over
2020,WAS,5.0,-130,+110,7,Over
2021,ARI,8.5,-110,-110,11,Over
2021,ATL,7.5,-120,+100,7,Under
2021,BAL,10.5,-130,+110,8,Under
2021,BUF,11.5,-110,-110,11,Under
2021,CAR,7.5,+100,-120,5,Under
2021,CHI,7.5,+120,-140,6,Under
2021,CIN,6.5,-110,-110,10,Over
2021,CLE,10.5,-120,+100,8,Under
2021,DAL,9.0,-120,+100,12,Over
2021,DEN,9.0,+100,-120,7,Under
2021,DET,4.5,-130,+110,3,Under
2021,GB,10.5,-130,+110,13,Over
2021,HOU,4.0,+110,-130,4,Push
2021,IND,9.0,-120,+100,9,Push
2021,JAX,6.5,+110,-130,3,Under
2021,KC,12.5,+105,-125,12,Under
2021,LV,7.5,+100,-120,10,Over
2021,LAC,9.5,-110,-110,9,Under
2021,LAR,10.5,+100,-120,12,Over
2021,MIA,9.0,-140,+120,9,Push
2021,MIN,9.0,+100,-120,8,Under
2021,NE,9.5,-110,-110,10,Over
2021,NO,9.0,+130,-150,9,Push
2021,NYG,7.0,+100,-120,4,Under
2021,NYJ,6.0,+110,-130,4,Under
2021,PHI,6.5,-150,+130,9,Over
2021,PIT,8.5,+110,-130,9,Over
2021,SF,10.5,+100,-120,10,Under
2021,SEA,9.5,-150,+130,7,Under
2021,TB,12.0,-120,+100,13,Over
2021,TEN,9.5,-130,+110,12,Over
2021,WAS,8.5,-130,+110,7,Under
2022,ARI,8.5,+110,-130,4,Under
2022,ATL,4.5,-140,+120,7,Over
2022,BAL,10.5,+110,-130,10,Under
2022,BUF,12.0,-110,-110,13,Over
2022,CAR,6.5,-130,+110,7,Over
2022,CHI,5.5,-130,+100,3,Under
2022,CIN,9.5,-130,+110,12,Over
2022,CLE,8.0,-120,+100,7,Under
2022,DAL,10.0,+120,-140,12,Over
2022,DEN,10.0,+110,-130,5,Under
2022,DET,6.5,-150,+130,9,Over
2022,GB,11.0,-130,+110,8,Under
2022,HOU,4.5,-120,+100,3,Under
2022,IND,10.0,-120,+100,4,Under
2022,JAX,6.5,-120,+100,9,Over
2022,KC,10.5,-150,+130,14,Over
2022,LV,8.5,-150,+130,6,Under
2022,LAC,10.5,+100,-120,10,Under
2022,LAR,10.5,+100,-120,5,Under
2022,MIA,9.0,-130,+110,9,Push
2022,MIN,9.5,-110,-110,13,Over
2022,NE,8.5,+100,-120,8,Under
2022,NO,9.0,+100,-120,7,Under
2022,NYG,7.0,+120,-140,9,Over
2022,NYJ,5.5,-120,+100,7,Over
2022,PHI,10.0,+110,-130,14,Over
2022,PIT,7.5,-125,+105,9,Over
2022,SF,10.0,-110,-110,13,Over
2022,SEA,5.5,-125,+105,9,Over
2022,TB,11.0,+120,-140,8,Under
2022,TEN,9.0,+120,-140,7,Under
2022,WAS,7.5,-130,+110,8,Over
2023,ARI,4.5,+140,-160,4,Under
2023,ATL,8.5,-155,+135,7,Under
2023,BAL,10.0,-130,+110,13,Over
2023,BUF,10.5,-140,+120,11,Over
2023,CAR,7.5,+115,-135,2,Under
2023,CHI,7.5,-140,+120,7,Under
2023,CIN,11.0,+100,-120,9,Under
2023,CLE,9.0,-140,+120,11,Over
2023,DAL,10.0,-130,+110,12,Over
2023,DEN,8.5,+110,-130,8,Under
2023,DET,9.5,-120,+100,12,Over
2023,GB,7.5,-145,+125,9,Over
2023,HOU,6.5,+130,-150,10,Over
2023,IND,6.5,-120,+100,9,Over
2023,JAX,9.5,-140,+120,9,Under
2023,KC,11.5,-120,+100,11,Under
2023,LV,6.5,+110,-130,8,Over
2023,LAC,9.5,-130,+110,5,Under
2023,LAR,6.5,+110,-130,10,Over
2023,MIA,9.5,+100,-120,11,Over
2023,MIN,8.5,-130,+110,7,Under
2023,NE,7.5,+130,-150,4,Under
2023,NO,9.5,-110,-110,9,Under
2023,NYG,7.5,-120,+100,6,Under
2023,NYJ,9.5,-125,+105,7,Under
2023,PHI,11.5,+105,-125,11,Under
2023,PIT,9.0,+100,-120,10,Over
2023,SF,11.0,+120,-140,12,Over
2023,SEA,9.0,+100,-120,9,Push
2023,TB,6.0,-150,+130,9,Over
2023,TEN,7.5,-120,+100,6,Under
2023,WAS,6.5,+105,-125,4,Under
2024,ARI,7.0,-130,+110,8,Over
2024,ATL,9.5,-130,+110,8,Under
2024,BAL,10.5,+100,-120,12,Over
2024,BUF,10.0,-110,-110,13,Over
2024,CAR,5.5,-130,+110,5,Under
2024,CHI,8.5,-165,+145,5,Under
2024,CIN,10.5,+100,-120,9,Under
2024,CLE,8.5,-145,+125,3,Under
2024,DAL,10.0,+115,-135,7,Under
2024,DEN,5.5,-170,+150,10,Over
2024,DET,10.5,-130,+110,15,Over
2024,GB,10.0,+100,-120,11,Over
2024,HOU,9.5,-140,+120,10,Over
2024,IND,8.5,+115,-135,8,Under
2024,JAX,8.5,-110,-110,4,Under
2024,KC,11.5,-110,-110,15,Over
2024,LV,6.5,-125,+105,4,Under
2024,LAC,9.0,+115,-135,11,Over
2024,LAR,8.5,-170,+150,10,Over
2024,MIA,10.0,+100,-120,8,Under
2024,MIN,6.5,-140,+120,14,Over
2024,NE,4.5,-110,-110,4,Under
2024,NO,7.5,-110,-110,5,Under
2024,NYG,6.5,+130,-150,3,Under
2024,NYJ,9.5,-140,+120,5,Under
2024,PHI,10.5,-150,+130,14,Over
2024,PIT,8.0,-140,+120,10,Over
2024,SF,11.5,+140,-160,6,Under
2024,SEA,7.5,-160,+140,10,Over
2024,TB,7.5,-140,+120,10,Over
2024,TEN,6.5,+120,-140,3,Under
2024,WAS,6.5,-110,-110,12,Over
2025,ARI,8.5,-125,+105,3,Under
2025,ATL,8.5,+110,-130,8,Under
2025,BAL,11.5,-118,-102,8,Under
2025,BUF,12.5,+115,-135,12,Under
2025,CAR,6.5,-140,+118,8,Over
2025,CHI,8.5,+115,-140,11,Over
2025,CIN,9.5,-115,-105,6,Under
2025,CLE,4.5,-150,+125,5,Over
2025,DAL,7.5,+110,-130,7,Under
2025,DEN,9.5,-120,+100,14,Over
2025,DET,10.5,+110,-135,9,Under
2025,GB,10.5,+100,-130,9,Under
2025,HOU,9.5,+105,-125,12,Over
2025,IND,7.5,+100,-120,8,Over
2025,JAX,7.5,-135,+115,13,Over
2025,KC,11.5,+118,-140,6,Under
2025,LV,6.5,-150,+125,3,Under
2025,LAC,9.5,+100,-120,11,Over
2025,LAR,9.5,-145,+120,12,Over
2025,MIA,7.5,-110,-110,7,Under
2025,MIN,9.5,+115,-140,9,Under
2025,NE,8.5,-110,-110,14,Over
2025,NO,4.5,-145,+120,6,Over
2025,NYG,5.5,-120,+100,5,Under
2025,NYJ,6.5,+120,-145,3,Under
2025,PHI,11.5,+105,-125,11,Under
2025,PIT,8.5,-120,+100,10,Over
2025,SF,10.5,-102,-118,12,Over
2025,SEA,8.5,+105,-125,14,Over
2025,TB,9.5,-115,-105,8,Under
2025,TEN,6.5,+120,-145,3,Under
2025,WAS,9.5,-105,-115,5,Under
