year,player,team,pos,season_finish,per_game_finish
2025,AJ Barner,SEA,TE,112.0,137.0
2025,Brenton Strange,JAX,TE,153.0,159.0
2025,Tyler Allgeier,ARI,RB,126.0,153.0
2025,Isiah Pacheco,DET,RB,219.0,218.0
2025,Jerry Jeudy,CLE,WR,170.0,197.0
2025,Calvin Ridley,TEN,WR,245.0,188.0
2025,Juwan Johnson,NO,TE,115.0,136.0
2025,T.J. Hockenson,MIN,TE,241.0,254.0
2025,Dalton Schultz,HOU,TE,113.0,145.0
2025,Hunter Henry,NE,TE,77.0,106.0
2025,Daniel Jones,IND,QB,145.0,144.0
2025,Chig Okonkwo,WAS,TE,207.0,236.0
2025,Cade Otton,TB,TE,154.0,172.0
2025,Tank Bigsby,PHI,RB,188.0,224.0
2025,Tyjae Spears,TEN,RB,159.0,164.0
2025,Geno Smith,NYJ,QB,185.0,205.0
2025,Jacoby Brissett,ARI,QB,178.0,184.0
2025,Aaron Rodgers,PIT,QB,201.0,229.0
2025,Ryan Flournoy,DAL,WR,139.0,161.0
2025,Tre Tucker,LV,WR,100.0,116.0
2025,Jack Bech,LV,WR,332.0,332.0
2025,Keaton Mitchell,LAC,RB,297.0,302.0
2025,Justice Hill,BAL,RB,163.0,143.0
2025,Isaac TeSlaa,DET,WR,187.0,220.0
2025,Kayshon Boutte,NE,WR,92.0,98.0
2025,Tre' Harris,LAC,WR,339.0,419.0
2025,Alvin Kamara,NO,RB,160.0,152.0
2025,Emanuel Wilson,SEA,RB,129.0,160.0
2025,Zach Charbonnet,SEA,RB,46.0,62.0
2025,Sean Tucker,TB,RB,125.0,151.0
2025,David Njoku,,TE,196.0,190.0
2025,Terrance Ferguson,LAR,TE,230.0,244.0
2025,Cooper Kupp,SEA,WR,197.0,225.0
2025,Adonai Mitchell,NYJ,WR,155.0,173.0
2025,Dontayvion Wicks,PHI,WR,173.0,177.0
2025,Malik Washington,MIA,WR,227.0,247.0
2025,Tua Tagovailoa,ATL,QB,242.0,251.0
2025,Michael Penix,ATL,QB,243.0,214.0
2025,Kirk Cousins,LV,QB,251.0,232.0
2025,Ray Davis,BUF,RB,171.0,209.0
2025,Kimani Vidal,LAC,RB,81.0,70.0
2025,Dawson Knox,BUF,TE,168.0,208.0
2025,Mike Gesicki,CIN,TE,198.0,202.0
2025,Pat Freiermuth,PIT,TE,149.0,180.0
2025,Shedeur Sanders,CLE,QB,182.0,139.0
2025,James Conner,ARI,RB,237.0,99.0
2025,Tyreek Hill,,WR,192.0,74.0
2025,Christian Kirk,SF,WR,141.0,155.0
2025,Darnell Mooney,NYG,WR,246.0,261.0
2025,Pat Bryant,DEN,WR,264.0,277.0
2025,Tory Horton,SEA,WR,135.0,84.0
2025,Troy Franklin,DEN,WR,80.0,102.0
2025,Hollywood Brown,PHI,WR,146.0,163.0
2025,Devaughn Vele,NO,WR,195.0,200.0
2025,Rashod Bateman,BAL,WR,247.0,250.0
2025,Keon Coleman,BUF,WR,164.0,178.0
2025,Keenan Allen,,WR,103.0,125.0
2025,Andrei Iosivas,CIN,WR,199.0,226.0
2025,Jalen Tolbert,MIA,WR,281.0,285.0
2025,Darius Slayton,NYG,WR,232.0,241.0
2025,Justin Fields,KC,QB,136.0,100.0
2025,Ollie Gordon,MIA,RB,226.0,246.0
2025,Trey Benson,ARI,RB,331.0,318.0
2025,Jaydon Blue,DAL,RB,276.0,210.0
2025,Ty Johnson,BUF,RB,165.0,192.0
2025,Jaylen Wright,MIA,RB,200.0,170.0
2025,Jake Tonges,SF,TE,150.0,183.0
2025,Mason Taylor,NYJ,TE,220.0,219.0
2025,Colby Parkinson,LAR,TE,104.0,121.0
2025,Theo Johnson,NYG,TE,134.0,150.0
2025,Evan Engram,DEN,TE,259.0,275.0
2025,Chimere Dike,TEN,WR,123.0,146.0
2025,Elic Ayomanor,TEN,WR,190.0,216.0
2025,Jaylin Noel,HOU,WR,234.0,263.0
2025,Kyle Williams,NE,WR,213.0,245.0
2025,Tez Johnson,TB,WR,148.0,167.0
