year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2024,00-0037801,KaVontae Turpin,DAL,DAL,,WR,17,16,92,0,6,31,420,2,512,2
2024,00-0037617,Hassan Haskins,LAC,LAC,,RB,12,34,89,2,13,3,49,1,138,3
2024,00-0037085,Tyler Badie,DEN,DEN,,RB,3,11,86,0,4,3,-2,0,84,0
2024,00-0031503,Jameis Winston,CLE,CLE,,QB,11,25,83,1,17,0,0,0,83,1
2024,00-0036264,Jordan Love,GB,GB,,QB,15,25,83,1,9,0,0,0,83,1
2024,00-0039746,Will Shipley,PHI,PHI,,RB,13,30,82,0,2,4,35,0,117,0
2024,00-0037429,Raheem Blackshear,CAR,CAR,,RB,16,15,80,0,2,0,0,0,80,0
2024,00-0034407,Ray-Ray McCloud,ATL,ATL,,WR,17,10,79,0,3,62,686,1,765,1
2024,00-0034827,DJ Moore,CHI,CHI,,WR,17,14,75,0,3,98,966,6,1041,6
2024,00-0031280,Derek Carr,NO,NO,,QB,10,17,71,1,4,0,0,0,71,1
2024,00-0036358,CeeDee Lamb,DAL,DAL,,WR,15,14,70,0,4,101,1194,6,1264,6
2024,00-0038622,Deuce Vaughn,DAL,DAL,,RB,5,17,70,0,2,3,18,0,88,0
2024,00-0038678,Jordan Mims,NO,NO,,RB,8,20,70,0,2,12,71,0,141,0
2024,00-0032385,Sterling Shepard,TB,TB,,WR,13,8,69,0,4,32,334,1,403,1
2024,00-0035806,JaMycal Hasty,NE,NE,,RB,12,20,69,0,4,10,59,1,128,1
2024,00-0033119,Jacoby Brissett,NE,NE,,QB,7,15,62,0,5,0,0,0,62,0
2024,00-0035140,Mecole Hardman,KC,KC,,WR,12,5,62,1,2,12,90,0,152,1
2024,00-0037240,Jameson Williams,DET,DET,,WR,15,11,61,1,5,58,1001,7,1062,8
2024,00-0035289,Gardner Minshew,LV,LV,,QB,10,19,58,0,5,0,0,0,58,0
2024,00-0034115,Jeff Wilson,MIA,MIA,,RB,7,16,57,0,3,3,19,0,76,0
2024,00-0033106,Jared Goff,DET,DET,,QB,17,35,56,0,9,1,7,1,63,1
2024,00-0039064,Zay Flowers,BAL,BAL,,WR,17,9,56,0,1,74,1059,4,1115,4
2024,00-0034837,Calvin Ridley,TEN,TEN,,WR,17,8,55,1,3,64,1017,4,1072,5
2024,00-0035860,Tony Jones,ARI,ARI,,RB,1,4,55,1,1,0,0,0,55,1
2024,00-0033077,Dak Prescott,DAL,DAL,,QB,8,13,54,1,5,0,0,0,54,1
2024,00-0037091,Bo Melton,GB,GB,,WR,13,8,54,0,4,8,91,0,145,0
2024,00-0033040,Tyreek Hill,MIA,MIA,,WR,17,8,53,0,2,81,959,6,1012,6
2024,00-0034208,Mike Boone,CAR,CAR,,RB,5,13,51,0,3,1,-2,0,49,0
2024,00-0036212,Tua Tagovailoa,MIA,MIA,,QB,11,17,49,0,5,0,0,0,49,0
2024,00-0036425,DeeJay Dallas,ARI,ARI,,RB,16,9,49,0,4,3,11,1,60,1
2024,00-0039893,Brian Thomas Jr.,JAX,JAX,,WR,17,6,48,0,3,87,1282,10,1330,10
2024,00-0036360,Clyde Edwards-Helaire,NO,NO,,RB,2,13,46,0,2,3,24,0,70,0
