year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2024,MIA,Mike McDaniel,0,3,10.0,8,Under,-2.0,11,9.5,-3,0.5
2024,MIN,Kevin O'Connell,0,3,6.5,14,Over,7.5,7,8.5,7,-2.0
2024,NE,Jerod Mayo,1,1,4.5,4,Under,-0.5,4,7.5,0,-3.0
2024,NO,Dennis Allen,0,3,7.5,5,Under,-2.5,9,9.5,-4,-2.0
2024,NYG,Brian Daboll,0,3,6.5,3,Under,-3.5,6,7.5,-3,-1.0
2024,NYJ,Robert Saleh,0,4,9.5,5,Under,-4.5,7,9.5,-2,0.0
2024,PHI,Nick Sirianni,0,4,10.5,14,Over,3.5,11,11.5,3,-1.0
2024,PIT,Mike Tomlin,0,11,8.0,10,Over,2.0,10,9.0,0,-1.0
2024,SF,Kyle Shanahan,0,8,11.5,6,Under,-5.5,12,11.0,-6,0.5
2024,SEA,Mike Macdonald,1,1,7.5,10,Over,2.5,9,9.0,1,-1.5
2024,TB,Todd Bowles,0,3,7.5,10,Over,2.5,9,6.0,1,1.5
2024,TEN,Brian Callahan,1,1,6.5,3,Under,-3.5,6,7.5,-3,-1.0
2024,WAS,Dan Quinn,1,1,6.5,12,Over,5.5,4,6.5,8,0.0
2025,ARI,Jonathan Gannon,0,3,8.5,3,Under,-5.5,8,7.0,-5,1.5
2025,ATL,Raheem Morris,0,2,8.5,8,Under,-0.5,8,9.5,0,-1.0
2025,BAL,John Harbaugh,0,12,11.5,8,Under,-3.5,12,10.5,-4,1.0
2025,BUF,Sean McDermott,0,9,12.5,12,Under,-0.5,13,10.0,-1,2.5
2025,CAR,Dave Canales,0,2,6.5,8,Over,1.5,5,5.5,3,1.0
2025,CHI,Ben Johnson,1,1,8.5,11,Over,2.5,5,8.5,6,0.0
2025,CIN,Zac Taylor,0,7,9.5,6,Under,-3.5,9,10.5,-3,-1.0
2025,CLE,Kevin Stefanski,0,6,4.5,5,Over,0.5,3,8.5,2,-4.0
2025,DAL,Brian Schottenheimer,1,1,7.5,7,Under,-0.5,7,10.0,0,-2.5
2025,DEN,Sean Payton,0,3,9.5,14,Over,4.5,10,5.5,4,4.0
2025,DET,Dan Campbell,0,5,10.5,9,Under,-1.5,15,10.5,-6,0.0
2025,GB,Matt LaFleur,0,7,10.5,9,Under,-1.5,11,10.0,-2,0.5
2025,HOU,DeMeco Ryans,0,3,9.5,12,Over,2.5,10,9.5,2,0.0
2025,IND,Shane Steichen,0,3,7.5,8,Over,0.5,8,8.5,0,-1.0
2025,JAX,Liam Coen,1,1,7.5,13,Over,5.5,4,8.5,9,-1.0
2025,KC,Andy Reid,0,12,11.5,6,Under,-5.5,15,11.5,-9,0.0
2025,LV,Pete Carroll,1,1,6.5,3,Under,-3.5,4,6.5,-1,0.0
2025,LAC,Jim Harbaugh,0,2,9.5,11,Over,1.5,11,9.0,0,0.5
2025,LAR,Sean McVay,0,9,9.5,12,Over,2.5,10,8.5,2,1.0
2025,MIA,Mike McDaniel,0,4,7.5,7,Under,-0.5,8,10.0,-1,-2.5
2025,MIN,Kevin O'Connell,0,4,9.5,9,Under,-0.5,14,6.5,-5,3.0
2025,NE,Mike Vrabel,1,1,8.5,14,Over,5.5,4,4.5,10,4.0
2025,NO,Kellen Moore,1,1,4.5,6,Over,1.5,5,7.5,1,-3.0
2025,NYG,Brian Daboll,0,4,5.5,5,Under,-0.5,3,6.5,2,-1.0
2025,NYJ,Aaron Glenn,1,1,6.5,3,Under,-3.5,5,9.5,-2,-3.0
2025,PHI,Nick Sirianni,0,5,11.5,11,Under,-0.5,14,10.5,-3,1.0
2025,PIT,Mike Tomlin,0,12,8.5,10,Over,1.5,10,8.0,0,0.5
2025,SF,Kyle Shanahan,0,9,10.5,12,Over,1.5,6,11.5,6,-1.0
2025,SEA,Mike Macdonald,0,2,8.5,14,Over,5.5,10,7.5,4,1.0
2025,TB,Todd Bowles,0,4,9.5,8,Under,-1.5,10,7.5,-2,2.0
2025,TEN,Brian Callahan,0,2,6.5,3,Under,-3.5,3,6.5,0,0.0
2025,WAS,Dan Quinn,0,2,9.5,5,Under,-4.5,12,6.5,-7,3.0
