year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2017,GB,Mike McCarthy,0,4,10.5,7,Under,-3.5,10,10.5,-3,0.0
2017,HOU,Bill O'Brien,0,4,8.5,4,Under,-4.5,9,8.5,-5,0.0
2017,IND,Chuck Pagano,0,4,8.0,4,Under,-4.0,8,9.0,-4,-1.0
2017,JAX,Doug Marrone,1,1,6.5,10,Over,3.5,3,7.5,7,-1.0
2017,KC,Andy Reid,0,4,9.0,10,Over,1.0,12,9.5,-2,-0.5
2017,LAC,Anthony Lynn,1,1,7.5,9,Over,1.5,5,7.0,4,0.5
2017,LAR,Sean McVay,1,1,6.0,11,Over,5.0,4,7.5,7,-1.5
2017,MIA,Adam Gase,0,2,7.0,6,Under,-1.0,10,7.0,-4,0.0
2017,MIN,Mike Zimmer,0,4,8.5,13,Over,4.5,8,8.5,5,0.0
2017,NE,Bill Belichick,0,4,12.5,13,Over,0.5,14,10.5,-1,2.0
2017,NO,Sean Payton,0,4,8.0,11,Over,3.0,7,7.0,4,1.0
2017,NYG,Ben McAdoo,0,2,9.0,3,Under,-6.0,11,8.5,-8,0.5
2017,NYJ,Todd Bowles,0,3,3.5,5,Over,1.5,5,8.0,0,-4.5
2017,LV,Jack Del Rio,0,3,9.5,6,Under,-3.5,12,8.5,-6,1.0
2017,PHI,Doug Pederson,0,2,8.5,13,Over,4.5,7,6.5,6,2.0
2017,PIT,Mike Tomlin,0,4,10.5,13,Over,2.5,11,10.5,2,0.0
2017,SF,Kyle Shanahan,1,1,5.0,6,Over,1.0,2,5.5,4,-0.5
2017,SEA,Pete Carroll,0,4,10.5,9,Under,-1.5,10,10.5,-1,0.0
2017,TB,Dirk Koetter,0,2,8.5,5,Under,-3.5,9,7.0,-4,1.5
2017,TEN,Mike Mularkey,0,2,9.0,9,Push,0.0,9,6.0,0,3.0
2017,WAS,Jay Gruden,0,4,7.5,7,Under,-0.5,8,7.5,-1,0.0
2018,ARI,Steve Wilks,1,1,6.0,3,Under,-3.0,8,8.5,-5,-2.5
2018,ATL,Dan Quinn,0,4,9.5,7,Under,-2.5,10,9.5,-3,0.0
2018,BAL,John Harbaugh,0,5,8.5,10,Over,1.5,9,8.5,1,0.0
2018,BUF,Sean McDermott,0,2,5.5,6,Over,0.5,9,6.5,-3,-1.0
2018,CAR,Ron Rivera,0,5,8.5,7,Under,-1.5,11,9.0,-4,-0.5
2018,CHI,Matt Nagy,1,1,7.5,12,Over,4.5,5,5.5,7,2.0
2018,CIN,Marvin Lewis,0,5,7.0,6,Under,-1.0,7,8.5,-1,-1.5
2018,CLE,Hue Jackson,0,3,6.0,7,Over,1.0,0,4.5,7,1.5
2018,DAL,Jason Garrett,0,5,8.5,10,Over,1.5,9,9.5,1,-1.0
2018,DEN,Vance Joseph,0,2,7.0,6,Under,-1.0,5,8.0,1,-1.0
2018,DET,Matt Patricia,1,1,7.5,6,Under,-1.5,9,7.5,-3,0.0
2018,GB,Mike McCarthy,0,5,10.0,6,Under,-4.0,7,10.5,-1,-0.5
2018,HOU,Bill O'Brien,0,5,8.5,11,Over,2.5,4,8.5,7,0.0
2018,IND,Frank Reich,1,1,7.5,10,Over,2.5,4,8.0,6,-0.5
2018,JAX,Doug Marrone,0,2,9.0,5,Under,-4.0,10,6.5,-5,2.5
2018,KC,Andy Reid,0,5,8.5,12,Over,3.5,10,9.0,2,-0.5
2018,LAC,Anthony Lynn,0,2,9.5,12,Over,2.5,9,7.5,3,2.0
2018,LAR,Sean McVay,0,2,10.0,13,Over,3.0,11,6.0,2,4.0
2018,MIA,Adam Gase,0,3,6.5,7,Over,0.5,6,7.0,1,-0.5
2018,MIN,Mike Zimmer,0,5,10.0,8,Under,-2.0,13,8.5,-5,1.5
2018,NE,Bill Belichick,0,5,11.0,11,Push,0.0,13,12.5,-2,-1.5
